STATEFP,STNAME,POPULATION,LATITUDE,LONGITUDE
01,Alabama,5024279,+33.016191,-086.753353
02,Alaska,733391,+61.408891,-148.961508
04,Arizona,7151502,+33.371388,-111.882468
05,Arkansas,3011524,+35.199251,-092.713212
06,California,39538223,+35.491035,-119.347852
08,Colorado,5773714,+39.534747,-105.185361
09,Connecticut,3605944,+41.492835,-072.878714
10,Delaware,989948,+39.333614,-075.547709
11,District of Columbia,689545,+38.910168,-077.013993
12,Florida,21538187,+27.839295,-081.636016
13,Georgia,10711908,+33.410677,-083.891248
15,Hawaii,1455271,+21.112376,-157.485304
16,Idaho,1839106,+44.220476,-115.224610
17,Illinois,12812508,+41.312077,-088.372974
18,Indiana,6785528,+40.144178,-086.251589
19,Iowa,3190369,+41.936630,-093.037218
20,Kansas,2937880,+38.480984,-096.409286
21,Kentucky,4505836,+37.838308,-085.261296
22,Louisiana,4657757,+30.696198,-091.474266
23,Maine,1362359,+44.267404,-069.764596
24,Maryland,6177224,+39.136636,-076.802227
25,Massachusetts,7029917,+42.273659,-071.350366
26,Michigan,10077331,+42.864675,-084.213172
27,Minnesota,5706494,+45.189990,-093.558751
28,Mississippi,2961279,+32.575361,-089.566275
29,Missouri,6154913,+38.432921,-092.234929
30,Montana,1084225,+46.760509,-111.318567
31,Nebraska,1961504,+41.167883,-097.222143
32,Nevada,3104614,+37.015907,-116.173753
33,New Hampshire,1377529,+43.149147,-071.455608
34,New Jersey,9288994,+40.438248,-074.424465
35,New Mexico,2117522,+34.607808,-106.332167
36,New York,20201249,+41.471783,-074.590827
37,North Carolina,10439388,+35.538715,-079.675021
38,North Dakota,779094,+47.339540,-099.444952
39,Ohio,11799448,+40.438553,-082.796902
40,Oklahoma,3959353,+35.606866,-096.854171
41,Oregon,4237256,+44.753509,-122.588257
42,Pennsylvania,13002700,+40.443486,-076.965232
44,Rhode Island,1097379,+41.755677,-071.450484
45,South Carolina,5118425,+34.022471,-080.996482
46,South Dakota,886667,+43.986511,-098.922285
47,Tennessee,6910840,+35.821189,-086.332487
48,Texas,29145505,+30.909581,-097.328656
49,Utah,3271616,+40.385835,-111.948021
50,Vermont,643077,+44.101952,-072.824240
51,Virginia,8631393,+37.850195,-077.765608
53,Washington,7705281,+47.329504,-121.632620
54,West Virginia,1793716,+38.823276,-080.671314
55,Wisconsin,5893718,+43.723662,-089.031445
56,Wyoming,576851,+42.694801,-106.984779
72,Puerto Rico,3285874,+18.282916,-066.348925
