"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location"
"0-17",1,-17.2861911459169,-1.65504270456191,1.25728697121027,-0.116692100420285,0.174420583325446,-0.0831436084694047,0.0365241281476556,-0.0145074545286908,0.00386701936886737,-0.00046855168832986,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0379039222413,0.0386348352652945,-0.00303787313009983,4.97833971647998e-05,0.00109990335893321,-0.00445643118262271,0.00552807819789605,0.00993285716068501,-0.0401689434076575,0.049553343726633,-0.028984307230089,0.00979496400931978,-0.00316531844007288,0.000970252023198509,-0.00015414012827482,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9744531745351,-0.00263120271701622,7.36143889879625e-05,-5.18786828958711e-07,-0.000241245707081611,0.00144673428618529,-0.00322136613244221,0.00198881488420603,0.0118978039442865,-0.033287710780744,0.0340531835745217,-0.0154283782272416,0.00377586732258384,-0.00118968655136096,0.000206143203263726,5.66033681836969e-06,-7.94922889405566e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,231,275
"18-49",3,-14.9686119952496,-0.00315709034136166,8.82173505196394e-05,-6.20648213766778e-07,-0.000301452828320964,0.00180517238220385,-0.00405663223453758,0.00274256524898764,0.0137943744077825,-0.0406437374853345,0.0440806044126117,-0.0221072542277755,0.00605098005185311,-0.00163042553435565,0.000268019368562011,-2.18504222025022e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,225.5,-1
"50-64",3,-14.9763643180236,-0.00314893620055827,8.80198753947032e-05,-6.19545787352205e-07,-0.000297617412966974,0.00178330347063218,-0.00399882226351934,0.00261727309062251,0.0144103383266369,-0.0411633987512531,0.042499159307619,-0.0192677389276413,0.00456414958594316,-0.00136342890621316,0.000217721268560771,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1
"65+",3,-14.9724531788766,-0.00333416613381256,9.32423864732489e-05,-6.56736772874805e-07,-0.000310090154298209,0.00185886026109069,-0.00415285196393966,0.0026366980018787,0.0151684983668191,-0.0428318325353453,0.0439585365111995,-0.0198795595648044,0.00476338640932232,-0.00144538744928412,0.000236106862029079,-2.48298647344415e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,247.5,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
