"Geography","Date","Weekly COVID-19 Hospital Admissions"
"North Dakota",2020-11-14,"395"
"North Dakota",2020-11-07,"392"
"North Dakota",2020-10-31,"299"
"North Dakota",2020-10-24,"237"
"North Dakota",2020-10-17,"166"
"North Dakota",2020-10-10,"216"
"North Dakota",2020-10-03,"186"
"North Dakota",2020-09-26,"122"
"North Dakota",2020-09-19,"108"
"North Dakota",2020-09-12,"66"
"North Dakota",2020-09-05,"62"
"North Dakota",2020-08-29,"66"
"North Dakota",2020-08-22,"52"
"North Dakota",2020-08-15,"61"
"North Dakota",2020-08-08,"71"
"North Dakota",2020-08-01,"N/A"
"North Dakota",2020-07-25,"N/A"
"North Dakota",2020-07-18,"N/A"
"North Dakota",2020-07-11,"N/A"
"North Dakota",2020-07-04,"N/A"
"North Dakota",2020-06-27,"N/A"
"North Dakota",2020-06-20,"N/A"
"North Dakota",2020-06-13,"N/A"
"North Dakota",2020-06-06,"N/A"
"North Dakota",2020-05-30,"N/A"
"North Dakota",2020-05-23,"N/A"
"North Dakota",2020-05-16,"N/A"
"North Dakota",2020-05-09,"N/A"
"North Dakota",2020-05-02,"N/A"
"North Dakota",2020-04-25,"N/A"
"North Dakota",2020-04-18,"N/A"
"North Dakota",2020-04-11,"N/A"
"North Dakota",2020-04-04,"N/A"
"North Dakota",2020-03-28,"N/A"
"North Dakota",2020-03-21,"N/A"
"North Dakota",2020-03-14,"N/A"
"North Dakota",2020-03-07,"N/A"
"North Dakota",2020-02-29,"N/A"
"North Dakota",2020-02-22,"N/A"
"North Dakota",2020-02-15,"N/A"
"North Dakota",2020-02-08,"N/A"
"North Dakota",2020-02-01,"N/A"
"North Dakota",2020-01-25,"N/A"
"North Dakota",2020-01-18,"N/A"
"North Dakota",2020-01-11,"N/A"
