"Geography","Date","Weekly COVID-19 Hospital Admissions"
"South Dakota",2024-03-30,"20"
"South Dakota",2024-03-23,"19"
"South Dakota",2024-03-16,"22"
"South Dakota",2024-03-09,"35"
"South Dakota",2024-03-02,"33"
"South Dakota",2024-02-24,"48"
"South Dakota",2024-02-17,"58"
"South Dakota",2024-02-10,"63"
"South Dakota",2024-02-03,"72"
"South Dakota",2024-01-27,"65"
"South Dakota",2024-01-20,"82"
"South Dakota",2024-01-13,"99"
"South Dakota",2024-01-06,"119"
"South Dakota",2023-12-30,"132"
"South Dakota",2023-12-23,"126"
"South Dakota",2023-12-16,"121"
"South Dakota",2023-12-09,"103"
"South Dakota",2023-12-02,"115"
"South Dakota",2023-11-25,"105"
"South Dakota",2023-11-18,"83"
"South Dakota",2023-11-11,"75"
"South Dakota",2023-11-04,"77"
"South Dakota",2023-10-28,"64"
"South Dakota",2023-10-21,"57"
"South Dakota",2023-10-14,"53"
"South Dakota",2023-10-07,"59"
"South Dakota",2023-09-30,"69"
"South Dakota",2023-09-23,"55"
"South Dakota",2023-09-16,"46"
"South Dakota",2023-09-09,"57"
"South Dakota",2023-09-02,"44"
"South Dakota",2023-08-26,"32"
"South Dakota",2023-08-19,"25"
"South Dakota",2023-08-12,"11"
"South Dakota",2023-08-05,"12"
"South Dakota",2023-07-29,"14"
"South Dakota",2023-07-22,"10"
"South Dakota",2023-07-15,"7"
"South Dakota",2023-07-08,"17"
"South Dakota",2023-07-01,"10"
"South Dakota",2023-06-24,"7"
"South Dakota",2023-06-17,"17"
"South Dakota",2023-06-10,"17"
"South Dakota",2023-06-03,"15"
"South Dakota",2023-05-27,"14"
"South Dakota",2023-05-20,"26"
"South Dakota",2023-05-13,"39"
"South Dakota",2023-05-06,"40"
"South Dakota",2023-04-29,"37"
"South Dakota",2023-04-22,"34"
"South Dakota",2023-04-15,"40"
"South Dakota",2023-04-08,"38"
"South Dakota",2023-04-01,"68"
"South Dakota",2023-03-25,"69"
"South Dakota",2023-03-18,"46"
"South Dakota",2023-03-11,"77"
"South Dakota",2023-03-04,"105"
"South Dakota",2023-02-25,"87"
"South Dakota",2023-02-18,"92"
"South Dakota",2023-02-11,"98"
"South Dakota",2023-02-04,"81"
"South Dakota",2023-01-28,"71"
"South Dakota",2023-01-21,"53"
"South Dakota",2023-01-14,"51"
"South Dakota",2023-01-07,"56"
"South Dakota",2022-12-31,"62"
"South Dakota",2022-12-24,"99"
"South Dakota",2022-12-17,"84"
"South Dakota",2022-12-10,"74"
"South Dakota",2022-12-03,"88"
"South Dakota",2022-11-26,"77"
"South Dakota",2022-11-19,"103"
"South Dakota",2022-11-12,"94"
"South Dakota",2022-11-05,"86"
"South Dakota",2022-10-29,"62"
"South Dakota",2022-10-22,"66"
"South Dakota",2022-10-15,"67"
"South Dakota",2022-10-08,"80"
"South Dakota",2022-10-01,"77"
"South Dakota",2022-09-24,"97"
"South Dakota",2022-09-17,"91"
"South Dakota",2022-09-10,"97"
"South Dakota",2022-09-03,"129"
"South Dakota",2022-08-27,"136"
"South Dakota",2022-08-20,"115"
"South Dakota",2022-08-13,"162"
"South Dakota",2022-08-06,"132"
"South Dakota",2022-07-30,"127"
