"Geography","Date","Weekly COVID-19 Hospital Admissions"
"New York",2020-05-30,"N/A"
"New York",2020-05-23,"N/A"
"New York",2020-05-16,"N/A"
"New York",2020-05-09,"N/A"
"New York",2020-05-02,"N/A"
"New York",2020-04-25,"N/A"
"New York",2020-04-18,"N/A"
"New York",2020-04-11,"N/A"
"New York",2020-04-04,"N/A"
"New York",2020-03-28,"N/A"
"New York",2020-03-21,"N/A"
"New York",2020-03-14,"N/A"
"New York",2020-03-07,"N/A"
"New York",2020-02-29,"N/A"
"New York",2020-02-22,"N/A"
"New York",2020-02-15,"N/A"
"New York",2020-02-08,"N/A"
"New York",2020-02-01,"N/A"
"New York",2020-01-25,"N/A"
"New York",2020-01-18,"N/A"
"New York",2020-01-11,"N/A"
