date,agegroup,hosp
2022-11-19,50-64,33.5
2022-11-19,65+,94.0714285714286
2022-11-26,0-17,11.2857142857143
2022-11-26,18-49,31.7142857142857
2022-11-26,50-64,37.5
2022-11-26,65+,134.357142857143
2022-12-03,0-17,14
2022-12-03,18-49,45.5714285714286
2022-12-03,50-64,54.8571428571429
2022-12-03,65+,192.571428571429
2022-12-10,0-17,15.1428571428571
2022-12-10,18-49,49.4285714285714
2022-12-10,50-64,69.2857142857143
2022-12-10,65+,204.285714285714
2022-12-17,0-17,19.8571428571429
2022-12-17,18-49,57.8571428571429
2022-12-17,50-64,70.3571428571429
2022-12-17,65+,216.5
2022-12-24,0-17,18.1428571428571
2022-12-24,18-49,59
2022-12-24,50-64,71.9285714285714
2022-12-24,65+,237.642857142857
2022-12-31,0-17,25.4285714285714
2022-12-31,18-49,79.1428571428572
2022-12-31,50-64,93.5
2022-12-31,65+,329.928571428571
2023-01-14,0-17,17
2023-01-14,18-49,73.5714285714286
2023-01-14,50-64,97.8571428571429
2023-01-14,65+,295.857142857143
2023-01-21,0-17,17.1428571428571
2023-01-21,18-49,61.8571428571429
2023-01-21,50-64,82.5714285714286
2023-01-21,65+,238.571428571429
2023-01-28,0-17,15.4285714285714
2023-01-28,18-49,66.5714285714286
2023-01-28,50-64,68.5
2023-01-28,65+,216.5
2023-02-04,0-17,17
2023-02-04,18-49,52.8571428571429
2023-02-04,50-64,61.5714285714286
2023-02-04,65+,183.857142857143
2023-02-11,0-17,16.7142857142857
2023-02-11,18-49,50.1428571428572
2023-02-11,50-64,61.8571428571429
2023-02-11,65+,173.714285714286
2023-02-18,0-17,14.5714285714286
2023-02-18,18-49,46.5714285714286
2023-02-18,50-64,53.2857142857143
2023-02-18,65+,171.285714285714
2023-02-25,0-17,12.5714285714286
2023-02-25,18-49,47
2023-02-25,50-64,61.5714285714286
2023-02-25,65+,155.285714285714
2023-03-04,0-17,11.1428571428571
2023-03-04,18-49,40.5714285714286
2023-03-04,50-64,51.7857142857143
2023-03-04,65+,150.642857142857
2023-03-11,0-17,11.2857142857143
2023-03-11,18-49,38.1428571428572
2023-03-11,50-64,48.6428571428572
2023-03-11,65+,136.357142857143
2023-03-18,0-17,10.4285714285714
2023-03-18,18-49,33.5714285714286
2023-03-18,50-64,44.9285714285714
2023-03-18,65+,114.785714285714
2023-03-25,0-17,10.2857142857143
2023-03-25,18-49,35.5714285714286
2023-03-25,50-64,41.5714285714286
2023-03-25,65+,111.857142857143
2023-04-01,0-17,8.71428571428571
2023-04-01,18-49,33.4285714285714
2023-04-01,50-64,37.2142857142857
2023-04-01,65+,97.7857142857143
2023-04-08,0-17,9.85714285714286
2023-04-08,18-49,31.8571428571429
2023-04-08,50-64,34.5714285714286
2023-04-08,65+,103.714285714286
2023-04-15,0-17,8.85714285714286
2023-04-15,18-49,32.1428571428572
2023-04-15,50-64,43.1428571428572
2023-04-15,65+,102.285714285714
2023-04-22,0-17,8.85714285714286
2023-04-22,18-49,30.2857142857143
2023-04-22,50-64,31.7142857142857
2023-04-22,65+,89.8571428571429
2023-04-29,0-17,7.28571428571429
2023-04-29,18-49,27
2023-04-29,50-64,25.2142857142857
2023-04-29,65+,75.3571428571429
2023-05-06,0-17,5.57142857142857
2023-05-06,18-49,23.2857142857143
2023-05-06,50-64,30
2023-05-06,65+,70.4285714285714
2023-05-13,0-17,4.28571428571429
2023-05-13,18-49,21.7142857142857
2023-05-13,50-64,25
2023-05-13,65+,66.7142857142857
2023-05-20,0-17,4.42857142857143
2023-05-20,18-49,22.1428571428571
2023-05-20,50-64,21.5
2023-05-20,65+,61.9285714285714
2023-05-27,0-17,3.42857142857143
2023-05-27,18-49,20.8571428571429
2023-05-27,50-64,19.1428571428571
2023-05-27,65+,55.2857142857143
2023-06-03,0-17,3.57142857142857
2023-06-03,18-49,20.7142857142857
2023-06-03,50-64,17.7857142857143
2023-06-03,65+,47.9285714285714
2023-06-10,0-17,3.85714285714286
2023-06-10,18-49,16.2857142857143
2023-06-10,50-64,17.6428571428571
2023-06-10,65+,44.2142857142857
2023-06-17,0-17,2.14285714285714
2023-06-17,18-49,17.2857142857143
2023-06-17,50-64,16
2023-06-17,65+,36.7142857142857
2023-06-24,0-17,2.57142857142857
2023-06-24,18-49,13.8571428571429
2023-06-24,50-64,14.2857142857143
2023-06-24,65+,30.5714285714286
2023-07-01,0-17,4
2023-07-01,18-49,15.4285714285714
2023-07-01,50-64,15.6428571428571
2023-07-01,65+,40.6428571428572
2023-07-08,0-17,4
2023-07-08,18-49,13.7142857142857
2023-07-08,50-64,13.7142857142857
2023-07-08,65+,41.1428571428572
2023-07-15,0-17,6
2023-07-15,18-49,18.5714285714286
2023-07-15,50-64,20.7142857142857
2023-07-15,65+,53.5714285714286
2023-07-22,0-17,7
2023-07-22,18-49,17.5714285714286
2023-07-22,50-64,22.2142857142857
2023-07-22,65+,71.7857142857143
2023-07-29,0-17,6.42857142857143
2023-07-29,18-49,23.1428571428571
2023-07-29,50-64,24.8571428571429
2023-07-29,65+,75.5714285714286
2023-08-05,0-17,12
2023-08-05,18-49,25.8571428571429
2023-08-05,50-64,28.8571428571429
2023-08-05,65+,79.4285714285714
2023-08-12,0-17,11.4285714285714
2023-08-12,18-49,26.1428571428571
2023-08-12,50-64,31.7857142857143
2023-08-12,65+,91.6428571428571
2023-08-19,0-17,16.5714285714286
2023-08-19,18-49,32.7142857142857
2023-08-19,50-64,39.5714285714286
2023-08-19,65+,105.285714285714
2023-08-26,0-17,25.5714285714286
2023-08-26,18-49,39.5714285714286
2023-08-26,50-64,43
2023-08-26,65+,127.428571428571
2023-09-02,0-17,25.8571428571429
2023-09-02,18-49,47.7142857142857
2023-09-02,50-64,50.8571428571429
2023-09-02,65+,151.714285714286
2023-09-09,0-17,41.1428571428572
2023-09-09,18-49,87.8571428571429
2023-09-09,50-64,63.2142857142857
2023-09-09,65+,167.214285714286
2023-09-16,0-17,20.1428571428571
2023-09-16,18-49,53.4285714285714
2023-09-16,50-64,54.9285714285714
2023-09-16,65+,166.214285714286
2023-09-23,0-17,24.2857142857143
2023-09-23,18-49,71
2023-09-23,50-64,54.5714285714286
2023-09-23,65+,155.285714285714
2023-09-30,0-17,16
2023-09-30,18-49,40.8571428571429
2023-09-30,50-64,44.3571428571429
2023-09-30,65+,126.928571428571
2023-10-07,0-17,10.2857142857143
2023-10-07,18-49,28.4285714285714
2023-10-07,50-64,32.4285714285714
2023-10-07,65+,108.285714285714
2023-10-14,0-17,9
2023-10-14,18-49,26
2023-10-14,50-64,29.4285714285714
2023-10-14,65+,98.4285714285714
2023-10-21,0-17,8.14285714285714
2023-10-21,18-49,23
2023-10-21,50-64,26.7857142857143
2023-10-21,65+,85.7857142857143
2023-10-28,0-17,12.1428571428571
2023-10-28,18-49,25
2023-10-28,50-64,31.0714285714286
2023-10-28,65+,102.5
2023-11-04,0-17,10.4285714285714
2023-11-04,18-49,24
2023-11-04,50-64,29.6428571428571
2023-11-04,65+,89.5
2023-11-11,0-17,11.4285714285714
2023-11-11,18-49,33
2023-11-11,50-64,33.2142857142857
2023-11-11,65+,106.214285714286
2023-11-18,0-17,6.71428571428571
2023-11-18,18-49,26.7142857142857
2023-11-18,50-64,28.3571428571429
2023-11-18,65+,89.2142857142857
2023-11-25,0-17,9.57142857142857
2023-11-25,18-49,25.8571428571429
2023-11-25,50-64,27.7142857142857
2023-11-25,65+,95.8571428571429
2023-12-02,0-17,10
2023-12-02,18-49,24.8571428571429
2023-12-02,50-64,31.5
2023-12-02,65+,120.5
2023-12-09,0-17,10.1428571428571
2023-12-09,18-49,23.5714285714286
2023-12-09,50-64,35.0714285714286
2023-12-09,65+,122.071428571429
2023-12-16,0-17,9.28571428571429
2023-12-16,18-49,27.8571428571429
2023-12-16,50-64,42.3571428571429
2023-12-16,65+,138.642857142857
2023-12-23,0-17,14.4285714285714
2023-12-23,18-49,30.2857142857143
2023-12-23,50-64,44
2023-12-23,65+,168.571428571429
2023-12-30,0-17,15.7142857142857
2023-12-30,18-49,38.5714285714286
2023-12-30,50-64,50.7857142857143
2023-12-30,65+,181.071428571429
2023-12-31,0-17,24.625
2023-12-31,18-49,79
2023-12-31,50-64,98.5625
2023-12-31,65+,333.1875
2024-01-06,0-17,14.6666666666667
2024-01-06,18-49,40.3333333333333
2024-01-06,50-64,62
2024-01-06,65+,212.333333333333
2024-01-13,0-17,13.4285714285714
2024-01-13,18-49,38.5714285714286
2024-01-13,50-64,55.5714285714286
2024-01-13,65+,194.571428571429
2024-01-20,0-17,17.7142857142857
2024-01-20,18-49,35.5714285714286
2024-01-20,50-64,53.0714285714286
2024-01-20,65+,167.928571428571
2024-01-27,0-17,21.4285714285714
2024-01-27,18-49,43.5714285714286
2024-01-27,50-64,54.8571428571429
2024-01-27,65+,164.142857142857
2024-02-03,0-17,19.2857142857143
2024-02-03,18-49,126.857142857143
2024-02-03,50-64,83.2857142857143
2024-02-03,65+,190.428571428571
2024-02-10,0-17,17.5714285714286
2024-02-10,18-49,72.2857142857143
2024-02-10,50-64,65.2142857142857
2024-02-10,65+,180.214285714286
2024-02-17,0-17,17.4285714285714
2024-02-17,18-49,42.5714285714286
2024-02-17,50-64,56.6428571428572
2024-02-17,65+,164.214285714286
2024-02-24,0-17,10.4285714285714
2024-02-24,18-49,34
2024-02-24,50-64,50.3571428571429
2024-02-24,65+,142.214285714286
2024-03-02,0-17,13.1428571428571
2024-03-02,18-49,133.428571428571
2024-03-02,50-64,62.2142857142857
2024-03-02,65+,137.5
2024-03-09,0-17,11.1428571428571
2024-03-09,18-49,49.2857142857143
2024-03-09,50-64,37.9285714285714
2024-03-09,65+,110.785714285714
2024-03-16,0-17,5.42857142857143
2024-03-16,18-49,24.5714285714286
2024-03-16,50-64,28.0714285714286
2024-03-16,65+,84.5
2024-03-23,0-17,5.71428571428571
2024-03-23,18-49,22
2024-03-23,50-64,27.4285714285714
2024-03-23,65+,76.4285714285714
2024-03-30,0-17,4.85714285714286
2024-03-30,18-49,96.8571428571429
2024-03-30,50-64,43.9285714285714
2024-03-30,65+,84.0714285714286
2024-04-06,0-17,4.42857142857143
2024-04-06,18-49,37
2024-04-06,50-64,24.8571428571429
2024-04-06,65+,67.2857142857143
