date,agegroup,hosp
2022-11-19,50-64,31.4285714285714
2022-11-19,65+,115.857142857143
2022-11-26,0-17,39.4285714285714
2022-11-26,18-49,17.1428571428571
2022-11-26,50-64,30.7857142857143
2022-11-26,65+,122.357142857143
2022-12-03,0-17,12.1428571428571
2022-12-03,18-49,27.8571428571429
2022-12-03,50-64,41
2022-12-03,65+,159
2022-12-10,0-17,10.7142857142857
2022-12-10,18-49,33.1428571428572
2022-12-10,50-64,41.3571428571429
2022-12-10,65+,162.357142857143
2022-12-17,0-17,7.42857142857143
2022-12-17,18-49,38.8571428571429
2022-12-17,50-64,47.2857142857143
2022-12-17,65+,205.142857142857
2022-12-24,0-17,13
2022-12-24,18-49,48.2857142857143
2022-12-24,50-64,53.5714285714286
2022-12-24,65+,228.857142857143
2022-12-31,0-17,10.7142857142857
2022-12-31,18-49,54.1428571428572
2022-12-31,50-64,68.2142857142857
2022-12-31,65+,283.5
2023-01-14,0-17,12.2857142857143
2023-01-14,18-49,50.5714285714286
2023-01-14,50-64,69.3571428571429
2023-01-14,65+,298.214285714286
2023-01-21,0-17,10.8571428571429
2023-01-21,18-49,51.4285714285714
2023-01-21,50-64,59.0714285714286
2023-01-21,65+,263.357142857143
2023-01-28,0-17,12.5714285714286
2023-01-28,18-49,45.7142857142857
2023-01-28,50-64,57.0714285714286
2023-01-28,65+,231.928571428571
2023-02-04,0-17,12.1428571428571
2023-02-04,18-49,37.8571428571429
2023-02-04,50-64,50.1428571428572
2023-02-04,65+,212.714285714286
2023-02-11,0-17,9.57142857142857
2023-02-11,18-49,35.2857142857143
2023-02-11,50-64,45.5
2023-02-11,65+,192.5
2023-02-18,0-17,8.71428571428571
2023-02-18,18-49,27.1428571428571
2023-02-18,50-64,38.3571428571429
2023-02-18,65+,168.5
2023-02-25,0-17,8.85714285714286
2023-02-25,18-49,26.7142857142857
2023-02-25,50-64,37
2023-02-25,65+,163.857142857143
2023-03-04,0-17,9.85714285714286
2023-03-04,18-49,26.8571428571429
2023-03-04,50-64,31.9285714285714
2023-03-04,65+,146.642857142857
2023-03-11,0-17,6.71428571428571
2023-03-11,18-49,22.5714285714286
2023-03-11,50-64,33.0714285714286
2023-03-11,65+,137.214285714286
2023-03-18,0-17,4.42857142857143
2023-03-18,18-49,19.7142857142857
2023-03-18,50-64,28.5
2023-03-18,65+,121.785714285714
2023-03-25,0-17,5.85714285714286
2023-03-25,18-49,20.8571428571429
2023-03-25,50-64,25.7857142857143
2023-03-25,65+,125.214285714286
2023-04-01,0-17,4.42857142857143
2023-04-01,18-49,15.5714285714286
2023-04-01,50-64,29.6428571428571
2023-04-01,65+,126.071428571429
2023-04-08,0-17,7.14285714285714
2023-04-08,18-49,22
2023-04-08,50-64,27.6428571428571
2023-04-08,65+,110.214285714286
2023-04-15,0-17,6.14285714285714
2023-04-15,18-49,17.8571428571429
2023-04-15,50-64,24.1428571428571
2023-04-15,65+,100.428571428571
2023-04-22,0-17,6.71428571428571
2023-04-22,18-49,18.7142857142857
2023-04-22,50-64,21.3571428571429
2023-04-22,65+,89.2142857142857
2023-04-29,0-17,4.85714285714286
2023-04-29,18-49,15.2857142857143
2023-04-29,50-64,21.8571428571429
2023-04-29,65+,81.5714285714286
2023-05-06,0-17,5.28571428571429
2023-05-06,18-49,16.8571428571429
2023-05-06,50-64,19.2857142857143
2023-05-06,65+,80
2023-05-13,0-17,5.57142857142857
2023-05-13,18-49,11
2023-05-13,50-64,17.6428571428571
2023-05-13,65+,83.7857142857143
2023-05-20,0-17,4.85714285714286
2023-05-20,18-49,11.7142857142857
2023-05-20,50-64,16.5
2023-05-20,65+,73.6428571428571
2023-05-27,0-17,5.42857142857143
2023-05-27,18-49,8.71428571428571
2023-05-27,50-64,18.7142857142857
2023-05-27,65+,77.7142857142857
2023-06-03,0-17,3.42857142857143
2023-06-03,18-49,11.5714285714286
2023-06-03,50-64,19.2142857142857
2023-06-03,65+,80.5
2023-06-10,0-17,5.42857142857143
2023-06-10,18-49,15.8571428571429
2023-06-10,50-64,20.6428571428571
2023-06-10,65+,79.5
2023-06-17,0-17,3.42857142857143
2023-06-17,18-49,12.1428571428571
2023-06-17,50-64,17.3571428571429
2023-06-17,65+,79.6428571428571
2023-06-24,0-17,5.14285714285714
2023-06-24,18-49,16.2857142857143
2023-06-24,50-64,17.9285714285714
2023-06-24,65+,81.7857142857143
2023-07-01,0-17,4.14285714285714
2023-07-01,18-49,17.1428571428571
2023-07-01,50-64,20.7142857142857
2023-07-01,65+,89.2857142857143
2023-07-08,0-17,8
2023-07-08,18-49,17.8571428571429
2023-07-08,50-64,21.1428571428571
2023-07-08,65+,92.1428571428571
2023-07-15,0-17,6.42857142857143
2023-07-15,18-49,17
2023-07-15,50-64,28.7142857142857
2023-07-15,65+,104.285714285714
2023-07-22,0-17,6.85714285714286
2023-07-22,18-49,19.5714285714286
2023-07-22,50-64,28
2023-07-22,65+,114.714285714286
2023-07-29,0-17,7.57142857142857
2023-07-29,18-49,26.8571428571429
2023-07-29,50-64,34.2857142857143
2023-07-29,65+,144.428571428571
2023-08-05,0-17,9.42857142857143
2023-08-05,18-49,30.4285714285714
2023-08-05,50-64,36.5
2023-08-05,65+,168.214285714286
2023-08-12,0-17,10
2023-08-12,18-49,28.7142857142857
2023-08-12,50-64,45.5714285714286
2023-08-12,65+,186.571428571429
2023-08-19,0-17,15.5714285714286
2023-08-19,18-49,30
2023-08-19,50-64,44.7142857142857
2023-08-19,65+,202.142857142857
2023-08-26,0-17,21.4285714285714
2023-08-26,18-49,44.5714285714286
2023-08-26,50-64,55.7857142857143
2023-08-26,65+,222.785714285714
2023-09-02,0-17,18.2857142857143
2023-09-02,18-49,46.8571428571429
2023-09-02,50-64,62.3571428571429
2023-09-02,65+,232.5
2023-09-09,0-17,16.8571428571429
2023-09-09,18-49,49.1428571428572
2023-09-09,50-64,49.3571428571429
2023-09-09,65+,211.357142857143
2023-09-16,0-17,11.5714285714286
2023-09-16,18-49,39.2857142857143
2023-09-16,50-64,43.7142857142857
2023-09-16,65+,192.142857142857
2023-09-23,0-17,9.57142857142857
2023-09-23,18-49,25
2023-09-23,50-64,38.8571428571429
2023-09-23,65+,156.571428571429
2023-09-30,0-17,6.71428571428571
