"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location"
"0-17",1,-8.59905862990396,-0.0100514997356584,-0.000198669988950942,2.02239977088814e-06,-3.39106965588178e-06,-2.6948376210497e-05,3.13221293340373e-05,-3.09054184643819e-06,5.31009323196745e-06,-3.39908488861613e-05,-0.000204552257149928,0.00070323135394503,-0.000607782693955697,6.25525455017303e-05,7.53424574145684e-05,0,0,0,0,0,0,0,0,0,0,0,0,109.909090909091,122.121212121212,134.333333333333,207.606060606061,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.61194768575608,-0.0162955803888626,5.72412479422833e-05,-1.41107907268078e-08,-1.99220945074621e-06,5.85649884958242e-06,-5.70169662205415e-06,2.03483968213266e-05,8.5430942806929e-05,-0.000711530834667852,0.00138995208259612,-0.000978093045539713,9.98350079165027e-05,9.59594143526618e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,207.606060606061,268.666666666667,317.515151515152,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.47057627479197,-0.014282646228189,0.000121443232768294,-3.53608780145777e-07,-9.23278663703675e-08,3.40098384903134e-05,-2.34285143829414e-05,-7.67537217386983e-05,7.15022246685193e-05,-5.0820673059768e-06,-1.05832836779689e-05,-0.000182636430196633,0.000558688045259737,-0.000472183162223607,5.13411159599654e-05,5.55851795185929e-05,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.0928537423675,0.0415850554146596,-0.00450120901380762,0.000102911918146927,-5.43002978260652e-05,-0.000161956471919589,0.000121502851521157,-6.68487878533017e-06,-7.86126284475228e-05,0.000112179715771325,-2.21755146562162e-05,-0.000118421422408952,0.00011399862757883,-1.01177562620237e-05,-7.58623181034095e-06,5.17342218424946e-05,0.00013785446293433,-0.00095395438072021,0.00162008542070015,-0.00103952710148675,0.000104020465139426,8.90967471027555e-05,0,0,0,0,0,12.2121212121212,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,293.090909090909,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1
"0-17",2,-7.71306930615952,-0.0454455300568495,0.000317913113609086,-5.17844102445653e-07,-1.53745597044141e-07,4.87970838873209e-06,6.50956912303079e-05,-0.00015424417720352,8.91290909220194e-05,-2.22229324397045e-05,-0.000272230712165752,0.000817459095434153,-0.00067807629042765,7.161362492485e-05,7.93017000389211e-05,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,293.090909090909,305.30303030303,317.515151515152,329.727272727273,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.12594041347295,-0.0328422896203854,0.000193407553353087,-4.15648991925541e-07,6.549938505665e-08,8.93167370973034e-07,-1.43843978374603e-05,-0.000234958720126646,0.000708595883224389,-0.000592594002954669,6.40103651839418e-05,6.88194073637877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,268.666666666667,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.07638596081327,-0.0237604218182142,0.000246176832970769,-1.51340893562218e-06,9.0205856805339e-07,6.70312623693079e-06,-1.31011849619176e-05,-8.51466185046919e-06,5.37754124919518e-05,0.000122712784361518,-0.000700219394913117,0.00136786317061626,-0.00156736006178252,0.00108657023964477,-0.00039568135881321,4.1977263417928e-05,-2.64833335282232e-05,8.00818308582324e-05,9.36404293086648e-05,-0.00073356201057313,0.00136816327434912,-0.00113834508114644,0.000390171158961021,-2.91174574889648e-05,1.34165277521681e-06,0,0,24.4242424242424,158.757575757576,195.393939393939,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1
"65+",2,-10.0271411831147,0.0269787485291747,-0.00299510702328459,4.25159072699807e-05,4.81712199079678e-05,-5.33173836367027e-05,-0.000174553198689901,0.000148536882068134,-1.19990947798066e-05,-0.000120378253948623,0.000183850994029822,-0.00014900663493778,3.50635936550882e-05,5.89793727238469e-05,-9.37711349357719e-06,-8.88054591018397e-06,5.69515117655457e-05,0.000159455384526287,-0.00101941994294192,0.00165594673996889,-0.00102756206841276,0.000102424990303213,8.26388976972796e-05,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,293.090909090909,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1
"0-17",3,-8.69997041181076,0.0115160261498555,-0.00108507542075978,7.10570609950559e-06,4.50624669915907e-06,-8.09703255845539e-06,-9.98966732012176e-05,0.000122035241201964,-9.14250675691792e-06,-5.83729218401014e-05,0.000177210292096351,-5.64682003038151e-05,-0.000227707734975578,0.000153524844277288,-1.74518484186647e-06,-3.48033992903219e-06,-9.18679163920518e-06,5.61322199241908e-05,0.000228413183098654,-0.000956764954873142,0.00108261754455747,-0.000420547246423296,1.8569764933503e-05,9.41815249502144e-06,-1.28342138110707e-05,3.58074508741573e-06,0,12.2121212121212,73.2727272727273,85.4848484848485,97.6969696969697,134.333333333333,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,317.515151515152,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,671.666666666667,708.30303030303,781.575757575758,-1
"18-49",3,-7.88114508343712,-0.0324484059500361,0.000278986375500532,-8.2918069389069e-07,-7.24694074200761e-08,3.74220688461171e-05,-2.39001037434485e-05,-7.82037298345436e-05,6.96379091023987e-05,-4.22702932103814e-06,-9.22198264313878e-06,6.01699079785404e-05,0.000255025355788387,-0.00109290292557247,0.00126831341133462,-0.00050836633490533,2.42793432403142e-05,3.538716374235e-06,-5.09811550823627e-07,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1
