"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location"
"0-17",1,-8.56601490382077,0.0400055667154332,-0.00196075344308296,1.02990873099323e-05,8.78373777753362e-06,-9.22738597380867e-06,-5.86418922695606e-05,4.91363675666779e-05,7.57869946394548e-06,-5.30540959145213e-05,-0.000274344666187467,0.0010749057481973,-0.00118343493236046,0.000456972957261322,-3.03309595156495e-05,1.36051806487745e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,61.0606060606061,73.2727272727273,85.4848484848485,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.31419027980236,-0.0654862156630379,0.00284730842997149,-3.87992991925562e-05,1.00008916253622e-06,0.000196926044345835,-8.7425236849325e-05,-0.000399993070460699,0.000512388848884824,-0.000187143148335023,2.07882714045864e-06,2.75128716512715e-06,-3.97419704233338e-06,-8.53141432673019e-05,6.85879815419194e-05,0.000373609026362975,-0.000599311057402959,0.000246662161065834,-2.02716245178004e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,97.6969696969697,122.121212121212,268.666666666667,341.939393939394,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.24778186845283,-0.0200774119354725,0.000230852582622837,-9.10836356358775e-07,8.37933149493483e-08,8.67034016523068e-06,-6.99140093802264e-06,-3.65575944822159e-05,3.79308499455305e-05,-1.28785098027426e-05,1.68614698514844e-05,0.000167126945081918,-0.000312132006582715,0.000139935150758319,-1.17635931439256e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,195.393939393939,207.606060606061,219.818181818182,366.363636363636,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-8.09427500734129,0.0523050230185264,-0.00255381186036334,1.38566217741877e-05,9.37788456236117e-06,-1.01301082260771e-05,-6.76163548444859e-05,5.47785359568744e-05,-4.38612308713936e-05,4.13993723476016e-05,0.000300043218287995,-0.000511335274397096,0.000215202641435828,-1.76811580264737e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,61.0606060606061,73.2727272727273,85.4848484848485,390.787878787879,415.212121212121,427.424242424242,439.636363636364,451.848484848485,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.15723250573023,-0.0412879753911573,0.000286877658714291,-9.34085068749846e-07,4.49718377345793e-07,1.46202006463532e-06,7.24859653814718e-06,-5.07529837852251e-05,-0.000267636951287716,0.00101550555561625,-0.00109633540671461,0.000417727267238647,-2.80021807971859e-05,1.25848956249396e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,268.666666666667,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.24518614004276,-0.0250925529883664,0.000234393541616746,-4.75922543590187e-07,-3.93674342014934e-07,4.3218698688315e-06,3.02141289667633e-05,-4.97945917786947e-05,1.85033769507213e-05,-5.57613833888862e-06,-0.000144617705770613,0.00027197145911971,-5.31014104122125e-05,-9.06273252445455e-05,1.95700033321562e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,232.030303030303,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-9.78836159415611,-0.108654442001258,0.00444851237167555,-5.17811625511235e-05,1.94787252885267e-05,3.861507764612e-05,-9.00086478699301e-06,-8.3214480271927e-05,0.000142400992657442,-0.000145869986729761,3.54735419015364e-05,6.38627683793151e-05,-1.02142370998811e-05,-7.60026161933679e-06,-0.000139420527030926,0.000425487687166463,-0.000360393588535166,3.94701083286498e-05,4.27161893469685e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,280.878787878788,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-8.32340572298583,-0.0758727773479419,0.00353270483716348,-4.97608144673905e-05,-1.62873403553682e-06,0.000284793104607001,-0.000127414796348552,-0.000458804206818791,0.000395163258484305,-7.49053649490038e-05,2.94811498725972e-05,0.000126214435025924,-0.000152093479872071,3.10347847884344e-05,-3.47561452526827e-05,-0.000477432336071261,0.00192864832969156,-0.00228004981240346,0.000401213423905839,0.000903965175036873,-0.000442700556931693,-3.98986888289361e-05,4.18715612866393e-05,2.49967583750828e-05,-0.00014596350703471,-0.000148835867361159,0.00147615851020902,-0.00307763506946134,0.00412274467226523,-0.00485361246594237,0.00502965632585313,-0.00510480531003301,0.0100546970126205,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,134.333333333333,170.969696969697,183.181818181818,195.393939393939,232.030303030303,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,561.757575757576,573.969696969697,683.878787878788,696.090909090909,708.30303030303,720.515151515152,732.727272727273,744.939393939394,757.151515151515,769.363636363636,781.575757575758,793.787878787879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-7.37408605260741,-0.0913922567977552,0.00403023607564697,-5.46266165833591e-05,1.46184123974717e-06,0.000276024856590466,-0.000122736747649684,-0.000571847175434355,0.000754601172634769,-0.000293253140521806,4.67433462108836e-06,6.40206865802044e-05,-3.02512254813443e-05,-0.000126549103455646,0.000105064533528421,-6.31254091548175e-06,1.37142986448646e-05,-8.01015027551474e-05,-0.00033830099317731,0.0017667888332659,-0.00228821366755618,0.000379590251425244,0.00125206176979232,-0.000847782340646517,0.000148384039764238,-8.53189327542049e-06,2.63320889352134e-06,-6.64232003882613e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,97.6969696969697,122.121212121212,183.181818181818,195.393939393939,207.606060606061,219.818181818182,280.878787878788,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
