"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location"
"0-17",1,-8.9896660260735,-0.0247662478048826,0.000171634535186604,-2.15797834690183e-07,-2.02583160690821e-07,3.56772950376615e-06,3.74000422584952e-05,-5.33801167918417e-05,5.88276675762068e-05,-2.24191959576796e-05,-8.71139316915475e-05,6.35268667726707e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,317.515151515152,329.727272727273,341.939393939394,427.424242424242,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.74076251532486,-0.00975166733917634,-1.42904120556614e-05,1.80402621209875e-07,-2.22393722751815e-06,1.10049787270428e-05,0.000127658583582187,-0.000305762617122325,0.000181495016552455,-3.15841112211808e-05,-0.000319055454080357,0.000913251759010818,-0.000733173881534785,7.58112909479569e-05,8.24433511753296e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.606060606061,317.515151515152,329.727272727273,341.939393939394,354.151515151515,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.4842036771742,-0.0135495546724622,0.0002157768354794,-1.06548313133742e-06,1.67387269871475e-08,2.1316966792178e-05,-1.15283142173545e-05,-4.18545777317532e-05,3.63919611295778e-05,5.92179117370314e-06,-4.16637628073929e-05,-0.000248361878323188,0.00107997970683211,-0.00144991039743935,0.000316898047353954,0.00121589558683689,-0.00131443642039606,0.00045988020889291,-2.87255104041347e-05,1.27152922608824e-06,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,183.181818181818,195.393939393939,219.818181818182,366.363636363636,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-11.1357358199487,0.186526846310465,-0.0102782402303006,0.000137694228105771,5.32304390160214e-05,-6.59405004008723e-05,-0.000374321092342057,0.000273033728590064,-8.40986895244634e-06,-1.02144370373215e-05,-0.00015142527278394,0.000210297919506738,-2.77842244704009e-05,-0.000262652470889117,0.000260564091817718,-8.94303657542102e-06,-1.14289132206678e-05,-0.000194027252826698,0.000284794513329874,-4.67794329025441e-05,-0.000258823706062484,0.000224545939426124,-3.18997015767205e-05,-0.00036152782593512,0.000893160730214979,-0.000653920711513854,6.67454042973106e-05,6.40515698278475e-05,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,232.030303030303,280.878787878788,293.090909090909,305.30303030303,329.727272727273,341.939393939394,354.151515151515,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1
"0-17",2,-7.99797444314727,-0.0462463576982155,0.000283823506553377,-7.7138529069236e-07,2.73682657779062e-07,-6.55806430647279e-06,3.91660288813877e-05,-0.000128180976245777,-8.82197121166958e-05,0.00131775458197537,-0.00276438519813731,0.00259484637808952,-0.00113219083082391,0.000167730220615049,-5.65173241720751e-05,3.7805384362541e-05,0.000184997336460338,-0.000191571008342569,6.98156288385848e-06,1.88369296771069e-05,0,0,0,0,0,0,0,0,0,0,24.4242424242424,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,366.363636363636,378.575757575758,390.787878787879,415.212121212121,427.424242424242,439.636363636364,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.56646621005551,-0.020292973664991,5.17136844457337e-05,-1.38927790041887e-07,2.28240069819086e-07,-9.94636635773505e-07,-5.8954240341324e-06,1.28710287307621e-05,-1.06306424099897e-05,1.18627756910637e-05,-5.53295661428595e-05,-0.000161930829274618,0.000765002465661099,-0.000866797326623984,0.000324457127908669,-1.27172847890865e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,219.818181818182,232.030303030303,268.666666666667,341.939393939394,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.27291062083993,-0.0231606383348983,0.000280628556110169,-1.11333928609039e-06,-4.36830356347975e-08,6.70294964361536e-05,-3.90005459983898e-05,-0.000147955942415036,0.000126820345645328,-5.63011799052677e-06,-4.04727578904385e-05,4.56412353894866e-05,-2.03709058785243e-05,1.50317595389633e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,341.939393939394,354.151515151515,366.363636363636,451.848484848485,464.060606060606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.5055350834877,0.05400511332856,-0.00661177243396341,0.000112955663137775,5.08737462899411e-05,-6.48562122188987e-05,-0.000416032430027717,0.000366933965971486,-1.95068180215299e-05,-2.97213811642661e-05,-9.43917480508605e-06,-0.000114155099567572,0.000205547949441934,-1.51944152309826e-05,-0.000161777449104937,2.47390813449676e-05,7.55317445447783e-05,-3.97635457775393e-05,3.18612919230635e-05,-7.34979122469803e-05,0.000165999372463061,0.000360343378087871,-0.0017164287631738,0.00240335978764535,-0.00138505717962083,0.00016752702970414,7.51200929543772e-05,4.68925006061141e-06,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,97.6969696969697,134.333333333333,146.545454545455,158.757575757576,183.181818181818,195.393939393939,207.606060606061,219.818181818182,366.363636363636,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1
"0-17",3,-9.75511237488817,0.0655598612577226,-0.00256477428192477,2.31878779122207e-05,-7.23852472202744e-06,2.34301855243895e-06,-6.15436748171615e-06,-7.04187679403428e-05,0.00025984971889686,-0.000103647297043614,-0.000432438370259732,0.000408430798899764,-2.9589201591253e-05,-0.000175758969085742,0.000131651846333322,-7.6620047362764e-06,3.661544516271e-05,0.00016987830933884,-0.000449813020845258,0.000264360139769586,-6.27966322636495e-06,1.6413446929104e-05,0.000220858272720709,-0.000555016122716424,0.000125866150984704,0.000408979383733946,-0.000222084247172229,-2.65336731032645e-05,2.52478441452371e-05,-1.01574152487528e-06,12.2121212121212,24.4242424242424,73.2727272727273,85.4848484848485,122.121212121212,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,378.575757575758,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,561.757575757576,573.969696969697,781.575757575758
"18-49",3,-8.27459664329004,-0.0247890064970113,0.000141382776392653,-1.6045919410817e-07,-3.44235037572052e-07,6.95820027156616e-06,8.8679244994224e-05,-0.00022888042946718,0.000140168040675698,-1.73273528426203e-06,-8.60281873062948e-06,8.20606474273115e-06,-3.6776032093558e-05,0.000106131191234066,0.000299836470405142,-0.00129074746567333,0.00147576847823923,-0.000609539784153947,5.74684458927747e-05,-9.02371688364731e-06,3.09240224580833e-06,-8.07204055418431e-07,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,341.939393939394,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",3,-7.99850195570683,-0.0980374941517096,0.00407716642555177,-4.81385998686573e-05,1.91382910119896e-05,3.42101748587792e-05,-3.26462702459131e-06,-3.60559038300637e-05,0.000268093493515065,-0.000123361296726075,-0.000606902478957333,0.000718867761495965,-0.000221536924811898,2.83532718212637e-06,-7.45022906839132e-06,1.25427376907145e-05,-5.55378364457451e-05,0.000157169926597953,0.000358349562032119,-0.00180802868560566,0.00243506852917839,-0.00142930236754969,0.000380005418472476,-5.53730973139779e-05,8.78449929353769e-06,0,0,0,0,0,12.2121212121212,48.8484848484849,134.333333333333,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,341.939393939394,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,-1,-1,-1,-1,-1
"65+",3,-7.97731118340165,-0.142321048993812,0.00664940909681494,-8.02015423192817e-05,3.15794488590691e-05,5.85495620161419e-05,-9.68855111175285e-06,-0.00010875768690168,0.000162151413386934,-2.37465539741617e-05,-0.00019327938678628,0.000173228045519896,-1.51863934844017e-06,-2.62272620869479e-06,-3.02200926740341e-05,3.69021801334181e-05,-2.03549596476476e-05,-0.000235117169073653,0.000465122451503984,-0.000228278147587729,3.14048678880628e-06,3.91797367784005e-06,-5.95705475785387e-07,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,244.242424242424,329.727272727273,341.939393939394,366.363636363636,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1
