"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location"
"0-17",1,-8.23341144896339,-0.0230128601898471,0.00021030686218253,-6.71382338890496e-07,2.44784860354271e-07,2.90550442330159e-06,-1.49406776125369e-06,-1.72346647045698e-05,9.76688660986952e-06,0.000190622645543576,-0.000261198158185439,3.07756647873382e-05,4.62696736854342e-05,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,293.090909090909,366.363636363636,378.575757575758,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.39162881465371,0.000411012119284402,-0.000148317191647089,6.5477169677495e-07,-5.94276908479607e-06,9.17512743643947e-06,-4.5423132688438e-06,1.48591940192236e-05,-7.34083059675126e-05,-8.1185973030177e-05,0.000798394707880928,-0.0017746169162875,0.0020631372560141,-0.00115968634326053,0.000122358312930311,9.08473798285208e-05,0,0,0,0,0,0,0,0,0,195.393939393939,244.242424242424,305.30303030303,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.68994668393869,-0.101632897548052,0.00396080470051692,-5.13847509962386e-05,2.60173848394903e-05,3.00331349637492e-05,-4.09728837561485e-05,0.000319329729178181,-0.000222228673455071,-0.000799683867405656,0.00164779254149458,-0.0019299501193681,0.00233047864443741,-0.0027974600294356,0.00208555333354212,0.000392761710421831,-0.00203557183878925,0.00130114873715709,-0.000279410460105669,2.46144995054352e-05,-1.07674701518527e-06,0,0,0,0,12.2121212121212,48.8484848484849,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,354.151515151515,-1,-1,-1,-1
"65+",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.4522391986935,-0.0451810568404498,0.000309357485556506,-5.92606189811828e-07,-5.166474580706e-08,1.39677355870905e-06,1.9492820154314e-05,-2.41796026806382e-05,9.93507790006407e-06,8.06946775263593e-05,-0.000120457402828517,3.3723713472628e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,280.878787878788,293.090909090909,305.30303030303,427.424242424242,439.636363636364,451.848484848485,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.46822586226162,-0.00656568325060829,-9.51647126637701e-05,6.65233566964899e-07,-2.68376787438102e-07,-4.22934799383103e-06,5.17420854323106e-06,3.91997918418658e-05,-4.60555608493097e-05,9.07578968888027e-05,-4.37567319558487e-05,-0.000131749911488047,9.03037872714169e-05,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,207.606060606061,280.878787878788,293.090909090909,305.30303030303,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.40168002163163,0.0667592212004919,-0.00576750078265908,0.000121106777421102,-5.94329866155977e-05,-0.000184700290776842,0.000131379461626486,-8.86496475888886e-06,-9.17153634878823e-05,0.000135148843438866,-1.73138043497733e-05,-0.000160756494119924,0.000148135177745193,-3.25667281696266e-06,-1.02376445681173e-05,-1.12421719515553e-05,-0.000172567299566744,0.000549577992432246,-0.000475119116223605,5.15589212820884e-05,5.82947083905664e-05,0,0,0,0,12.2121212121212,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,244.242424242424,280.878787878788,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,-1,-1,-1,-1
"65+",2,-9.94796783699071,-0.132981797140234,0.00697258596869663,-8.64081981864686e-05,3.42943928808808e-05,6.40971640111361e-05,-1.14093472064042e-05,-0.000131451957337833,0.000196301599536581,-3.11133749903705e-05,-0.000289827086352906,0.000303097090510694,-1.27131701964574e-05,-3.56978659311028e-05,7.85864196445009e-06,-4.25818632171243e-05,0.000131874719369489,0.000119048005408404,-0.00138480143391057,0.00269996610029756,-0.0022383282277361,0.000794496070012369,-0.000110382716148716,2.49750123066507e-05,-1.2943723317901e-06,12.2121212121212,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,244.242424242424,256.454545454545,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091
"0-17",3,-9.15186984559918,-0.0012517711939709,2.37660837032146e-05,-8.21048813125171e-08,0.000150112667741178,-0.000109429687428456,-0.000591212029220369,0.000938277830343901,-0.000394662289813791,4.55560252592931e-06,3.0169137927209e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,586.181818181818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-7.91197673253691,-0.0227441220314485,0.000112056490702219,-1.72250722353814e-07,-1.8838542896838e-08,0.000160872501014259,-0.000110698045127226,-0.000637161388581261,0.000995117999622972,-0.000419109464034719,1.30618268054687e-05,-4.14733052051078e-06,2.66551090855146e-06,-5.74291858303122e-07,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
