"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location"
"0-17",1,-6.96788445099347,-0.0479095525581806,0.000518463543551356,-1.89095224937646e-06,4.5520517906635e-07,1.5860661364304e-06,-9.3087931276775e-06,5.36009570169725e-05,-0.000639276402661038,0.00142709640023457,-0.00104195962066095,0.000100907762818766,0.000108838082641499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.60892144228882,-0.00506488139958485,-0.000528070831061861,2.68586878537151e-06,2.30250846868263e-05,-5.27248232840109e-05,0.000106746875993412,-0.000225280538249523,-0.000436760431129426,0.00224023109100673,-0.0030765167209324,0.00196898768337664,-0.000703640482743015,0.000177509475812252,-2.54166788498162e-05,1.15481915090516e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,73.2727272727273,85.4848484848485,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,170.969696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-6.99813864201521,-0.0351863833877637,0.000259701147485324,-8.71911201138422e-07,4.0602199094958e-07,2.17417748476437e-05,-2.7021959816063e-05,0.000133155374676951,-0.000150260652072707,-0.00070315174190363,0.00193207084503152,-0.00180585365969835,0.000643266979850056,-4.5550156226868e-05,2.07959093092399e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,305.30303030303,317.515151515152,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-7.46433604100328,-0.0331639528355508,0.000283626187131279,-1.30681868776121e-06,6.73788516598929e-07,4.9332005315259e-05,-8.2731549368744e-05,3.70518341402454e-05,-2.34160219566585e-05,8.08437766520222e-05,5.75010812052769e-05,-0.000657881520712808,0.00147043042229494,-0.00182366231188946,0.001324047005147,-0.000487438667796585,5.05604846639711e-05,-3.36096238197333e-05,0.000103035907056593,8.29244247229161e-05,-0.000922716646173912,0.00187985618962126,-0.00163515497239974,0.000571363370251072,-4.1601216772458e-05,1.90867426892116e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,219.818181818182,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-7.88688919679368,-0.12447698035379,0.00359760181014825,-2.02888955150311e-05,-1.85005682315538e-05,8.66565179356674e-06,3.504880868335e-05,-4.62389425394958e-06,-6.0796813074912e-05,9.23602029410879e-05,-1.77512328756288e-05,-0.000121798304700067,0.000117222409020089,-1.00572623235932e-05,-8.72274378960826e-05,0.000131262826027079,-0.000102999135356022,3.42122464006942e-05,0.000302867390857425,-0.00053555800976521,0.000106257320352871,0.000508707465231532,-0.000450107084230552,4.09291184116301e-05,5.22001361844194e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,305.30303030303,317.515151515152,329.727272727273,366.363636363636,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-9.10581300401714,-0.040143506836376,-0.000711378745542701,4.48177590601381e-05,-3.54183220766682e-05,-0.000151443116024823,0.000156267580948326,-1.1776787700132e-05,-0.000151580196774545,0.000231156151581446,-1.69358672742532e-05,-0.000175268045369926,2.99828996816663e-05,0.000100810168499476,1.14724764618699e-05,-5.72321151881179e-05,-0.000206474807117799,0.000727223980284295,-0.000879385425991606,0.000430586737921413,-4.90847827637753e-05,-0.000163017590714319,0.000296890147511938,0.000536775629705832,-0.00257784653545217,0.003747865111355,-0.00231673365782677,0.000301802207305039,0.000233557550022203,-5.70331648098532e-05,0,0,0,0,0,0,0,0,0,0,24.4242424242424,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,183.181818181818,195.393939393939,207.606060606061,219.818181818182,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,366.363636363636,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-7.46408199341555,-0.0393412849093996,0.000432335687733608,-1.59743569307235e-06,4.36997910547062e-07,1.24375921336108e-06,-8.20490963442197e-06,5.50933074218022e-05,0.000245066599226771,-0.00102285775913124,0.00116193619988066,-0.000453038180970735,2.04387675619015e-05,2.38994552955554e-06,-7.77944186031474e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,610.606060606061,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-6.9416415268337,-0.0272183012222639,0.000132740130617485,-1.69309640788901e-07,-6.76332538213949e-08,6.14524485998885e-07,-1.03852846977551e-05,6.50804664978672e-05,0.000284832086757185,-0.00120670116038949,0.00139626173573219,-0.000568824201341435,3.88180994685994e-05,-2.00345431171106e-06,3.01814115478296e-06,-7.29089684750083e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,305.30303030303,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
