"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location"
"0-17",1,-7.73677980233077,-0.0656405038241431,0.000814061764748224,-3.51016391704169e-06,1.37873491379387e-06,2.39665892347923e-06,7.67917406392069e-06,-5.49011633487306e-05,-0.000285033836569167,0.00113268599963874,-0.00126080283350633,0.000491174829774478,-3.25054528349456e-05,1.46732920103645e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.26092995947774,-0.0319054755276369,0.000273106347727904,-1.11864926134656e-06,4.38045410025283e-07,8.99778394358555e-05,-0.000170198371614878,3.78647275360935e-05,5.13792444174339e-05,-1.46688715082217e-05,9.21584728645896e-06,1.04820161902476e-05,-6.56544902894423e-05,-0.000313360030348394,0.00118645096942893,-0.00127547615361724,0.000485719210102832,-3.25112932516918e-05,1.47034701165582e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,329.727272727273,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.79723610426577,0.0228844546406831,-0.00505943717430581,7.99339189266936e-05,8.00198670545393e-05,-9.74069254076265e-05,-0.000427731630384415,0.000589250533830153,-0.000236432179176332,2.34345670084475e-05,-6.18415272480522e-05,0.000133491877221512,0.000173213670928419,-0.00106534292923086,0.00180417190380489,-0.00182327454613229,0.00148024512795256,-0.000940403328748804,0.000187077278282808,0.000127911414388464,0.00010757216216669,-0.000191465696064604,-0.000216949182113747,0.00113288191667133,-0.00249940403429595,0.00328835322381493,-0.00210108448030664,0.000273483711300244,0.000218311392594985,-3.80173122474669e-05,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,97.6969696969697,109.909090909091,122.121212121212,134.333333333333,146.545454545455,158.757575757576,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,244.242424242424,256.454545454545,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.48836323325375,-0.0532811124385265,0.000379066886739559,-6.05938994484192e-07,-1.69406029417671e-07,4.95594943732437e-06,5.18621190423339e-05,-0.0001270290062725,7.5788195130069e-05,1.20969789597794e-05,-7.00821926320567e-05,-0.000315029543758304,0.00119706320304012,-0.0012924673205768,0.000495099047036268,-3.29255920966041e-05,1.48639286379298e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,293.090909090909,305.30303030303,317.515151515152,329.727272727273,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.39722180921411,-0.0394829901748792,0.000267706858877718,-5.3733336596929e-07,-1.18005963039827e-07,4.08769353245703e-05,-2.91326000591329e-05,-9.92728192641893e-05,9.65079741319069e-05,-1.44816036040931e-05,9.32460219464544e-06,8.09977350628345e-06,-5.35186094496057e-05,-0.000268966462861649,0.000994436512583149,-0.00105918754195969,0.000401796600184603,-2.70335415736722e-05,1.22363161626315e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,329.727272727273,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.04158475143722,0.0136278488492511,-0.00506197359741969,8.09791263013282e-05,8.72336711633034e-05,-0.000103936453196733,-0.000406977311607573,0.000495036865745154,-0.000147920433452483,-3.07105266239347e-05,0.000218893565043717,-0.00011493399319176,-0.000526811851697369,0.000687169339273541,-0.000239259025495681,2.45571034228446e-06,-3.63273239129719e-05,3.24291164283589e-05,0.000224795349415289,-0.000382046301776338,0.000161241610557108,-1.32275509501862e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-9.99347124985056,0.114019276319475,-0.0100273946871482,0.000154733544350546,0.000107555089887818,-0.000132778095825239,-0.000667747104828023,0.000777365418411354,-0.000233972800110385,6.01939967638474e-06,-1.50738273780866e-05,-0.00010328741051849,0.000172413295732219,-0.00016483364012295,3.60554826705593e-05,7.29114267781084e-05,-1.03312077980682e-05,1.29412264688167e-05,-6.30010002954561e-05,0.000183908685226132,0.000181052585759638,-0.0019133782652101,0.00360487534641121,-0.00290846325488234,0.00102605691869255,-0.000164841050695803,5.01267959388936e-05,-8.28828826932915e-06,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,293.090909090909,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-7.98421231535122,-0.0502281200975907,0.000250402854080013,1.29017283360163e-06,6.10077948504547e-07,-3.4460491211235e-06,-2.69713689338226e-05,3.0632995983027e-05,-6.37407153861406e-06,-6.25263477110544e-05,0.00010039466997068,-3.46380685939851e-05,-0.00021282765854278,0.000741510437796882,-0.000327238818538877,-0.001545868631988,0.00243127006711259,-0.00136968908113374,0.000327646886160543,-5.37282666499832e-05,9.30707163036778e-06,1.59947136669312e-06,-5.82842556397485e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,73.2727272727273,85.4848484848485,97.6969696969697,244.242424242424,256.454545454545,268.666666666667,293.090909090909,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,647.242424242424,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-7.91695472929444,-0.0276797934242555,0.000132758727007723,-1.22230105329527e-08,-3.10453554317157e-07,6.28696383652366e-06,7.89607755073991e-05,-0.000214171498532734,0.00013749127387768,-2.11112412563527e-06,-5.94182927379596e-06,-0.000265477406634719,0.00090010769616409,-0.000436589914117842,-0.00185648558780701,0.00335007840125367,-0.00257004028084612,0.00121444398806933,-0.000395436727833836,6.67297401820412e-05,-1.19643574317761e-05,5.11043427096502e-06,-8.60564253309514e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,293.090909090909,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,525.121212121212,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",3,-7.80482006657486,0.0401718777923983,-0.00623916291610874,0.000101760157973312,9.21287095108215e-05,-0.000112155178958738,-0.000505952369336963,0.000628932093158237,-0.000202330404671897,2.41326220681832e-06,-3.19242340029125e-05,0.000228841162023534,-0.000122991049661863,-0.000546318030572261,0.000716547177649247,-0.000250625829788704,2.92069982937808e-06,-6.97939371885042e-06,3.36690017742827e-05,-0.000182672918961983,0.000262405967492256,0.000757338679252853,-0.00272992118302536,0.00321027117006903,-0.00171716036474388,0.000435331214871671,-8.02976458294254e-05,1.54618869112344e-05,1.74575860858009e-06,-7.96040670522817e-08,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",3,-8.21160215051829,0.0930829304294411,-0.00940568062998943,0.000154093091316469,0.000126247459428613,-0.000156805473355184,-0.000797566644171912,0.00104847020275754,-0.000388019577474905,1.92131127607035e-05,-4.27256540585176e-05,2.82990492144974e-05,0.000295785813360491,-0.000475545436415313,6.72279743399362e-05,0.00014386366208035,1.61365341156909e-05,-7.6816340821579e-05,-0.000223081235321265,0.000985270863395605,-0.0015548155491148,0.00128089724241703,-0.000511737010302558,4.92484197504898e-05,-3.35357317359935e-05,0.000258147667366298,-0.000297375770528252,-0.000518173582627834,0.00225495671700373,-0.00393893140572203,0.00410669158211829,-0.002789276321456,0.00137696100237437,-0.000503450488162997,0.000128898100263927,-5.07706160937172e-05,1.28524847556396e-05,6.56056432272146e-06,-2.14044040659411e-06,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,73.2727272727273,146.545454545455,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,268.666666666667,280.878787878788,293.090909090909,305.30303030303,317.515151515152,329.727272727273,341.939393939394,354.151515151515,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,525.121212121212,537.333333333333,573.969696969697,708.30303030303
