"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location"
"0-17",1,-8.48289980590438,-0.00177011278056364,-0.000525157909492025,4.57707717751078e-06,-8.99475304139075e-06,-0.000119537509031755,0.000226115310072704,-0.000102961470506241,9.10394255863687e-07,4.8599145966287e-06,-3.4342127645216e-05,-0.000228120902091386,0.000768579310261552,-0.000660629791460475,6.82189564134242e-05,8.13635839403888e-05,0,0,0,0,0,0,0,0,0,0,0,109.909090909091,122.121212121212,134.333333333333,146.545454545455,170.969696969697,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-9.35293439561574,-0.0182721902055198,-0.000129063219806073,1.24959060778029e-06,-4.94477702202921e-07,-7.87581944574777e-06,4.20099985924395e-06,3.1307231373087e-05,-3.87156157608006e-05,1.49201929219346e-05,9.35223569180406e-05,-0.000180632802451976,-0.000203074431853354,0.00119872691891741,-0.00224080126292875,0.00240449836507525,-0.00149743220908969,0.000472918347838536,-6.19886070116034e-05,9.69377855855381e-06,0,0,0,0,0,0,0,24.4242424242424,195.393939393939,256.454545454545,268.666666666667,293.090909090909,354.151515151515,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-5.47271289471733,-2.75569363434376,0.245539475251947,-0.00700565064029454,0.00734888110034184,-0.000390553748600795,5.50092691871514e-05,-7.68634549381845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.01027039838667,-0.087177468045002,0.000913647149192102,-3.52694824469352e-06,1.43194941842352e-06,2.49858686785327e-06,7.23505910673711e-06,-5.27547403979543e-05,-0.000282327463064316,0.00110382750523397,-0.00121785029736578,0.000471427946930308,-3.13830936107805e-05,1.4189906352052e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.74226413825723,-0.0392344710881075,0.000330964295697639,-1.06952237726142e-06,1.26083054455062e-07,1.25877356892346e-05,-1.12471106020514e-05,-6.83332267916413e-05,7.44764347895995e-05,-6.60026447825374e-06,8.25149672355507e-06,-4.53159404165164e-05,-0.000165856351486596,0.000696455953478641,-0.00076884433936096,0.000286722218201855,-1.13642514630597e-05,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,195.393939393939,207.606060606061,219.818181818182,293.090909090909,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.78356394202392,0.0505842926228523,-0.00444974844982072,5.82868761404385e-05,6.02875681283671e-05,-6.57129629791085e-05,-0.000207198493893482,0.000163924521640516,-3.520208000091e-06,-3.91997281411639e-05,0.000231892551879791,-0.000117200574366237,-0.000553078775776981,0.000736021066793704,-0.000266761441190318,3.0092385613719e-06,-1.52793597028383e-05,-0.000154758824906282,0.000541472451440557,-0.000570516131378214,0.000200281210468419,-1.961590985509e-06,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1
"65+",2,-10.5209798423515,-0.0386524761188186,-0.00100400349121585,5.60197072192319e-05,-3.36156049626928e-05,-0.000213298737811282,0.000211252534205676,-3.17690523424671e-06,-4.70610118024937e-05,1.98468080542006e-05,0.000266800371535142,-0.00042457479265411,6.27368595119256e-05,0.00012152231962057,-1.78377234785635e-05,1.3814253280223e-05,-6.70409113288479e-05,0.000195520106185183,0.00023269880930315,-0.00207404736385167,0.0037197887791591,-0.00289824443062712,0.00100195852583605,-0.00016503264432621,5.02996433792473e-05,-8.32113471441835e-06,0,24.4242424242424,36.6363636363636,48.8484848484849,73.2727272727273,134.333333333333,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,280.878787878788,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,-1
"0-17",3,-8.05109047245471,0.0100215652313478,-0.00118311392510246,6.71151122364642e-06,7.16910964097465e-06,-1.0869528061862e-05,-0.000102408899901146,0.000114420969637895,-1.72792081138017e-05,1.40083022117547e-06,1.97749639293442e-06,-9.85883428766152e-06,5.97581691245594e-05,0.000243180249047745,-0.00107751898387927,0.00126721754226211,-0.000517668678868467,3.36092289623888e-05,-1.53999551270668e-06,2.43173305222651e-06,-9.00510781610355e-07,0,0,0,0,0,0,12.2121212121212,73.2727272727273,85.4848484848485,97.6969696969697,146.545454545455,158.757575757576,305.30303030303,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,610.606060606061,781.575757575758,-1,-1,-1,-1,-1,-1
"18-49",3,-7.8355135968903,-0.027619825127206,0.00015880739694236,-3.11710273726786e-07,-1.304455998256e-07,5.25533517662434e-05,-3.66665044616123e-05,-0.000130804012868831,0.000126317891501341,-1.16184045204842e-05,1.06168062392288e-05,-5.38361411240239e-05,0.000163474467374261,0.000377601778295956,-0.00196340496530283,0.0026581082064787,-0.00154063117658916,0.000398833659661696,-5.94962046538424e-05,9.45707774956416e-06,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,280.878787878788,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,-1,-1,-1,-1,-1,-1,-1
