"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location"
"0-17",1,-8.13805441514356,-0.0443968494559683,0.00049452928779659,-1.88164468292242e-06,5.28087096454428e-07,1.51294863404312e-06,-1.3883753476859e-05,-0.000243780803493359,0.000747985735659688,-0.000635957131289026,6.96245548775397e-05,7.59098847263622e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.73133841301232,-0.00671717697518659,-7.63397767474243e-05,5.47642143645901e-07,-1.9895864370621e-07,-5.3267525990076e-06,3.54068077193811e-06,2.73354424003232e-05,-2.76421500627228e-05,7.79109905395751e-05,-0.000101493870403564,-0.000522092708869023,0.00151202800167517,-0.00146180058282536,0.000543055191669495,-5.40489001075731e-05,8.19579752354692e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,207.606060606061,256.454545454545,268.666666666667,280.878787878788,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.80442928939129,0.0110813933597553,-0.000134250708907151,5.08762519668015e-07,-2.98684768620869e-07,3.82537533533636e-06,2.59327990309004e-05,-5.38215144538853e-05,2.53751589612754e-05,-1.23966414193111e-05,-0.000204720701422778,0.000588215287316835,-0.000476673068626323,5.11374444619532e-05,5.29356695981717e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,219.818181818182,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.1659368026437,-0.0767205788755268,0.004018950630418,-5.17172109116019e-05,2.40421792378048e-05,3.16915461526761e-05,-5.58355307681052e-06,-6.23968164502736e-05,7.19650044817786e-05,-1.68295181953197e-06,-8.4043906472288e-06,2.03058297564433e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,195.393939393939,207.606060606061,219.818181818182,293.090909090909,305.30303030303,366.363636363636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-7.98771217503488,-0.0136186839669616,-0.000148111169534351,9.24689397681089e-07,2.90496014916194e-07,-1.75454894208167e-06,-1.33474673617189e-05,1.43470476634434e-05,7.08900373452987e-06,-4.81612909569171e-05,-0.000242634030650182,0.000950089278688508,-0.0010442225684141,0.000402978761617165,-2.68005789252318e-05,1.21102390111092e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,146.545454545455,158.757575757576,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.77877718767778,-0.0133282822934276,-3.03757511621593e-05,1.7707583375521e-07,1.66145508897701e-07,-1.3147203886001e-06,-1.07935424325882e-05,1.27927820815904e-05,6.98293272591448e-06,-4.60849976708775e-05,-0.000234275568509785,0.000883982863620405,-0.000948843270642591,0.000360357120780177,-2.42427706516409e-05,1.09773175573514e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,195.393939393939,207.606060606061,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-10.2422447051844,0.0251606584190874,-0.000323511180039934,7.19535489598131e-07,3.23252207558036e-07,-1.95455751509446e-06,-1.3863685411969e-05,1.5529892634097e-05,-8.95394831970584e-07,5.69764750024043e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,195.393939393939,207.606060606061,219.818181818182,403,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-11.6179738823551,0.0779360374685881,-0.000834844979154332,2.10626963048342e-06,4.35936354858009e-07,-2.24773725042856e-06,-1.6404303975694e-05,1.8134601918201e-05,6.65927189664835e-06,-3.98844512237747e-05,0.000130685023303347,0.000100518029301401,-0.00143703014353124,0.00283573194184764,-0.00231393709217091,0.000804436484457248,-0.000113593195048077,2.57416174493281e-05,-1.33530239937598e-06,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,219.818181818182,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-7.9847099435148,-0.0568653862871573,0.000851310217053937,-4.68720530947622e-06,2.41106157793823e-06,4.31353313459202e-05,-0.000122369721027908,8.34974930375255e-05,-8.12941648073081e-06,3.48957477849023e-05,0.000323248453531043,-0.0010838967618371,0.00114318709815941,-0.000434612911692879,2.12173563627001e-05,-2.5570490225595e-05,0.000149711563666499,-0.00111766801995307,0.00284708802593115,-0.00441756492287516,0.00645565599062805,-0.00884530029739247,0.0101261094498115,-0.00968611146759859,0.0081343311220845,0,0,0,0,0,0,24.4242424242424,183.181818181818,207.606060606061,219.818181818182,366.363636363636,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,671.666666666667,683.878787878788,708.30303030303,720.515151515152,732.727272727273,744.939393939394,757.151515151515,769.363636363636,781.575757575758,793.787878787879,-1,-1,-1,-1,-1,-1
"18-49",3,-7.88361295200722,-0.0178520023386162,8.92121517239172e-05,-5.0069969438373e-07,4.55396305947419e-07,-6.8917095055218e-05,8.33485295890916e-05,0.000455956866401698,-0.00121956133325512,0.00110744873863519,-0.000387258517712515,3.10455947608259e-05,-1.88779398499686e-06,-0.00014287854150935,0.000455878336958412,-0.000187348549202286,-0.000795768781882997,0.00106045998158274,-0.000399359041572206,1.98929309678732e-05,-1.00187853820959e-05,-3.80853787475316e-05,4.0056997971678e-05,-8.97494157583846e-06,-0.000288634539639192,0.000833738478223125,-0.000302657183991011,-0.00146706670238421,0.00240895556655638,-0.00179695919101071,0.000564703944889549,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,244.242424242424,268.666666666667,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,512.909090909091,561.757575757576,573.969696969697,708.30303030303,720.515151515152,732.727272727273,744.939393939394,757.151515151515,769.363636363636,781.575757575758,793.787878787879
