"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location"
"0-17",1,-8.4268813767933,-0.0245010604329493,0.000129508393412038,-2.43670361389604e-07,5.34758452692264e-07,-4.42360673939044e-06,-2.8920326569863e-05,4.44014212420269e-05,-1.50062774182051e-05,4.52144919680192e-06,-1.47913656985632e-05,-0.000222260166849742,0.000664478745090879,-0.00054985817658368,5.86920975684036e-05,6.28960465506388e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,146.545454545455,158.757575757576,207.606060606061,268.666666666667,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.64983997625692,-0.00901128250101218,1.89147414102502e-05,8.0375573390814e-08,-1.33381018880486e-07,3.96421614158993e-06,-2.30725955621157e-05,7.00164608134919e-05,-0.000595302384914513,0.00127889327614756,-0.00091731989532801,8.94501017364542e-05,9.34707585311211e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.33187981934838,-0.0203402650127594,0.000256208620661401,-1.59664852511114e-06,9.37532184106704e-07,4.62371339575155e-06,-2.22472524761015e-05,1.8875009897029e-05,3.79107442600659e-05,-6.72763724035051e-05,-0.000374333163071938,0.00115895415569802,-0.00114648709387429,0.000418561208488001,-2.92629913704686e-05,1.33433186258356e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,207.606060606061,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.014423617918,-0.0562861899258933,0.00219006528919147,-2.64263400573514e-05,1.19150169454825e-05,1.61113632739225e-05,-2.2855683513364e-06,-1.79723516704918e-05,1.98979001332948e-05,7.16943093821736e-06,-4.74697668228611e-05,-0.000245259883390407,0.000912250999203685,-0.000970375677256349,0.000366073462520155,-2.47634889143392e-05,1.12274084577498e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,195.393939393939,207.606060606061,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-8.18606395022869,-0.0236048374002772,0.000127764802075632,-3.19587920409239e-07,7.88366847779758e-08,1.50981640728793e-06,-1.44252315475005e-05,-0.000223606334635101,0.00065320179139468,-0.000532607948709703,5.67851584831628e-05,5.94034323050494e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,305.30303030303,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.44113633305296,-0.0177023858333248,7.35305760785303e-05,-9.64321444771689e-08,-4.39730699100959e-08,8.4687381224112e-07,-1.52341841429823e-05,-0.000241504798188595,0.000724243967373978,-0.000602085083515928,6.47048525486073e-05,6.91987845755439e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,305.30303030303,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.12829660255555,-0.0248501018360637,0.000231607735844694,-8.35747769067865e-07,7.35399907091207e-08,5.56836317803981e-06,-3.90985036851233e-06,-1.95868323165542e-05,1.95141658919983e-05,6.45435454236802e-06,-4.20183405287301e-05,-0.000191995381895123,0.000743401657224244,-0.000795873769599342,0.000290970447053538,-1.17810110214264e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,195.393939393939,207.606060606061,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.2777506366192,0.00429191496036854,3.4188411549441e-05,-4.59983197264835e-07,3.03832335016999e-06,8.19753148021274e-05,-0.000152473297570766,2.42289128169406e-05,4.96601914712941e-05,-7.36914021249997e-06,1.29832397683862e-05,-5.80774047562659e-05,0.000139838898092146,-0.000678449032630494,0.00124016398117279,-0.000799992404147642,7.15306420436606e-05,7.34396489860993e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.969696969697,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-9.59866702009247,0.0344634815964943,-0.0021443082491762,3.25823575346749e-05,-2.10736811200348e-05,-0.000111250691700593,0.000126260944986158,-0.00011091881148222,3.39430978283777e-05,0.00011562738374704,-2.34469104484515e-05,-0.000140395589107127,9.99393596890796e-05,-1.38854952504805e-05,-0.000221734268461947,0.000642723916834653,-0.000515348224041194,4.68904751563508e-05,5.88556647885712e-05,-3.46433312714055e-05,0.000161445831160343,0.000504263115259217,-0.00237533812844293,0.00313642950647294,-0.00182955933158024,0.000498756163068742,-5.62252400025291e-05,4.15215883715671e-05,-0.000155711740817769,-0.000234254879833223,0.0013902177354701,-0.00244753578054274,0.00309628618478476,-0.00314213677382193,0.00208137957761181,-0.000290616155123706,-0.00125205886541394,0.000551075969295029,0.00562204802550685,12.2121212121212,85.4848484848485,97.6969696969697,146.545454545455,158.757575757576,170.969696969697,195.393939393939,207.606060606061,219.818181818182,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,525.121212121212,537.333333333333,549.545454545455,561.757575757576,573.969696969697,586.181818181818,598.393939393939,610.606060606061,659.454545454545,671.666666666667,683.878787878788,696.090909090909,708.30303030303,720.515151515152,732.727272727273,744.939393939394,757.151515151515,769.363636363636,781.575757575758,793.787878787879
"18-49",3,-8.22089633981759,-0.0269806182530578,0.0002169285689909,-3.94995713886451e-07,-4.07660785188788e-07,7.15718737218167e-06,5.94304598862543e-05,-0.000151486887450951,8.87267110163605e-05,-4.37721185058374e-06,0.000138104159511893,-9.99000298040496e-05,-0.000499189754763049,0.00077055616153529,-0.000312223138168512,3.17597958826185e-06,3.32167568871579e-06,-5.09781519151153e-06,1.77040661093022e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,317.515151515152,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,647.242424242424,708.30303030303,781.575757575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
