"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location"
"0-17",1,-8.70945912628965,-0.0330223905511498,0.000311021815680261,-1.09631575506121e-06,3.87440191330139e-07,1.1282461300657e-06,-1.11768608089988e-05,-0.000189549251262898,0.000568982927577729,-0.000475483773992923,5.15770481129855e-05,5.52645177138757e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,195.393939393939,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.47660040213553,-0.0250132767975186,0.000169166275831547,-5.03075858545717e-07,2.06741225718506e-07,6.21167733369142e-07,4.41161000103631e-06,-2.48216432446871e-05,7.35479059902915e-05,-0.000624061989337464,0.00133045909344143,-0.00094701481129685,9.21822165578655e-05,9.50185775311196e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,268.666666666667,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.5010937801191,-0.0111487060348973,0.000176249931395686,-9.31105564570137e-07,1.65640474166951e-07,1.18504940418562e-05,-9.29481737139895e-06,-5.73888592864743e-05,5.99939440080542e-05,-8.15571577150133e-06,9.62614587888057e-06,5.48825519430785e-05,-9.97718741872374e-05,-0.000313117534278517,0.00088649139385242,-0.000670205054565413,6.50776406973118e-05,7.08196144058515e-05,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,195.393939393939,207.606060606061,219.818181818182,317.515151515152,378.575757575758,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.60158428015306,-0.0935214696687319,0.00374674492489189,-4.55787920541108e-05,2.0837936123026e-05,2.75743173559079e-05,-4.17463339067969e-06,-3.84586027136593e-05,4.39546624435572e-05,-7.02743945667793e-06,1.06510729483869e-05,-4.72194187822017e-05,0.000131087242517479,0.000132675860978466,-0.00130614970943342,0.00245564737885579,-0.00200303742242154,0.000707016480586143,-9.90825136052856e-05,2.24372936279589e-05,-1.16301318888167e-06,0,0,0,0,0,0,0,12.2121212121212,48.8484848484849,195.393939393939,207.606060606061,219.818181818182,317.515151515152,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,512.909090909091,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-8.2513381230129,-0.0388572558109267,0.00026128254949334,-4.98301382277123e-07,-5.04264133761071e-08,1.41772995736583e-06,2.02702095766072e-05,-2.563277119785e-05,1.18029189834091e-05,0.000101591581801441,-0.000200356799399303,9.14310517848491e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,293.090909090909,305.30303030303,317.515151515152,427.424242424242,439.636363636364,451.848484848485,464.060606060606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.42218915383213,-0.0322989143910815,0.000201848960104236,-4.46211976756142e-07,7.73327284653025e-08,8.20045610944867e-07,-1.19034462364268e-05,-0.000191543638850012,0.000586398476119625,-0.000496343101596184,5.3841394704384e-05,5.91281315742777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,268.666666666667,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.42144679994818,-0.0112207742095231,0.000138788999641371,-7.01137263355267e-07,9.37658877171571e-08,1.01944671817471e-05,-9.21335525855456e-06,-5.27859706504909e-05,5.83246533853157e-05,-6.09797471570775e-06,-5.05289142500087e-05,3.78191016686151e-05,0.000210475378013124,-0.00033369363241399,0.000137244480055205,-1.13578187668652e-06,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,195.393939393939,207.606060606061,219.818181818182,280.878787878788,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.4601180371154,0.0780829573441562,-0.00511636040535382,6.59720074132875e-05,6.63981475153336e-05,-7.30146482681611e-05,-0.000237332774816204,0.000191487573466193,-1.14271863636624e-05,-0.000141156517204954,0.000212260524223794,-1.40592439265558e-05,-0.000145025941179036,2.45862954396312e-05,7.00040703955328e-05,-1.03207725167806e-05,8.17416659153773e-06,-3.75387638682533e-05,0.000106548181255466,0.000162319396965794,-0.00117885690570814,0.00188449630070681,-0.00114415009144738,0.000112536434402544,8.81349175580904e-05,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,134.333333333333,146.545454545455,158.757575757576,183.181818181818,195.393939393939,207.606060606061,219.818181818182,293.090909090909,378.575757575758,390.787878787879,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,-1,-1,-1
"0-17",3,-8.93751942238611,0.00363217467237288,-0.00104010302061643,6.83681273978832e-06,4.86086313502172e-06,-8.78133216714136e-06,-0.000108210109878708,0.000136499905576871,-1.11769158827009e-05,-7.49232625290883e-05,0.000228051535343431,-7.30866589589556e-05,-0.000286387857455646,0.000192002510457217,-1.92217175516533e-06,-4.67286870520676e-06,0.000175744577696903,-0.000123410000638506,-0.000693940513683794,0.00108814864666884,-0.000456457313514937,1.35643124234929e-05,-4.19624515920456e-06,1.88712068703093e-06,-6.41220174598343e-07,0,0,0,12.2121212121212,73.2727272727273,85.4848484848485,97.6969696969697,134.333333333333,146.545454545455,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,317.515151515152,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,512.909090909091,598.393939393939,781.575757575758,-1,-1,-1
"18-49",3,-8.2501034907752,-0.0305438914581431,0.000268615674930226,-8.23591310339102e-07,-8.04157229097073e-08,4.52124211144243e-05,-2.89203487156469e-05,-0.000100742202608573,9.14739477883825e-05,-3.21091495040187e-05,2.82259387846521e-05,-1.80608649677405e-05,9.34209048847756e-05,0.000278042213335041,-0.00147651493870938,0.00207682646656388,-0.0012501350356771,0.000334931411981546,-4.83202780140602e-05,7.66395525075052e-06,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,317.515151515152,329.727272727273,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,512.909090909091,-1,-1,-1,-1,-1,-1,-1,-1
