"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location"
"0-17",1,-8.11859109721453,-0.0511035077716382,0.00065365172951467,-2.94207815837344e-06,1.19612661001237e-06,2.03545398342918e-06,7.53505667279914e-06,-5.36441869622072e-05,-0.000281113136393261,0.00110258145074657,-0.00121625194687752,0.000470501767993642,-3.12996290790278e-05,1.4145389948268e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,134.333333333333,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.51844498479382,-0.0241618760772318,0.000189986267938285,-5.00222958817313e-07,-3.57713633150873e-08,2.36199400162079e-05,-1.488384128604e-05,-5.40764852290315e-05,4.87197184564168e-05,-4.21927637936797e-06,6.75957599023034e-06,-3.05917971644152e-05,8.646242153708e-05,-0.000792616027873539,0.00191221968646597,-0.00177061027685531,0.000632593096890361,-4.48669984864004e-05,2.04902999184356e-06,0,0,0,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,317.515151515152,378.575757575758,390.787878787879,403,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.44954833568595,-0.0134958020889412,0.000135967544403847,-2.14598314272838e-07,-4.32906599916655e-07,5.41627402752995e-06,3.70967425147448e-05,-6.97642128786281e-05,2.94501088361603e-05,7.23982115927436e-06,-5.00275716036911e-05,-0.000269040126845951,0.000992861935437545,-0.00105526910506574,0.000398444845287884,-2.69934346807119e-05,1.22418588923164e-06,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,170.969696969697,183.181818181818,195.393939393939,219.818181818182,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-11.131448582685,0.0511713718852346,-0.00634574426570846,0.000102571784440158,6.37818328991332e-05,-7.69606072429245e-05,-0.000379230415064915,0.000321792055048037,-6.95531435260344e-06,-3.93011863152492e-05,0.000209854553330522,-0.000120274067871668,-0.000575649054251491,0.000783695971496696,-0.000285773735874044,3.18475630312895e-06,-1.5262037444877e-05,-0.000160251537339753,0.000540553851414616,-0.000552105440514674,0.000188160977071383,-1.87993665089697e-06,0,0,0,0,0,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,73.2727272727273,109.909090909091,183.181818181818,195.393939393939,207.606060606061,219.818181818182,232.030303030303,256.454545454545,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1
"0-17",2,-7.25328178295357,-0.0613260120980231,0.000568896668111218,-2.14823662668013e-06,8.88190894196427e-07,1.45193522030863e-06,6.60954740932412e-06,-4.70888462256485e-05,-0.00024378708241475,0.000968506564707916,-0.00107636483169282,0.000418401261965767,-2.77292468504755e-05,1.25285415284227e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,158.757575757576,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-8.15467131517055,-0.036153002675983,0.000252598300225168,-8.21156409439125e-07,3.98397133751526e-07,1.06007573531938e-06,7.04585225299616e-06,-4.89936274207045e-05,-0.000251532070634482,0.000979455207203993,-0.00107444912481059,0.000414180464598196,-2.75890616494309e-05,1.24725136246915e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4242424242424,268.666666666667,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,500.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-9.50986180137165,0.000726651218030779,-7.81677238093761e-05,4.06898421071588e-07,-4.98986186130999e-05,8.93162000768627e-05,-2.02094322969152e-05,-5.65069168225162e-05,3.99301472052771e-05,-6.45149651126936e-06,8.44878705964694e-06,-3.79441460952953e-05,-6.85585547999849e-05,0.0004388589386264,-0.000540977322085576,0.000205342959896282,-1.7600893238157e-06,0,0,0,0,0,0,0,0,0,0,0,146.545454545455,158.757575757576,183.181818181818,195.393939393939,219.818181818182,341.939393939394,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,488.484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-10.6046747944967,0.163617159474033,-0.0112254267861898,0.000157943331817212,0.00010301483191521,-0.000126849460307662,-0.000626625353822704,0.000728850198342891,-0.000234986820225114,5.32002572773931e-06,-9.34896129575483e-06,-7.47643869933318e-05,0.000118490894310108,-1.85761827630491e-05,-0.000166875739953686,0.000157958171828982,-2.31256474704261e-06,-1.43787501766076e-05,1.31047777296054e-05,9.46877180486341e-05,-0.000182973353314618,-0.000514885391459632,0.00160556221249861,-0.00150609096567368,0.000539039970156657,-5.3367743523745e-05,8.0757558282062e-06,0,12.2121212121212,24.4242424242424,36.6363636363636,48.8484848484849,61.0606060606061,85.4848484848485,134.333333333333,146.545454545455,158.757575757576,195.393939393939,207.606060606061,219.818181818182,244.242424242424,293.090909090909,378.575757575758,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,-1
"0-17",3,-8.47972382844326,-0.00685133645210217,-0.000611870014530074,6.67224935329118e-06,-3.5415486146447e-05,2.99318835618981e-05,0.000283065066192816,-0.000660449608848006,0.00045521370761909,-2.46354561996769e-05,-1.48620141439004e-05,-0.000130939912012123,9.25182175430552e-05,-8.62732554421583e-06,5.28906340587886e-05,0.000195099777934311,-0.000916427123558143,0.00110550881344993,-0.000453587077520909,2.1321878488258e-05,3.15632018150397e-06,0,0,0,0,0,0,0,85.4848484848485,122.121212121212,134.333333333333,146.545454545455,158.757575757576,170.969696969697,195.393939393939,207.606060606061,219.818181818182,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,573.969696969697,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-7.73246692378966,-0.0328154279602528,0.000261828147624651,-5.65860523523772e-07,-3.01494720483158e-07,6.16335005285365e-06,8.26106643415596e-05,-0.000204047400292073,0.000121833927020334,-1.69711936481781e-06,-5.67167282882547e-06,6.92680924165909e-06,-3.48475671188765e-05,0.000106913138077783,0.000310589200833019,-0.00134619304084946,0.00153892382359659,-0.000633874261070133,5.98644963513602e-05,-9.39191137165976e-06,3.24725594020235e-06,-7.50075353865092e-07,0,0,0,0,0,0,24.4242424242424,183.181818181818,195.393939393939,207.606060606061,219.818181818182,244.242424242424,317.515151515152,403,415.212121212121,427.424242424242,439.636363636364,451.848484848485,464.060606060606,476.272727272727,488.484848484848,500.69696969697,573.969696969697,781.575757575758,-1,-1,-1,-1,-1,-1
