"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_46coef","knot_47coef","knot_48coef","knot_49coef","knot_50coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location","knot_46_location","knot_47_location","knot_48_location","knot_49_location","knot_50_location"
"0-17",1,-15.0001967143425,0.188203764944453,-0.00401963861892565,2.29427475175482e-05,1.98640785079457e-05,-0.000155384519979784,0.000168812269977594,-2.1205971909846e-05,-0.000122952924969779,0.0001942096491504,-0.000174064816680139,7.77623423302307e-05,-1.17027083357611e-05,1.31807627528264e-05,4.61364162068355e-05,-0.000199359616703339,0.000274743359262246,-0.000211448701340112,0.000109552541479238,-3.2834151378993e-05,2.20467688300108e-06,-1.41322401515428e-06,-1.50720902423394e-05,2.60700406359894e-05,-1.48169111007321e-05,6.01018436445281e-06,-9.97505191600648e-06,4.11025453157126e-06,7.28335668979268e-05,-0.000130963086206061,7.67162821399237e-05,-1.45213279764932e-05,5.63619322805606e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,555.833333333333,580,628.333333333333,676.666666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-9.29841245163137,0.540608177481029,-0.0283649961194635,0.000429843318813095,-0.000452364368929948,6.84014413066864e-06,2.2899957110199e-05,-2.21406629359601e-05,3.60992275663516e-06,1.98876182972768e-05,-1.03670750717968e-05,6.48303535601167e-07,7.16504626180846e-06,-6.37493774217496e-06,5.52802514006487e-07,8.06573972661333e-07,-4.90077538514341e-06,-4.79220026213749e-05,0.000184413925618139,-0.000231700321322372,0.000121067280126473,-2.29263601134596e-05,9.5809391554241e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,193.333333333333,217.5,241.666666666667,290,386.666666666667,410.833333333333,435,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-9.12266157618172,0.563109828937565,-0.0297678179152379,0.000456146309528043,-0.000484772769342451,7.55137431017122e-06,4.55463834833059e-05,-2.06878553516612e-05,-1.55066552619822e-05,2.18310320005812e-05,-2.36431177482077e-06,-1.00050806637817e-05,1.4294773825337e-05,-3.10308035128907e-06,-3.40787332821224e-05,3.25312271027729e-05,-1.90823901354893e-06,-3.35391174549391e-05,5.1628169635097e-05,-5.67208254427752e-06,-6.14795328714806e-05,5.77206037092776e-05,-3.79584610742137e-06,-1.30480972803127e-05,1.72194260748256e-05,-2.70042549358781e-05,4.83154176761024e-06,7.86995804244956e-05,-0.000132384944932242,7.45075026226104e-05,-1.37086681784484e-05,5.49257205252467e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.25327232651726,0.134761510637602,-0.00144192551893136,4.14120429085737e-06,-4.4349072397939e-07,1.2457419513627e-07,-4.5432323145943e-07,-1.47334402598292e-05,2.31197723806963e-05,-3.54276942792371e-06,-1.94548161955607e-05,1.20374104374388e-05,1.06673493287842e-06,2.09290414620254e-05,-6.6794040539248e-05,5.64026219274482e-05,-3.12265847940553e-06,-4.39688873931574e-05,6.09502803205866e-05,-6.50122355562239e-06,-6.64334388419172e-05,5.89288125852043e-05,-2.62813488142118e-06,-9.44496403642599e-06,1.19175499790181e-06,-5.39810506389988e-06,-4.48772747960871e-05,0.000166340648977881,-0.000202572769026899,0.00010372208472619,-1.94101956012776e-05,8.22670628983835e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,169.166666666667,193.333333333333,241.666666666667,265.833333333333,290,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.8093267140105,-0.0296261449587357,0.00202085275654823,-1.82198650741394e-05,7.65950433398747e-07,3.57882700749603e-05,-5.09730188329895e-06,-7.80709629722318e-05,0.000102671602498502,-1.29645090270119e-05,-9.07170949161502e-05,0.000155133566333769,-0.000154479915513227,7.77584117529238e-05,-1.02178556186721e-05,1.07256362339256e-05,2.27033564707719e-05,-0.000148752963846675,0.000230138877948588,-0.000197151387207129,0.000118201491913278,-4.05825341452559e-05,1.51758932206447e-06,9.77929887723927e-07,1.50521238951688e-06,-1.25827376213908e-05,3.25247378796662e-05,-6.58681528771917e-06,-3.38873241545977e-05,1.89023353404911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,604.166666666667,725,797.5,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-12.2368121655374,0.106020440324388,0.0083172918953792,-0.000204504355047444,0.000279242037108857,-1.68886960661316e-05,-0.000118681764785031,6.71071911386673e-05,-1.88483542431403e-06,-2.32963840401024e-05,2.1310903160159e-05,-3.40295324463284e-06,1.31362000870838e-06,-3.46349495471653e-07,-5.61412971862065e-06,6.91728563303202e-06,-9.93814752481967e-06,3.74135255426931e-06,7.00755208555507e-05,-0.000123714598671671,7.1152498207715e-05,-1.31172662331262e-05,5.27073839853468e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,338.333333333333,410.833333333333,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-11.7212790991269,0.119727612098316,0.00641274809309108,-0.000166574078316022,0.000232154513334239,-1.51750664864023e-05,-0.0001082365412317,6.50467480006897e-05,-2.03650860931792e-06,-2.91749165877465e-05,2.74812183986278e-05,-6.01146961099797e-06,1.58692913801492e-06,2.37429633669367e-05,-5.1706128555892e-05,3.60481002105065e-05,-1.92223588214622e-06,-2.9593989065219e-05,4.45574469585434e-05,-6.21219738095625e-06,-4.62782316831435e-05,3.8665811070939e-05,-5.25123767757085e-06,-7.99322715469199e-06,2.59039196346011e-06,5.46447778922217e-05,-9.51071847398803e-05,5.40636083423086e-05,-9.71771412504697e-06,4.06809780511831e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.2589399705132,0.334579944580873,-0.00503636702885607,3.08402665507194e-05,-5.55411647430057e-06,-2.19537219476879e-05,-6.77458061221689e-07,-1.75436286918092e-05,1.62747410065332e-05,-7.2831566688813e-06,3.90897880563743e-06,4.15284738524367e-05,-0.000100685154337644,7.91108337736049e-05,-4.11367798483386e-06,-5.94113098025009e-05,8.07725978050504e-05,-1.18084174424054e-05,-8.74726096333042e-05,9.48271800136347e-05,-3.00465920718773e-05,1.51647780879175e-06,-6.15684111229391e-06,-4.8997915940353e-05,0.000172041374221679,-0.000203461324773234,0.000102824513179372,-1.93036647817395e-05,8.21245789407989e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0279806632062,0.00281056411151228,-2.19388799108824e-05,9.91374680308935e-09,7.18167430823801e-08,-1.02482174151729e-06,-1.93530939993697e-05,0.000124984443241429,-0.000198608538273752,2.02774237885892e-05,0.000183623341278097,-0.000132782932481323,5.90734575968177e-06,4.3569861330845e-05,-9.98001977416271e-06,-0.000102266153779392,0.000191848778449631,-0.000199737035513262,0.000138647197532644,-1.61559385771453e-05,-7.28173444134115e-05,4.85044972744325e-05,-5.44101068363513e-06,1.34125003644508e-06,2.32517563551362e-05,-6.14556465797684e-05,4.3228825228335e-05,3.03264944745264e-05,-7.03015499073684e-05,5.74877507790668e-06,7.0808446875116e-05,-6.30131748318314e-05,1.22207598617405e-05,6.04995263013452e-05,-0.00020238455514725,0.000354714810012447,-0.000224677939224002,-0.000163684427776262,0.000376465143541812,-0.000295244886451554,0.000135136135015162,-2.896794371726e-05,-4.99344272463264e-05,0.000258892733443743,-0.000584356081860454,0.000650200824011875,-0.000401985272397825,0.000170457487285691,-2.95933097377351e-05,-0.000128572650467599,0.000246496916777164,-8.2553006832507e-05,-0.000227066236675444,4.08963320074206e-05,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,725,821.666666666667,845.833333333333,870,894.166666666667,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1063.33333333333,1087.5,1111.66666666667,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1450,1474.16666666667,1498.33333333333,1522.5,1546.66666666667,1570.83333333333
"18-49",3,-14.9755639818353,0.00595643745098729,-9.378152194248e-05,3.66214405387624e-07,1.37989018527368e-07,-1.48610104477328e-06,-2.12130097356132e-05,0.000117843893191827,-0.000173360897532916,1.92945417405066e-05,0.000148926807739219,-0.000127299779784021,3.88047716659201e-05,-3.60673045303617e-07,-3.29142128645138e-06,1.12581830195754e-06,2.02877780351051e-05,-4.30983594788079e-05,2.52636221862753e-05,-1.3405550192333e-05,9.85682210859245e-06,9.63511471179609e-05,-0.000274531741539397,0.000295931535106385,-0.000141192841616002,2.7797158689944e-05,-3.26361876625025e-06,5.22659342143149e-07,-2.30659662333282e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,483.333333333333,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
