"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location"
"0-17",1,-14.7386407769001,-0.0405948202796481,0.0108909408539444,-0.000223155776849552,0.000296816411560403,-0.000212427710159934,0.00019690638135418,-2.43465566269211e-05,-0.000113786754796785,0.000181709905632943,-0.000167360484994084,7.46169021173078e-05,-1.11095360030782e-05,1.26633304317684e-05,4.4694428280523e-05,-0.000186569958934211,0.000259010969930223,-0.000216144955853451,0.000130436499179624,-4.45604372498595e-05,2.19964534192192e-06,-1.4563098655517e-06,-1.95057537853136e-05,6.19819383834281e-05,-6.09559247843815e-05,2.06694584514443e-05,-2.52654457120168e-06,-4.88079187853737e-05,0.000179150871146187,-0.000223959951800019,0.000117048907596793,-2.21899619380673e-05,9.55536920385279e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.8905107148482,0.17942948009509,-0.00508532091088738,4.38070604406032e-05,-1.0635973906881e-05,-0.000119303504922562,0.000131638827913579,-4.24278447694268e-05,-1.18112079670787e-05,1.35295107570178e-05,-8.67456093571228e-06,1.16153355991174e-06,6.24102794459889e-06,-3.86946760616364e-06,5.36482263290802e-07,7.83097251903072e-07,-4.80849682453227e-06,-4.71238937181735e-05,0.000182395218836281,-0.000229869811220173,0.000120072256568715,-2.25922332461582e-05,9.4854472582302e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,314.166666666667,362.5,386.666666666667,435,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.64178095814738,0.116760708721911,-0.000847241040991258,-2.35333681829806e-05,6.86430543297748e-05,-1.64516059842244e-05,-0.000142710417073146,0.000226849451784586,-0.000163039785540709,6.52779381788044e-05,-3.2990721054525e-05,6.18438513958074e-06,2.13243720082597e-05,-1.30684384504902e-05,1.05516923001962e-05,-2.06572112381454e-06,-2.47207535687231e-05,2.47907022782264e-05,-1.7751373923521e-05,5.65227516920598e-06,5.65892608294246e-05,-0.000107274418594965,7.06829840050394e-05,-3.81838101362523e-06,-9.21850658095132e-06,1.07872239555928e-06,-5.03960578402239e-06,-4.01292354408257e-05,0.000158711214976036,-0.000200047556688455,0.000104101145907628,-1.93958486355255e-05,8.15620489746768e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,290,386.666666666667,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.082108169229,0.0840957712871237,0.00761481412229382,-0.000166016493246295,0.000200461691907639,-6.84815095849941e-06,-2.77827010367524e-05,1.60493638988488e-05,-3.13405983609681e-05,3.70010098519457e-05,-1.47230903923957e-05,-6.47201049459511e-05,0.0001762690800269,-0.000361975288065192,0.000544074225652043,-0.000438844845446805,0.000148724860389303,-1.37105002490258e-05,4.01575549747959e-06,-6.33829261894554e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,169.166666666667,193.333333333333,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9636543208885,0.0958204030342395,-0.0089501444192589,0.000196547832289647,-0.000301182837113732,0.000122874028202622,6.97956064041835e-05,-0.000244400886948812,0.00026313597137115,-0.000139822401298999,1.65791865666885e-05,7.99656315015605e-05,-0.000119702011068081,6.53751729354897e-05,-8.23669068605828e-06,1.03203242449527e-05,3.19414565254451e-05,-0.00016023009358198,0.000240703429129411,-0.00021875288653922,0.000144554084795036,-5.33003900190701e-05,2.49048879755307e-06,9.8829337099264e-07,8.49633909081496e-07,1.73452072579387e-05,-5.73263797275526e-05,7.72085355071169e-05,-5.33059007947163e-05,6.31583888216832e-06,9.11578483417184e-05,-0.000152675919696979,8.61690622244508e-05,-1.60114884044617e-05,6.27762084160161e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,531.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.2566389778685,-0.210475759288308,0.0361054021856123,-0.00071559149871132,0.000964768443768086,-0.000271417324581836,1.23920103122897e-05,-2.61552918075964e-06,1.85027523967273e-05,-1.77759376931126e-05,2.67263848933971e-06,1.39513091437548e-05,-7.84794957128536e-06,7.15124617386711e-07,4.00677960540145e-06,-2.23802868413854e-06,1.11394792810262e-06,-6.19365802092623e-06,2.86077009936675e-06,4.32428642870536e-05,-6.91375960875735e-05,2.87198349701387e-05,-1.24310275494375e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,217.5,241.666666666667,265.833333333333,338.333333333333,386.666666666667,410.833333333333,483.333333333333,676.666666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.8518536423493,-0.167362141433723,0.0310127354630786,-0.000608588411548172,0.000807366831680692,-0.000207888813441924,7.61498531075068e-06,-4.06694446295874e-05,7.98745648763905e-05,-3.60433812246564e-05,-1.04643812147757e-05,1.53574628397067e-05,-8.21467232318405e-06,7.35834848315045e-06,-1.31213783355641e-05,3.23652416376011e-06,4.28084863737362e-05,-9.33719677275376e-05,8.69583404702968e-05,-8.98070862023885e-06,-7.49738785173486e-05,6.78069833987513e-05,-4.3302001484255e-06,-1.51021193960388e-05,2.0825696719965e-05,-3.06283903264109e-05,5.02632313334513e-06,7.94653916599799e-05,-0.000132558556438477,7.42853676592789e-05,-1.35968219435541e-05,5.45760670378013e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,265.833333333333,314.166666666667,410.833333333333,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.7774753034239,-0.0577111383350077,0.0176930046299082,-0.000300959470132165,0.000321788986010092,-4.1543388747956e-06,-1.4857142826422e-05,-7.08830457052296e-06,6.18673961685861e-06,5.8589047148807e-07,2.51423067697757e-05,-8.5074401322945e-05,7.7470714872364e-05,-4.30259969442882e-06,-6.25356065505264e-05,8.61417657090083e-05,-1.3046473500122e-05,-9.73609714126321e-05,0.000108085670488334,-3.55370825526643e-05,1.69590714051058e-06,-6.81696687525516e-06,-5.22310337602357e-05,0.000189927548662599,-0.00022771982314065,0.000114752517798154,-2.10061268017229e-05,9.09240664518964e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,217.5,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9239568357914,-0.00172144650937433,1.84930804854516e-05,-5.11057785613091e-08,7.77417553569084e-07,7.17407506748893e-06,-5.04599449692877e-05,0.000166215556466593,-0.000220566288249901,2.21951189640889e-05,0.000174059842133702,-0.000109099520961912,6.24643742132933e-06,5.00024676048402e-05,-0.000137682911658998,0.000172563904535446,-0.000120457746211781,1.60300092937026e-05,9.46848985372662e-05,-0.000119024273189121,4.93917251864506e-05,-7.27607667869977e-07,1.77877521355337e-06,-6.08339495020062e-06,-1.59986422446341e-05,0.000117372460850702,-0.000264283040045968,0.00028935490212356,-0.00018505352414951,0.00010395774920298,-5.82958232189216e-05,6.41588034539961e-06,1.17594004899505e-05,-3.55068149184919e-06,2.17662983157152e-06,-3.56723972793851e-06,6.98646600351979e-07,5.11482417233463e-06,-4.45027426562745e-06,0,0,0,0,0,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1135.83333333333,1232.5,1353.33333333333,1401.66666666667,1425.83333333333,1498.33333333333,-1,-1,-1,-1,-1
"18-49",3,-15.0033833199189,0.00752562007550912,-8.63853313638222e-05,-2.11850102481579e-07,8.23440711659172e-07,-1.50222972544905e-06,-2.71397606800368e-05,0.00013668560946258,-0.00019609456200039,2.18377896168101e-05,0.000178957805921103,-0.000167745142699972,5.90479929957274e-05,-1.98367031750008e-06,-3.37809690889182e-06,8.43356869957315e-07,1.74759668449929e-05,-4.52403497038516e-05,3.38857096021989e-05,-6.74748262194924e-06,2.96710470039404e-06,6.15144595067326e-05,-0.00019663431664599,0.000204585901297073,-7.59876149131153e-05,4.58447335475147e-06,-7.54936542279378e-07,2.52305660413491e-07,-2.92733679648616e-07,8.54147746006027e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,435,580,604.166666666667,628.333333333333,652.5,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,1111.66666666667,1450,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
