"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_46coef","knot_47coef","knot_48coef","knot_49coef","knot_50coef","knot_51coef","knot_52coef","knot_53coef","knot_54coef","knot_55coef","knot_56coef","knot_57coef","knot_58coef","knot_59coef","knot_60coef","knot_61coef","knot_62coef","knot_63coef","knot_64coef","knot_65coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location","knot_46_location","knot_47_location","knot_48_location","knot_49_location","knot_50_location","knot_51_location","knot_52_location","knot_53_location","knot_54_location","knot_55_location","knot_56_location","knot_57_location","knot_58_location","knot_59_location","knot_60_location","knot_61_location","knot_62_location","knot_63_location","knot_64_location","knot_65_location"
"0-17",1,-14.8315695407341,-0.0204308919671321,0.00426130632222324,-5.96981712075815e-05,2.30120117402126e-05,0.000149652032648486,-0.000255729673237868,0.000210386865277507,-2.57511829991652e-05,-0.000152044203347563,0.000245584449928337,-0.000238541258105873,0.000125759535623808,-1.20870268466419e-05,8.5674535739903e-06,-1.04082765224226e-05,-7.48558205978645e-05,0.000140468051315876,-0.000137887992622378,9.69502616666591e-05,-3.41876653762542e-05,1.19041707007733e-06,-2.20485477773835e-05,3.63309830555725e-05,-4.58733586612689e-06,-1.46554565604933e-05,1.58103240753812e-05,-1.33525179003704e-05,1.30212692704694e-06,2.65486927927838e-05,-4.50431856235923e-05,1.94045838660733e-05,-8.61711806857856e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,700.833333333333,725,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.87073617604996,0.141217040687114,-0.00344536091938356,2.87712018325907e-05,-7.1270655311127e-06,-9.11710024480426e-05,0.000131949522356553,-7.92737984458018e-05,8.86780382601757e-06,4.0933507720745e-05,-6.24077090008166e-05,6.17283375107981e-06,5.75575972063657e-05,-3.663697905097e-05,4.66970143341844e-07,4.37675484483849e-06,-2.78063640308747e-06,4.02211018748755e-07,8.09016871659675e-07,-5.1009222363347e-06,-5.20541599451738e-05,0.000198718007473301,-0.000248004277302885,0.000128872600218039,-2.4369375906229e-05,1.02417740920044e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,386.666666666667,435,604.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.95131716775993,0.0564429161704163,-0.000150570894899508,-7.2619193553659e-07,-1.64452552663033e-06,7.7511382744581e-07,7.1211052459451e-06,-2.61154452330302e-05,5.13664346995354e-06,4.60691578259212e-05,-3.35562843103195e-05,3.06932813283765e-07,6.78998532025204e-06,-7.00273148852775e-07,-7.78403676261852e-06,2.54816619344205e-05,-4.30064426124302e-05,8.61620926714162e-06,7.40668827040696e-05,-0.000117807709388402,6.57197801795703e-05,-2.95111654533601e-06,-3.51044997771819e-05,6.61016357727855e-05,-5.34763928614431e-05,6.37981012318227e-06,9.14383006366596e-05,-0.000149607271292601,8.3327538207555e-05,-1.54619018784118e-05,6.08935979907216e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,386.666666666667,435,459.166666666667,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.78779989220641,0.0671640806554755,0.0120437255861303,-0.000287042405275463,0.000430901323860302,-0.000177048973370196,3.8874319510611e-05,-1.78257373612633e-06,-1.873937480329e-05,3.55905559899765e-06,3.10106620364213e-05,-2.15534023625001e-05,1.83608349549044e-05,-4.89492981677783e-06,-5.32869489089586e-05,5.42776455538184e-05,-2.99155344837729e-06,-5.14406123472765e-05,7.47771338525666e-05,-7.89569422352695e-06,-7.78289743746035e-05,6.55700216135422e-05,-2.98140158120125e-06,-1.01125817231769e-05,1.06849514591097e-06,-4.83074767189878e-06,-3.72514176930845e-05,0.000149755891963714,-0.000189291190303064,9.81813212179069e-05,-1.81342034522252e-05,7.67586839834e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.863511070528,0.0124983345834652,-0.00113279006952951,2.2288116224372e-05,-8.8361227106345e-05,0.000171092586909978,-0.000259843175314794,0.000282666126721718,-0.000172380875715651,2.05044981650362e-05,9.19663149093068e-05,-0.000136255479741232,8.54036106523572e-05,-7.00291768136067e-06,6.07509478001627e-06,-9.13328710268854e-06,-6.87519124031778e-05,0.000138871298806774,-0.000153961384428115,0.000123412932072957,-4.94075986483385e-05,1.65817214454283e-06,1.84389560531888e-06,-2.22172434351708e-06,1.34533917398775e-06,1.96989102209606e-05,-3.4498549435586e-05,1.49930811178767e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,604.166666666667,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-12.7349966748686,-0.224523219468063,0.0292182384274574,-0.000549281378441464,0.000710747298914341,-0.000173762201353159,5.95485573649288e-06,1.19265431098911e-05,-2.36343328012004e-05,4.04889698054773e-06,3.87735197233018e-05,-2.64694173374057e-05,3.28970429187196e-07,2.70467822007414e-06,-1.87507121940218e-06,7.7532579866698e-07,-1.7196505378741e-05,6.88207676716723e-06,8.96546642284711e-05,-0.000147468603888199,8.26311980139004e-05,-1.53482561322801e-05,6.05358767649273e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,217.5,241.666666666667,265.833333333333,290,338.333333333333,410.833333333333,483.333333333333,604.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.4503126893043,-0.209143849419235,0.0283342129733637,-0.000536868551983514,0.000715725780257272,-0.000227598205842471,5.51230381546023e-05,-2.23527754330957e-06,-2.12904989757008e-05,4.37902643944387e-06,3.68066788860506e-05,-2.56370259332292e-05,4.29784287303899e-06,-3.66288713996034e-06,9.51680999155276e-07,1.30173385691337e-05,-2.80385208298667e-05,1.59320265392885e-05,-1.08138208713947e-05,4.19416265497807e-06,4.2695843054174e-05,-6.08299835060132e-05,2.39578507772643e-05,-1.02357414920484e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,217.5,241.666666666667,265.833333333333,290,410.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.5410000779972,-0.108038967524772,0.018213847976581,-0.000301483865334609,0.000319810704050677,-4.34287601398996e-06,-1.14651817785422e-05,-1.54589109673091e-05,2.96217062162401e-06,2.73987868991119e-05,-1.83786438162776e-05,1.27613345396719e-06,2.86620347489465e-05,-7.91867180211728e-05,6.5436560232708e-05,-2.92636931121693e-06,-9.97043251936543e-07,-5.42780484622192e-05,7.52415173088658e-05,-7.96586503246909e-06,-7.35954917767121e-05,6.04459136809152e-05,-3.01196602077759e-06,-7.6287991316288e-06,-1.33297409638861e-05,5.0395784733643e-06,5.50322764227184e-05,-7.67058181617933e-05,2.95834564196517e-05,-1.29338648925369e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9795786909264,0.00279602912447884,-2.22469809926023e-05,1.43728856310748e-08,6.59628671831489e-08,-9.44029569539308e-07,-1.84759359319041e-05,0.000113640311425489,-0.000173837294811733,1.70587103032766e-05,0.00013647184152325,-7.61219677793586e-05,1.54831899062275e-06,-1.26958186527312e-05,5.35243481169827e-06,5.93915448856446e-05,-8.79619951967357e-05,3.76764063208808e-05,-3.86292580680036e-07,1.51768371762043e-06,2.52513478587809e-05,-8.69242859576721e-05,7.56743578875726e-05,-3.33106238986758e-06,-2.90259851052449e-05,2.34652084005941e-05,-2.47067552046716e-06,-3.69572850285278e-05,5.26278890434466e-05,-5.02742829831212e-06,-9.08504900515011e-05,0.000144635682450369,-8.51281536928201e-05,1.15710368777761e-05,-1.35303553344225e-05,2.35894356550833e-05,0.000139666342486301,-0.000434250446986292,0.00046178788335511,-0.000187726591348687,4.7748089356791e-06,8.01440984496215e-05,-0.000109140045580054,3.35105469115279e-06,8.71578191030741e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,942.5,966.666666666667,1015,1063.33333333333,1087.5,1111.66666666667,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1450,1498.33333333333,1522.5,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9047828348182,0.00590228222657607,-8.95106313990485e-05,2.31230314288551e-07,3.09949669808701e-07,-3.18717869134999e-07,5.16268506139785e-07,-9.31621749513642e-07,1.75910309564082e-06,-3.62856556746665e-06,-1.81654828224087e-05,0.000110008386176323,-0.000163643247693779,1.7040386369017e-05,0.000151861014799096,-0.000139861735594461,4.99834156607602e-05,-4.56974269816346e-06,2.18436181868697e-06,-1.10546011801325e-06,5.03447279104988e-07,-1.98024885653598e-06,9.3824223341012e-08,1.51392195587657e-07,-4.365976689221e-07,8.07858199193092e-07,-1.35317174864284e-05,5.84942654142133e-06,6.44036582449536e-05,-0.000118285768949471,7.45450465200069e-05,-5.28899409419546e-06,-9.2024292136819e-06,-2.4373669524546e-07,-5.65616050735974e-07,1.68616824840808e-06,-3.57648807666431e-06,7.69218145228392e-06,5.55672212039607e-05,-0.000182727075888254,0.000193267575568407,-7.70769067164379e-05,8.10030082305054e-06,-5.12065520049649e-06,4.84571715361787e-06,-6.65577515130179e-06,1.17352989333644e-05,2.18979685258421e-05,-0.000150511837366021,0.000352749664233605,-0.000480291110286287,0.000419213652026427,-0.000219305299863043,2.24209097435595e-05,5.13399872562732e-05,-2.40081245083082e-05,-8.65515775380455e-07,8.82522386120042e-07,-1.0210479447447e-06,1.55152332691165e-06,-2.74689416990249e-06,5.44065234476133e-06,1.89536080046283e-05,-0.000114873440887212,0.000246850638174265,-0.000257115203933477,4.20764662912187e-05,0.000366091815383227,-0.00120912331518836,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1063.33333333333,1087.5,1111.66666666667,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1450,1474.16666666667,1498.33333333333,1522.5,1546.66666666667,1570.83333333333
