"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_46coef","knot_47coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location","knot_46_location","knot_47_location"
"0-17",1,-14.9942210097831,0.132726747889634,0.00131598827909199,-6.80812688734443e-05,0.000118463208726963,-9.55311653500731e-06,-0.000104547121093308,7.30135220124798e-05,-2.08584701218216e-06,-2.48799231663699e-05,2.21596879324077e-05,-6.60998646083745e-06,1.18932484534375e-05,5.59218723281778e-05,-0.000236769159491304,0.000332935903515278,-0.000241546846956771,9.49798224493175e-05,-7.94069917980729e-06,-6.65083883215475e-06,-7.8419385395271e-06,2.89726753977119e-06,3.95961381935189e-05,-6.36789398980442e-05,3.05967186894604e-05,-3.96890632252176e-06,2.16543453360157e-06,-6.60257914558635e-06,-3.55930377671564e-05,0.000163605519567271,-0.000214761021798004,0.000112784788504315,-2.07701548076856e-05,8.65145729896316e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,580,604.166666666667,628.333333333333,652.5,749.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.84967217909113,0.114548494440782,-0.00328487239880665,2.87215402701192e-05,-6.08709278311621e-06,-8.91476128956553e-05,0.000103188629382517,-3.39825433561605e-05,5.97543838560464e-06,-5.87403552856243e-06,-3.78775981567447e-05,6.08152205323704e-05,-2.68954439293902e-05,2.65889637991039e-07,6.58460357015628e-06,-6.22421581201728e-06,7.73729463602199e-07,1.17158238322577e-05,-3.16523096294599e-05,2.25014093220006e-05,-4.14387265043041e-06,2.31930829164745e-06,-7.50731195205546e-06,-4.61030617408631e-05,0.000193572041817618,-0.00024528269479802,0.000126666242606998,-2.33098010696905e-05,9.84258835000851e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,749.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.58924925020477,0.0676910095888221,-0.00113252394556642,9.25845738471691e-06,-3.22667998725755e-06,-2.73512166884088e-05,2.9610738023593e-05,-1.88268229315936e-06,-3.80220789132855e-05,4.09966955010297e-05,-2.30278533609816e-06,-1.55684728533406e-05,1.11682663624007e-05,-3.7955969204611e-06,1.60108826794545e-06,3.39680541732784e-05,-9.35253909353282e-05,8.44287083485685e-05,-2.45556060490848e-05,1.3883576465063e-06,-3.06023772766382e-06,-8.02494886853744e-06,-2.99208148449971e-05,0.000157053193732631,-0.000208196616286726,0.000109239707389886,-2.0112828130734e-05,8.29664693968297e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,169.166666666667,193.333333333333,217.5,265.833333333333,290,338.333333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.17262623887329,0.162666798270903,-0.00156985128605261,2.78713459741476e-06,1.01837374639869e-06,1.30575384655383e-06,-1.31340504308566e-05,3.05346636175295e-06,3.61304900977399e-05,-5.84101140442434e-05,2.85929804848498e-05,8.27962046481405e-06,-2.99915292777333e-06,-4.10676560989704e-05,4.52037094993536e-05,-3.82489033019507e-05,1.26386508797081e-05,0.000118290849831146,-0.000232392809177779,0.000185750159642495,-5.91947794221769e-05,2.65211677065097e-06,-2.77618855132346e-06,-4.58987683248064e-05,0.000161141350061349,-0.000192690763546289,9.69529051087423e-05,-1.7780265710915e-05,7.93346873447308e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,169.166666666667,217.5,241.666666666667,265.833333333333,290,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.4470609934476,-0.0980257321988017,0.00533308507496221,-5.19930184661103e-05,3.62415006209781e-06,7.88363747493552e-05,-6.95308888532618e-06,-7.08741083165865e-05,5.57142567657778e-05,-1.63413595873067e-06,-2.62189855138669e-05,2.62991100324771e-05,-6.25039153705521e-06,1.03230659430357e-05,3.31909229717004e-05,-0.000183371894056158,0.000296003362990745,-0.000268763096372123,0.000163601251949976,-5.61963281710582e-05,4.69152032336736e-06,-8.65124359065811e-07,1.91761525093522e-06,-7.91959289377658e-07,-3.22813751718939e-06,4.82223531924112e-06,-8.18341640212172e-06,-3.36119522415581e-05,0.000157719116694409,-0.000208174021387086,0.000109756902919867,-2.02282771578012e-05,8.35004892312912e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,652.5,725,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.2308518521843,-0.235550383970366,0.0378682609804636,-0.000737810520470512,0.000973939565102804,-0.000247102823924211,9.97294885237256e-06,-3.29409643898965e-05,5.23645437075582e-05,-2.46523619435678e-05,1.8116920904302e-06,5.41252532406821e-06,-5.07449856311061e-06,4.60881542295377e-06,-5.08911053926569e-07,-8.94128806728694e-06,1.08284098339153e-05,-1.20881376040086e-05,4.19301448288827e-06,7.65493403259283e-05,-0.000131446145314468,7.29564308838128e-05,-1.260914800218e-05,5.35778287706898e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,241.666666666667,386.666666666667,410.833333333333,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.3877654500952,-0.204046282856099,0.0334261524631683,-0.00065264324345055,0.000871003030860141,-0.000239146602368785,8.5183426144335e-06,2.72351954325396e-05,-2.08718250147591e-05,1.22724711255083e-06,5.96487910062538e-06,-1.8864151601153e-05,3.65336107548032e-05,-6.11231949898974e-06,-4.39652931158172e-05,3.9550650372521e-05,-1.97412070474748e-06,-4.03593950964474e-05,6.67803101323796e-05,-1.01919690085485e-05,-8.48652748233308e-05,9.14076352073377e-05,-2.87770968823231e-05,1.49069320416753e-06,-6.03808815519051e-06,-4.55411329039498e-05,0.000169174288803988,-0.000206263424566407,0.000105386006392261,-1.94916046556054e-05,8.30760293557079e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,169.166666666667,193.333333333333,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.9066612369044,-0.136242657255293,0.0295750759881572,-0.000576495984702264,0.000784426373323832,-0.000289206442393894,0.000119461754984542,-3.73294238306424e-05,2.83242020128005e-06,-2.22039097301353e-06,-2.9444286940592e-05,5.23348114976406e-05,-2.8680133614233e-05,1.33870921080823e-05,-2.85428822869368e-05,1.29899782089523e-05,9.37874027914834e-05,-0.000242727396989525,0.000280821922099245,-0.000203836071467953,0.000157073874408945,-0.000160392109834965,0.000132150626594401,-1.81687309262505e-05,-0.000121155376931392,0.000136426764117258,-4.94813433622046e-05,2.28076675620512e-06,-1.97489487025104e-06,6.43684226894089e-06,6.93917402429183e-06,-0.00011537677272749,0.000298024445812069,-0.000344825316459247,0.000207000918796289,-6.98868132012494e-05,1.42294752451606e-05,-8.58196197097113e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,338.333333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0149286736368,0.00287076161968458,-2.25142273065936e-05,1.12886265995145e-08,7.19026032694998e-08,-1.02199812332389e-06,-1.9152831774875e-05,0.000121628087725193,-0.000189142324587058,1.78951708432827e-05,0.000161284284229913,-0.000105269536078363,7.38294439997029e-06,2.11653919735691e-05,-7.21101251392348e-05,9.18736651746641e-05,-1.52013011775898e-05,-9.4383293575326e-05,0.000183072690031695,-0.000175200602623539,7.25087138189627e-05,-2.78126577099865e-06,-5.35843744062061e-06,-3.42415538067992e-06,9.20916762803862e-06,6.81347799738249e-05,-0.000215991253922202,0.000234126495438537,-9.76048457793213e-05,4.3108358225901e-06,4.57595648755822e-06,-6.09111454175766e-07,-2.1750258128156e-06,2.60936361935566e-06,-1.04375593042595e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1111.66666666667,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9973931307339,0.00972322524165722,-0.000193745617705965,1.36890648804544e-06,-8.16618800683508e-07,1.11732625525495e-06,-4.77796287037422e-06,-2.43958409415724e-05,0.000146445039736204,-0.000253819719575911,0.000167682405590111,-1.42551321118202e-05,-3.64078326425604e-05,2.05405168414526e-05,-3.46903033330289e-06,1.337549690858e-06,2.71199557858829e-05,-7.71452708552322e-05,7.0376827210548e-05,-2.00820178422604e-05,1.36465680653022e-06,-4.62969357822155e-06,-1.03357386695232e-05,9.27219818588385e-05,-0.00021454406160931,0.000208166713342332,-7.4332348388889e-05,3.86419740055685e-06,-1.8193673561592e-05,1.63851084520375e-05,-1.69777148352845e-06,7.35906692583033e-07,1.04733890379287e-05,-2.6457513873072e-05,1.69629915031862e-05,-8.39811119920562e-08,-7.55836301851106e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1135.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1546.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
