"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location"
"0-17",1,-14.5269823792579,0.0270281115038496,0.00728169370229078,-0.000171727310596581,0.000248347710005242,-0.000250285529485881,0.000294690587532728,-0.000154997288424752,1.89163253953246e-05,5.88961591017429e-05,-7.80281776037385e-05,3.84267276917839e-05,-6.38235177736675e-06,9.89902211999055e-06,4.91688721874015e-05,-0.000184958679059546,0.00023858092463443,-0.000172066877296546,8.65570779092162e-05,-2.6084384705394e-05,1.51733317339079e-06,-5.34999278855726e-06,1.91276024207743e-06,2.3930846749772e-05,-3.46088264812442e-05,1.41889681560368e-05,-2.0926341602392e-05,8.38031962175181e-06,0.000106674425514927,-0.000176663506719201,0.000100502374882023,-1.9251538091052e-05,7.37252494456629e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,531.666666666667,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-9.68840129856201,0.409554607289863,-0.0194326012044918,0.00028997674156514,-0.000328217448312284,0.000109504181641269,-0.000183224883592938,0.00017292365270829,-6.26872390890853e-05,4.22255197746552e-06,-2.66414450776441e-06,-2.61284844059894e-05,4.61083587919292e-05,-1.85867350056998e-05,-9.65219605333108e-06,9.97796113981243e-06,-2.10896997777757e-06,5.68220220676866e-07,7.2809008029534e-06,-1.76751747945593e-05,1.14315924250932e-05,-2.66543294100216e-05,1.0572963009393e-05,0.000134236414970664,-0.000237105099593299,0.000163877563251955,-5.68031819073995e-05,1.14584849997764e-05,-6.29905305383629e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,338.333333333333,362.5,459.166666666667,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.95266913641094,0.207602361843578,-0.00481921148527897,3.176314372077e-05,1.12700318470166e-05,-1.33883990590754e-05,-0.00013436891157355,0.000203435123191768,-0.000153303589180449,9.83047821447143e-05,-5.75570772704693e-05,3.97060356182797e-06,1.98675036727088e-05,-1.43986367655142e-05,9.40180585354121e-07,5.98904570923517e-06,-9.04437618852211e-06,6.84270003931786e-06,8.0683899835939e-06,-2.23585226759402e-05,1.52804650863975e-05,-2.33946443414627e-05,8.76066352807952e-06,0.000107965143047378,-0.000175145664708151,9.85442871655942e-05,-1.87675443229346e-05,7.22286796608906e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,241.666666666667,290,338.333333333333,362.5,459.166666666667,483.333333333333,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.97190034513415,0.257853323603278,-0.00208696985330616,-2.52371636740911e-05,6.14413488670998e-05,-5.12304127384068e-06,-5.4224829777733e-05,2.98413803720956e-05,-1.31392573252623e-06,-9.89867081911839e-06,7.16446007219328e-06,-3.38706986101504e-06,2.34600845235183e-06,4.33517506788089e-05,-0.000140812053500178,0.000176661736946668,-0.00013728378591861,0.000122069055247603,-0.000134773595638959,0.000107498792579231,-1.23019502549364e-05,-9.00654951291557e-05,9.04010324671295e-05,-1.04957912529639e-05,-5.57943384291847e-05,0.000108139826583821,-0.000138996705464118,0.000123682121646473,-7.0406912689414e-05,6.5188459279054e-06,8.04142656093223e-05,-0.000125756299795828,6.85216229854953e-05,-1.26754119657409e-05,4.92821339436604e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,145,169.166666666667,241.666666666667,290,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.8625389538884,0.0231909042567415,-0.00277000112474073,8.79349988811765e-05,-0.000183430037135175,0.000156912191371969,-1.93639390380744e-05,-0.00017992966493151,0.00024279634319294,-0.000133055581443572,1.34484560789558e-05,5.71969100934085e-05,-7.9318072068141e-05,4.31702098859406e-05,-6.38638670347489e-06,8.9861134283884e-06,3.67453640284828e-05,-0.00015871400848315,0.00021388278286476,-0.00016053527215677,8.70088971656082e-05,-2.89862536639487e-05,1.14789552308934e-06,9.23714092654407e-07,-2.00826597985838e-05,7.96640951083471e-06,0.00010515365129342,-0.000175251610563152,0.000100523732102344,-1.94889203229853e-05,7.41536633238286e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.6961222137803,-0.00645423370420632,0.0178720283932987,-0.000371751554035453,0.000497163092931053,-0.000115852379193671,-5.91743865342088e-05,7.01025718127165e-05,-3.29047671685877e-06,-1.74099209372832e-05,-7.69046386444139e-06,1.26725064438889e-05,-9.37609947046429e-07,-6.58709969909056e-06,7.28264975203951e-06,-4.52655056734775e-06,-1.76671222759259e-06,2.8441890220456e-06,-3.20268493877736e-05,4.2276502662769e-05,5.77110383238004e-05,-0.000136667187053733,8.2733192089378e-05,-1.56524364527771e-05,5.452696357153e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,145,169.166666666667,217.5,265.833333333333,314.166666666667,338.333333333333,410.833333333333,435,628.333333333333,676.666666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.8020881372278,0.0783425905052,0.0128345527374544,-0.00028441216865154,0.00038828925908895,-9.34746529199484e-05,-6.92430156661917e-05,0.000104947112095343,-4.5273657901947e-05,-8.52348678576901e-06,1.21903391261804e-05,-6.92401538432951e-07,-7.39719343140119e-06,1.44199653393443e-05,-3.14170641823794e-06,-2.84085480204667e-05,2.57535354550212e-05,-1.70960990375065e-05,5.59475382282926e-06,5.59215426936172e-05,-0.000113213364690615,8.39671049831904e-05,-6.67440107314809e-06,-2.41849012187727e-05,1.2579091592831e-05,-2.27055262183493e-05,8.10365085066019e-06,9.90489200151763e-05,-0.00015958769945331,8.96284892096217e-05,-1.70757751507008e-05,6.58089743736592e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,145,217.5,265.833333333333,314.166666666667,338.333333333333,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-13.7204372917279,0.0938634293430785,0.00774797430734827,-0.000149047876034081,0.000163352356402286,-2.04347642752652e-06,-1.02174634823588e-05,-7.50432273273093e-06,6.15003920085719e-06,5.16012861381926e-07,2.53025567997716e-05,-7.88297213163911e-05,6.90626693918861e-05,-4.07193462208389e-06,-5.59311127842025e-05,7.69840036798615e-05,-9.01996719828669e-06,-8.82550178483594e-05,8.69985231252487e-05,-6.59441008859907e-06,-2.92781753656221e-05,1.39936874028748e-05,1.53076823479397e-06,-6.62683849721286e-06,-5.62920446109811e-05,0.000194477364207405,-0.000231263696868222,0.000118085806679266,-2.24250261417729e-05,9.43859353018109e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,217.5,265.833333333333,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.980589728586,0.00241626041356186,-1.85462947375817e-05,5.13398697926796e-09,6.58855738894772e-08,-9.40576133713237e-07,-1.74918119975492e-05,0.00011724562464716,-0.000186931288547898,1.94258492633635e-05,0.00015618245873694,-9.11968227167915e-05,1.49420690421545e-06,1.14992519200203e-06,3.05073608865972e-05,-5.88233007067039e-05,3.08643579521807e-05,-1.76874118447997e-06,-2.75168263667464e-05,0.000101103633018183,-0.000147000415850817,9.22168493210365e-05,-5.1718626308925e-06,-3.2443140937699e-05,2.73469457566364e-05,-5.10045281402367e-06,-5.70628984253013e-05,0.000148017511616831,-0.000130933857802771,3.57607775443927e-05,-1.30900568346064e-06,2.9245183905511e-06,-7.78558747895829e-06,1.7634328694247e-05,0.000115940353337439,-0.00041345278082637,0.000481909639460557,-0.000231586912205693,1.56728174905087e-05,0.000124646037452992,-0.000208912478604,0.000200274754501107,-0.000159492718732579,2.89326294600967e-05,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,1015,1063.33333333333,1087.5,1111.66666666667,1135.83333333333,1160,1208.33333333333,1256.66666666667,1280.83333333333,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1425.83333333333,1474.16666666667,1498.33333333333,1522.5,1546.66666666667,1570.83333333333
"18-49",3,-14.9678582955804,0.00731319846149231,-0.000147017869557635,1.08405702859155e-06,-7.24913633724987e-07,1.92674471932901e-07,-1.57319673225197e-06,-2.23397369654481e-05,0.000120362970073412,-0.000176656449117563,1.99441307438094e-05,0.000165892052217374,-0.00016082836015894,5.95719824539943e-05,-1.97389585807184e-06,-3.73712941161015e-06,1.058503513149e-06,2.46299098890287e-05,-6.87809301971055e-05,6.27316310609709e-05,-1.81571611906768e-05,1.72612349986868e-06,-6.33544001907569e-06,-1.90409734144826e-05,0.000138040842881016,-0.000295537389466194,0.000294043877402633,-0.000141641122166098,3.10787042724199e-05,-3.54955754314758e-06,5.94653282238388e-07,3.17561373491416e-07,6.66882116407087e-06,-2.17537725307465e-05,1.75967422096768e-05,-3.67179015858678e-06,2.31489784129421e-07,0,0,0,0,0,0,0,24.1666666666667,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1305,1329.16666666667,1353.33333333333,1377.5,1450,1546.66666666667,-1,-1,-1,-1,-1,-1,-1
