"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location"
"0-17",1,-14.7013966382068,0.0559558913871046,0.00332062583876347,-6.29477430688004e-05,2.75568115240503e-05,0.000179861334624974,-0.000295982827248788,0.000205542034754254,-2.17901282483733e-05,-0.000110621620253662,0.000169378535071624,-0.000126322626795441,7.9295872997694e-06,4.63055949596176e-05,-4.96675715527553e-06,-9.40860506264895e-05,0.000156491055347532,-0.000106983084263089,3.41137691753612e-05,-1.53195773381445e-06,-1.05935285340226e-05,1.92523624940882e-06,4.91607692160928e-05,-6.68764015476682e-05,6.96718842881968e-06,3.72264661596929e-05,-2.08365672891253e-05,-1.08982923155201e-06,-1.6162631904537e-05,7.36151575904047e-05,-8.8435169468935e-05,3.33174976869644e-05,-1.59130411301865e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,531.666666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.62326035174843,0.0658971051706175,1.10863977986902e-05,-2.07121966146738e-05,2.03470014856973e-05,8.85333798309368e-05,-0.000218423171746394,0.000208304184247012,-9.44489101502695e-05,1.01763254481013e-05,3.28845510677738e-05,-4.27096217031814e-05,2.97311330489624e-06,1.77659763474191e-05,-6.93285728197112e-06,6.81203241590768e-07,8.4202460509391e-06,-7.40317120184158e-06,5.69664710297061e-07,8.78811239228769e-06,-2.19277459424241e-05,1.44542393579102e-05,7.935707686713e-07,-3.12180187033441e-06,-9.55055083820745e-06,-2.25587038140469e-05,0.000146223825055807,-0.000201133924507052,0.00010678079535764,-1.95662792015631e-05,7.89785024031394e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,314.166666666667,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,749.166666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.72093297713729,0.0728182932644856,0.000367706926240045,-2.61719524068991e-05,2.59835539558608e-05,9.09655486556747e-05,-0.000253532349931654,0.000306488401626721,-0.000216311810255427,0.000100737066554239,-1.39692301842281e-05,-4.21822483607359e-05,3.04893378364481e-05,-4.24143572717178e-06,1.0837872790795e-05,-2.80419384060002e-06,-2.26220420779717e-05,2.00677188193981e-05,-1.65754873838313e-05,7.15958689400337e-06,6.83329013683121e-05,-0.000152102041822252,0.000130001425520274,-4.16936996235215e-05,1.63569065966228e-06,-1.4493874885699e-05,6.08307629709731e-06,7.18157930037997e-05,-0.000119856416550336,6.84194730561087e-05,-1.29577202030049e-05,4.94977795486107e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.29804536415286,0.151329602139123,-0.000936627103416726,-2.72781594366635e-06,1.85034519916279e-06,2.31188411415561e-05,-2.17908946164901e-05,-3.6864206080791e-06,3.18424839100388e-06,1.21214706780179e-05,-3.53664350917758e-06,-4.85671955692606e-05,5.37724236488702e-05,-3.09095581902934e-06,-5.3667879167502e-05,8.01583262878738e-05,-9.53955284239232e-06,-0.000110330638479479,0.000118676297288611,-9.87576854304302e-06,-4.99971265703693e-05,2.74273034011085e-05,1.50805566967778e-06,-7.12958006941835e-06,-7.15719358487525e-05,0.000214501921093183,-0.000235323721164426,0.000115835363388556,-2.22791842979148e-05,9.57299961378643e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,72.5,96.6666666666667,193.333333333333,241.666666666667,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.5357054438171,-0.0776996299815134,0.00389973280484152,-2.76997480792556e-05,-1.04451250962434e-05,1.25858992568463e-05,0.000136643000205073,-0.000238204843586958,0.000177075260196409,-2.15904020342097e-05,-0.00011066600619062,0.000201220423856173,-0.000205634093375331,0.000103969431711225,-1.03928672181861e-05,7.81180558602199e-06,-1.00737228486224e-05,-6.83676638705165e-05,0.00014818534401104,-0.000152431828513058,0.000102758067887093,-3.66200657574029e-05,1.21641056604267e-06,1.26157164498172e-06,-5.18270340774181e-07,-2.83367259712805e-05,5.70120551833377e-05,-8.16592978549988e-06,-4.3592825052154e-05,2.30040203545301e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.4774132312668,0.0189947952786444,0.0159454461026335,-0.000327821226710583,0.000423707789785806,-8.10767421608772e-05,-4.92531963679343e-05,4.23295906735586e-05,-2.06795815838886e-06,-2.38098439418712e-05,1.92750252398884e-05,-4.7675105467499e-06,3.88541388117492e-06,-3.93506748301065e-07,-7.58964767847741e-06,9.61227004553561e-06,-3.71327799302924e-06,1.49098275863995e-06,-4.74437299987155e-06,-2.39497643470374e-05,0.000122093579335869,-0.000167425075585169,9.06976564437066e-05,-1.71724134275895e-05,6.89538604822918e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,604.166666666667,628.333333333333,652.5,749.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.2102628594741,0.297211761581065,-0.00148275889094455,-3.13986855233137e-05,5.70647860768048e-05,2.84217799556537e-06,-7.09787422769644e-06,-8.51356805101009e-05,0.000107674548424993,-4.26001738615484e-05,-1.34394389345187e-05,1.29374456188397e-05,-9.60258202127288e-07,-9.84567775458501e-06,2.78169434880587e-05,-5.2102119801428e-06,-4.98758751491433e-05,4.40925566534008e-05,-1.23682647456868e-06,-6.3542231887325e-06,-1.28876646100606e-06,-1.68279574381129e-05,6.65146070895214e-05,-7.47866188749941e-05,2.72508480656152e-05,-1.3160464378911e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,386.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,725,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.3238624163795,0.194125018602857,1.79268798888009e-05,-1.06602928660911e-05,2.08000518737782e-07,1.26922182191707e-07,3.05236667348863e-05,-3.36707870727273e-06,-1.79096015526148e-05,2.12611723788976e-06,6.45539363834958e-07,2.30771269338e-05,-8.15517408744146e-05,7.61441558695147e-05,-4.34620816175664e-06,-7.03494284789136e-05,0.00010481955660847,-1.57732155886731e-05,-0.000132425454610225,0.000148083923572545,-4.88736135564351e-05,6.78385917270172e-07,-2.47963455773153e-06,-4.35310769813605e-05,0.000124177430492143,-0.000118291715612379,3.9901287685744e-05,-9.47833293049007e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,314.166666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0225658594798,0.00329307864612723,-2.63759234213039e-05,1.87651788359073e-08,7.5485175934518e-08,-1.08633955397009e-06,-2.17438898290493e-05,0.000133383353410953,-0.000207883634733357,2.22044574127102e-05,0.000192797885314267,-0.000165931347773068,6.40985438079192e-05,-4.61709139706437e-06,-6.58771314898611e-05,8.69926061145942e-05,-1.33181736198582e-05,-8.63977255362742e-05,0.000166423158575798,-0.000166515509455227,7.53004874277008e-05,-3.84482583703136e-06,-4.48437175145383e-06,-1.90466318987286e-06,7.62113027824321e-06,6.38434587406776e-05,-0.00021936885993263,0.0002358845615017,-8.98212830299051e-05,3.00930849707078e-06,1.69379225074557e-06,-5.73461186943375e-07,4.22365092905625e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1039.16666666667,1111.66666666667,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9668922440255,0.00543263185834825,-8.55771540787636e-05,3.34531626287692e-07,1.23675398396419e-07,-1.33319606301708e-06,-1.92225705483413e-05,0.000105712488380454,-0.000153352863106291,1.7076138728893e-05,0.000129466298995579,-0.000116682306276233,4.10478452805851e-05,-4.92645420850066e-07,-3.37319359378509e-06,8.9572546596424e-07,2.24746094192799e-05,-5.99758623841619e-05,4.57975129069853e-05,-1.03284824020217e-05,5.72066018538611e-06,-9.24778138480177e-06,1.49983963368344e-05,-2.31528428867608e-05,0.000137601997857129,-0.000336510252969592,0.000352622967994712,-0.000176051875178674,3.90790421460836e-05,-3.68598305295557e-06,5.72760992112864e-07,-2.96121036774222e-06,3.29063316446429e-06,-1.66646464705166e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,435,580,604.166666666667,628.333333333333,652.5,700.833333333333,725,749.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
