"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location"
"0-17",1,-14.7076474649238,0.0976018373380444,0.00750401409267643,-0.000196382927576581,0.000310986674109105,-0.000126083256768667,3.15394322847942e-06,5.75406935179712e-05,-7.24044050421593e-05,9.03668145180809e-06,1.82301216878692e-05,9.96045146191157e-06,4.06446287647074e-05,-0.00020785579926112,0.000287913955041086,-0.000189103742393054,6.22069880281847e-05,-6.44425299923693e-06,1.88481340892717e-06,-1.74047829696792e-06,-2.27041060614448e-05,2.71444953032892e-05,-6.09058009497589e-06,1.09873937353039e-06,-5.74980834440848e-06,-4.7457178108744e-05,0.000194923869504938,-0.000251451332862372,0.000132421013010175,-2.47151333503227e-05,1.03219299903702e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,507.5,531.666666666667,555.833333333333,604.166666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.70547013120168,0.343687007509605,-0.0160876771612285,0.000246039037928533,-0.000295703740556305,0.000116630228038969,-0.000132696881112052,7.7437199620577e-05,-3.32238716977274e-06,-1.95216039760617e-05,2.47097567785498e-05,-1.46921837298635e-05,-1.63278685232186e-05,3.31059240868634e-05,-2.80038976198429e-05,1.2371298416654e-05,2.01519010575893e-06,-9.04076085355245e-06,-6.45636248610248e-05,0.000260520729654272,-0.000349195152278358,0.00021990227989778,-7.3304317769525e-05,1.4465682703488e-05,-8.24368054141487e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,265.833333333333,362.5,386.666666666667,435,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.93117431248207,0.125129030727001,-0.00245501490079271,1.67399932658823e-05,-8.64926026424865e-07,-4.04351107670496e-05,5.87576682011739e-06,5.88099289773611e-05,-4.38732066266621e-05,2.85810448810222e-06,1.37639105125036e-05,-2.71021549007147e-05,-0.000140460884189403,0.000536883714533364,-0.000716039150184606,0.000491611955269088,-0.000221026381069687,8.02387483640688e-05,-1.97820588260094e-05,3.32352921986263e-06,-5.22055129464088e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,217.5,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.4182640115963,0.433512599321225,-0.0175995418951516,0.000271223835246277,-0.000327463840878,7.0136662594201e-05,-3.20162934760212e-06,-2.49687423858496e-05,2.51814130275746e-05,-3.18506694934449e-05,1.56256188206074e-05,4.64626806754227e-05,-0.000222916482751248,0.000531769870105627,-0.000645046658518157,0.000434946574784356,-0.000195726507229685,7.03210603562086e-05,-1.63579397447902e-05,1.95547917678545e-06,-9.09344112897794e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7727321631999,0.0129100620969844,-0.00307296695864874,0.000126464909797087,-0.000285901671143642,0.000255812790483575,-0.000110167845116107,7.56307733035789e-06,-2.85457909863693e-06,3.69344832009482e-06,6.88521294090201e-05,-0.000119375354801433,6.60555870472133e-05,-1.02363300812041e-05,1.33932442644911e-05,3.87437422060434e-05,-0.000218443278237742,0.000346951127343739,-0.000298636952716847,0.000169247076043606,-5.62167580486185e-05,6.18990152085422e-06,-1.56925599605058e-06,-5.37421078183909e-06,6.63211058246937e-06,-1.11429797904341e-05,4.75280029071248e-06,9.08379063360075e-05,-0.000162260546935443,9.29168994111248e-05,-1.66139375844614e-05,6.84533241305061e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,580,604.166666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.7162396507974,-0.179303773743284,0.035141498364019,-0.000697172670567209,0.000948165338033552,-0.000319585016866392,0.000135683537945462,-0.000124557813865704,6.34725136557707e-05,1.78156542225545e-05,-3.28606370130219e-05,9.92491558057591e-06,-7.98151370925479e-07,-1.04347071312775e-05,1.652963725182e-05,-7.27502294854046e-06,1.06393082568706e-05,-4.26755619556498e-06,-4.08298243978642e-05,5.68418517612067e-05,-2.08385805701938e-05,-5.11011456814351e-07,-7.15427026132578e-06,-3.29528075872001e-05,0.000168974178483963,-0.000245904541661606,0.000162031564785541,-5.55192584775466e-05,1.12202271780453e-05,-6.35137398126951e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,241.666666666667,362.5,386.666666666667,410.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.6578692162207,-0.203741079971473,0.0356730379085338,-0.000688123943569309,0.000896402115507502,-0.000216552697480965,9.60048609539113e-06,-2.39215865171204e-05,3.04577628125982e-05,-1.6287525840314e-06,-2.08422274375723e-05,1.50955020254583e-05,-6.86625471166006e-06,4.15494821386935e-06,5.0269836235467e-05,-0.000114392037597709,8.30260592068502e-05,-4.11409952901453e-06,-5.06422809029439e-05,7.16067119271066e-05,-1.19024417017684e-05,-9.14707175614685e-05,0.000107207473494145,-3.73455332710522e-05,1.5468101832492e-06,-6.01496153254329e-06,-4.05728654624507e-05,0.000162830635118376,-0.000206578812748631,0.000108150125831246,-2.02228485436096e-05,8.405216049806e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.3942942028596,-0.497359361578356,0.0514743124706469,-0.000928763957379336,0.00118326110536558,-0.000317312918454667,7.78274856349126e-05,-8.74058174634834e-06,2.68999302958577e-06,-8.84276158452286e-06,-5.79272912729264e-06,9.97459868705252e-06,-1.54494194313053e-05,1.01375977776807e-05,7.77586456243814e-05,-0.00022508383868027,0.000251851390473127,-0.000155811109589401,0.000122203468465609,-0.000149375140347066,0.000139177639523316,-0.000181601512743368,0.000353842761553308,-0.000416526073615314,0.000251014221896031,-8.33151545507905e-05,1.93751051102813e-05,-2.96946036130002e-06,4.7143172960077e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,265.833333333333,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9129087904824,-0.00248102983412415,2.62533340460661e-05,-7.12511217220491e-08,-6.34634331558877e-07,3.38152130731886e-06,8.15616437917125e-06,-7.56225893590228e-05,0.000246426996749256,-0.000346770253945251,0.000124222564879348,0.000128816891649526,-9.33365770913398e-05,3.63368083977193e-06,3.44921144288857e-05,-8.82965819331635e-05,7.23596278495207e-05,-4.5698049317128e-06,-1.37242137954007e-05,3.10813333706621e-06,-1.2513369458285e-05,8.6462638947603e-06,8.60514982426419e-05,-0.000227311418734267,0.000225007843004409,-8.78574021402177e-05,3.4666320148233e-06,3.81961442502625e-06,-1.36932662686442e-06,1.07740643332376e-06,2.08727552742773e-05,-6.22128957001683e-05,5.94938700529836e-05,-1.83073907720583e-05,6.23711515880735e-07,0,0,0,0,0,0,0,0,0,0,0,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,1015,1160,1305,1329.16666666667,1353.33333333333,1377.5,1401.66666666667,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9908620123153,0.00563537002785935,-8.8846483759703e-05,3.47864918667684e-07,1.25531951606407e-07,-1.35884814321643e-06,-2.00283852766655e-05,0.000109990180187788,-0.000161003489175107,1.90031885756219e-05,0.000147257770883784,-0.000149324033674293,6.05889499048211e-05,-1.43580205126187e-06,-3.10893175524901e-06,-1.85399845382446e-06,8.65815991888145e-07,1.22134997893493e-05,-3.09303182120574e-05,2.05567742409027e-05,-1.48000513409706e-05,1.03829350359079e-05,0.000105365743202098,-0.000286279552445213,0.00029017683363886,-0.00011645610263878,5.41539803072274e-06,5.13479671989602e-06,-8.60833228629692e-07,-1.65229799348665e-06,2.04698623960162e-06,-9.19573386827007e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,362.5,386.666666666667,483.333333333333,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1087.5,1353.33333333333,1377.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
