"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_44coef","knot_45coef","knot_46coef","knot_47coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location","knot_44_location","knot_45_location","knot_46_location","knot_47_location"
"0-17",1,-15.1432812936803,0.147375596473157,0.00309318483156282,-7.01501369540632e-05,3.41513211815006e-05,0.000178459173563311,-0.000315146150614691,0.00033331156698624,-0.000235120826298903,2.74947857746007e-05,0.000162489792660636,-0.000201361649006472,0.000103077660468496,-8.95287487002642e-06,7.01264937658485e-06,-9.71061782117808e-06,-8.12290257649792e-05,0.000159235774081026,-0.000118916902001919,3.87081422373696e-05,-1.51738983520353e-06,-8.82998599856102e-06,2.08016757082268e-06,3.24490456269429e-05,-4.47795982383333e-05,1.78652862464948e-05,-8.24992334738532e-07,-3.01357333015965e-05,6.19123091040377e-05,-7.14431803095994e-06,-5.16267966132458e-05,2.72899029103177e-05,-8.46601271297485e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,531.666666666667,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-7.44965665747169,0.0631478177828317,-0.000554819506533203,1.2544898319322e-06,6.44551099311044e-08,-1.7962934463783e-07,-2.42056847107304e-06,1.47194284335327e-06,-2.22882156085759e-07,-4.19795115288839e-06,4.84748619824497e-06,9.58202199471187e-07,-5.22444034049306e-06,-4.82138425837462e-05,0.000180323740072347,-0.000224982537966241,0.000118656111345699,-2.30789804314821e-05,9.40726691363608e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,169.166666666667,193.333333333333,265.833333333333,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-7.62403943743116,0.0878807651784164,-0.000792903788691723,1.55266855323127e-06,-6.39174272069594e-08,1.9273124477703e-06,-9.0927200818755e-07,-1.29780261377239e-05,1.08803796975719e-05,-7.91568799069387e-07,6.6419302660047e-06,-2.61904487221208e-06,-2.0096931072787e-05,1.84834147106723e-05,-8.1064893218317e-06,2.61797378301649e-06,3.7350255865783e-05,-5.68318294791703e-05,2.30462144295539e-05,-9.96827180121035e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,96.6666666666667,169.166666666667,193.333333333333,217.5,435,580,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-7.85389781518921,0.119425188691802,0.00221187243335519,-7.73872138665526e-05,0.000105577293107409,-5.16386811009072e-06,-2.3627939401657e-05,2.2075036641792e-05,-7.45839122624013e-06,-9.73627461509447e-05,0.000146348115512729,-6.91107640041487e-05,2.16959510631796e-06,2.35411731228482e-06,4.28600738245636e-05,-0.000107595975446213,7.95496874339613e-05,-2.12599597506003e-06,-1.331303270835e-05,8.13371900649571e-07,1.59275561614024e-05,-2.45821195427769e-05,1.0053326638516e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,580,604.166666666667,628.333333333333,652.5,700.833333333333,725,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7380109580158,0.13569114714141,-0.0141562529808309,0.00034744669545863,-0.00058652947987216,0.000315335696913296,-2.61530864330373e-05,-0.000157319898725358,0.000228902533920957,-0.000182392326554697,2.05257117108789e-05,0.000136940087876243,-0.000164226015365809,7.81072619898025e-05,-2.43535535006586e-06,-1.96942532374542e-06,-4.60144351204953e-05,6.31320521926826e-05,-2.28363761571649e-05,-7.56269887263066e-06,7.90727381884794e-06,-4.16218240286114e-07,-1.08431600114827e-05,3.26485917490579e-05,-6.04679302293571e-06,-3.65572671659285e-05,2.03596872155255e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,338.333333333333,362.5,386.666666666667,580,604.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-13.7369398195517,-0.128918495678995,0.029050263400158,-0.000572887086739764,0.000758381465940129,-0.000197233450461384,6.79832599107753e-06,9.75481718790572e-06,-7.44309037965342e-06,4.64700579440364e-06,-6.47178415126325e-07,-5.83110847552078e-06,4.9311825631302e-06,-3.65863071407706e-07,-7.65984863864104e-06,9.05649751674497e-06,-8.35554540908416e-06,2.93206473673145e-06,4.41668526246888e-05,-6.70712959922176e-05,2.69495417324895e-05,-1.18405453976311e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,193.333333333333,290,362.5,386.666666666667,410.833333333333,604.166666666667,628.333333333333,652.5,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-12.7025584416191,-0.203737677275941,0.030326185163171,-0.000570179098224714,0.000731291940743551,-0.0001730674227148,6.8428950168756e-06,2.40307202629065e-05,-2.03314778388513e-05,1.74715099806647e-07,2.50580823080208e-06,-7.43673187767917e-06,2.75401680874761e-06,4.60771571366672e-05,-9.74524712469682e-05,8.05990341557896e-05,-7.74347691572865e-06,-4.94560535911336e-05,3.48605430886357e-05,-8.04635326292698e-07,-1.05020619208499e-05,1.96437060731405e-05,-3.82007572807631e-06,-1.80982249298681e-05,1.01128558305007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,193.333333333333,314.166666666667,459.166666666667,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.4352046344756,-0.402880040574698,0.0475165406064832,-0.000847484538484541,0.00101565687624131,-0.000157897392172374,8.97260673308629e-06,-2.09296659799173e-05,8.61542792857738e-07,2.30883922910512e-06,-8.96438602959175e-07,-1.61117034963874e-05,1.98441550262236e-05,-1.75130228378065e-05,2.3176391875302e-06,1.54559377600534e-05,-1.73211000020044e-06,-4.41074343052436e-05,0.000124870007211713,-0.000145400463642046,1.84432144297505e-05,0.000142697954935111,-0.000145683072454148,4.73227310126792e-05,-9.88069345614869e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,314.166666666667,435,459.166666666667,483.333333333333,604.166666666667,628.333333333333,652.5,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9259281991582,0.00302991425384919,-2.39080190770372e-05,1.34210708375559e-08,7.41164503427454e-08,-1.06167807761024e-06,-2.05771845038125e-05,0.000130221323449187,-0.000202270864034075,2.06360936053122e-05,0.000162898234005521,-9.33495614914094e-05,1.53771249886471e-06,1.0582427516775e-06,2.67088988017965e-05,-5.31414249813838e-05,2.91481202872777e-05,-1.27695087569745e-05,6.39706568002442e-06,6.1355097038597e-05,-0.000128278457149207,8.59464309587508e-05,-3.56439408764281e-06,-2.31846078185733e-05,1.50854766611709e-05,-2.53411391259596e-05,9.19321977208379e-06,0.000145926144388099,-0.000221109076732549,1.83397835982986e-05,0.000136377756008452,-6.87468041026384e-05,1.28027688695806e-06,-1.31951319555586e-06,-2.67831913673594e-05,0.00013753300593518,-0.000129512900281456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,942.5,966.666666666667,1015,1111.66666666667,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1474.16666666667,1498.33333333333,1522.5,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9116181020756,0.00520755183489684,-8.19332839404224e-05,3.19499069037571e-07,1.23148278122551e-07,-1.32169554422193e-06,-1.86110032771796e-05,0.000102851093820888,-0.000142756489676685,1.39308817016377e-05,8.10233178860401e-05,-3.46247302284949e-05,-6.55746341638304e-07,-1.67761964582833e-06,-2.587798595289e-05,0.000115445295868095,-0.00019313386074222,0.00015132499824953,-4.87204551009732e-05,2.69109545277593e-06,-2.88207845041471e-06,-2.29445232264816e-05,0.000135426974434685,-0.000258432549698497,0.000217267760326112,-6.6833323172443e-05,7.70224816768422e-06,-2.85122079387607e-05,4.94223568208458e-06,3.34303120094289e-05,-2.13646489770298e-05,3.35639490875235e-06,6.01129797646225e-05,-0.00018265681084313,0.000216211130667454,-0.000136675764485514,4.89719218467698e-05,-3.19646995636836e-06,-2.62154829595067e-05,2.61229615778517e-05,-2.47295246860118e-06,5.7334475159204e-06,-1.21059382571011e-05,-4.59927285240846e-05,0.000230896948523306,-0.000479926520048337,0.000841389356229665,0,0,0,0,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1039.16666666667,1135.83333333333,1160,1184.16666666667,1208.33333333333,1232.5,1256.66666666667,1280.83333333333,1353.33333333333,1377.5,1425.83333333333,1450,1474.16666666667,1498.33333333333,1522.5,1546.66666666667,1570.83333333333,-1,-1,-1,-1
