"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location"
"0-17",1,-14.4629557786338,-0.122706546120504,0.0205187904735442,-0.000446900927976932,0.000699746501726437,-0.000328791400393448,1.68231407756789e-05,0.000103865826106303,-1.19696438393625e-05,-0.000126329252632636,0.000210532969762917,-0.000191149148727602,8.54169218621638e-05,-4.46745989951463e-06,-2.70207705655168e-05,2.24274177917246e-05,-3.23471885687528e-07,-3.91154257034887e-06,1.23685571986433e-05,-3.20005180500443e-06,-3.29518482592915e-05,3.25531873487072e-05,-1.0620807844462e-06,-1.63588738186941e-05,3.36838989630336e-05,-6.16960551358537e-06,-3.64875947927498e-05,1.96784433372654e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,314.166666666667,338.333333333333,459.166666666667,483.333333333333,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,773.333333333333,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-9.29130615518353,0.368565067009401,-0.0171315980401851,0.000251351034487702,-0.000259639906016342,1.30329168035526e-05,-1.35997476438981e-05,2.55058884572198e-06,9.20954119306029e-06,-2.85203319159973e-06,5.95042431570261e-07,9.99821077462494e-06,-3.21567727897977e-05,2.49027588150552e-05,-4.18820965440333e-06,-1.97898755860788e-05,7.68468582578221e-06,0.000109775299224518,-0.000179190968746617,0.000100645308060075,-1.90794923884343e-05,7.48594366404833e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,96.6666666666667,193.333333333333,217.5,241.666666666667,290,580,604.166666666667,628.333333333333,652.5,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.73069357041332,0.194856140923588,-0.00529482250777529,4.85539823700759e-05,-3.51232293055778e-06,-7.14073081670554e-05,5.8129799006951e-06,5.4494850026321e-05,-3.63165165419196e-05,7.85101663042619e-07,1.5822110884319e-06,4.88331694026163e-06,-6.07140820242028e-06,2.07084701929262e-06,4.93357988274244e-05,-0.000143138955015857,0.000138592261330258,-4.70120658786194e-05,2.00503075724198e-06,-1.76009657291238e-06,-2.63896482823092e-05,8.28931915467501e-05,-8.4863331430137e-05,2.96153743366081e-05,-1.48186269104077e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,241.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-8.62890240203878,-0.2146557361702,0.0261333540393554,-0.00048726464885021,0.000614859534941548,-0.000131114355172424,6.31813089068863e-06,-1.43686724755042e-06,-7.96098361202646e-06,6.4587119031517e-06,-6.67097880342391e-07,3.43792839049424e-06,4.40457005329967e-05,-0.000129334967686992,0.000106147698478424,-5.47831065848217e-06,-7.08311568525567e-05,9.22114563417745e-05,-1.08071976015336e-05,-9.83720423985786e-05,8.70717739306783e-05,-3.99003323531322e-06,-1.10948556570378e-05,-6.73417534558375e-06,1.88206191142829e-06,3.5925092277779e-05,-5.63488407526963e-05,2.31845473470719e-05,-1.04755254837986e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,193.333333333333,217.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,773.333333333333,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.2865180417536,-0.0326656712255719,0.0012286360561718,-6.00646962513162e-06,1.83951901307536e-06,5.12195387573202e-06,-3.79737475162745e-07,-6.66524684425589e-06,6.90174041079803e-06,-1.09754442079454e-07,-1.90296360363139e-06,1.23144022425047e-05,-1.76391382197985e-06,-2.19451887308625e-05,2.74764452110924e-06,4.51656227840016e-05,-4.30122199681031e-05,7.95967684228918e-06,-2.64565177877368e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,314.166666666667,338.333333333333,362.5,531.666666666667,555.833333333333,725,749.166666666667,773.333333333333,821.666666666667,845.833333333333,870,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.659375564672,-0.0250772355032007,0.0218060800078006,-0.000448876199297763,0.000607973343760839,-0.00016871366680863,5.31439970770335e-06,7.73280317392865e-06,-7.74070237562629e-06,5.56927044803223e-07,6.40514396607802e-06,-5.15251366869489e-07,-8.15338573778018e-06,6.55191786777183e-06,-6.83823791979193e-06,1.43585582672451e-06,9.01393036936462e-06,-1.09110447910415e-05,2.70768470976611e-06,4.92136414892083e-05,-7.47514765151302e-05,2.97340726969462e-05,-1.34494733272657e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,217.5,265.833333333333,290,362.5,386.666666666667,410.833333333333,628.333333333333,652.5,676.666666666667,773.333333333333,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-13.4506491138102,-0.125782750646482,0.0259894046142714,-0.000509677221210952,0.000679427450399659,-0.000186608181322872,7.00162385100668e-06,3.15440183935862e-05,-2.10725327291687e-05,-9.17101605184374e-06,9.11276022585829e-06,-1.64811938416588e-06,1.63281457232789e-06,3.63047528478498e-05,-8.90060196180155e-05,5.84427677471807e-05,-9.17630384367028e-07,-2.36023223431594e-05,2.20000497366221e-05,-1.03695031247886e-06,-8.92586161079035e-06,6.20086197808788e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,217.5,241.666666666667,459.166666666667,580,604.166666666667,628.333333333333,652.5,700.833333333333,773.333333333333,797.5,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.7310756127244,-0.11027191646775,0.0218700050933193,-0.000370851919734041,0.000398171962893919,-5.95188165750321e-06,-2.06754702363316e-05,-7.38318860542194e-06,6.96331898382909e-06,-1.02292168990445e-06,4.9700450086474e-06,4.36771984465184e-05,-0.000164556353111885,0.00020173591844205,-9.89342453964578e-05,4.97021933588569e-06,3.16720465132617e-05,-4.21287212084092e-06,-6.6382398683865e-05,5.42031112691763e-05,-1.31752169730137e-06,-1.78865495161037e-05,3.93131918617307e-06,5.95547058351272e-05,-7.99000853561488e-05,2.93635513373925e-05,-1.34867216628706e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9822858035649,0.002363066436372,-1.78934720497944e-05,2.51152361385732e-09,6.73629292068857e-08,-9.42324857910954e-07,-1.62626345127568e-05,0.000106304911467395,-0.000163266696672556,1.21264778138165e-05,0.000116732713102152,-8.09837725183684e-06,-0.000121983798787214,0.000128218147273168,-1.76170737985822e-05,-0.000154870681565751,0.000232710263558481,-0.000165117166103487,1.99251389485471e-05,0.000131836202945369,-0.000170929183602714,7.24275729847558e-05,-3.24879205657053e-06,3.17536228385292e-05,-8.17427072578345e-06,-9.13922182972725e-05,9.93542974444599e-05,-8.79523597199785e-06,-0.000137840124601209,0.000196535567378475,-8.37838703553726e-05,2.42897461302587e-06,4.20596799006337e-06,-2.77981838252862e-07,-3.99366834606426e-06,2.84397302968787e-06,-2.83641858773131e-07,-2.77530008276138e-06,3.79461921869542e-06,-9.08018353452568e-08,-8.53990133749882e-07,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,749.166666666667,773.333333333333,797.5,845.833333333333,870,894.166666666667,918.333333333333,942.5,1063.33333333333,1135.83333333333,1160,1232.5,1329.16666666667,1353.33333333333,1425.83333333333,1546.66666666667,1570.83333333333
"18-49",3,-14.7190979163433,-0.00938838562950667,0.000130599304369204,-4.40682990259889e-07,-8.76493621358927e-08,8.99020738664017e-07,3.74224366857743e-05,-6.85498008311825e-05,5.71981094054988e-06,3.63212029290578e-05,-9.74929784333349e-06,-1.65989205301916e-06,6.16662061966631e-06,-1.14497046100282e-05,1.40999356257219e-06,3.54370416534519e-05,-4.13314933094215e-05,4.80283142634294e-06,-6.41865202647021e-06,1.21159881157303e-05,8.72055806943614e-05,-0.00025018015225939,0.00025881775965881,-0.000104949657553918,4.74198858348432e-06,4.31503382343562e-06,-7.06545942274771e-07,3.0151232902429e-07,-3.7546799762444e-07,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,435,604.166666666667,628.333333333333,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,1135.83333333333,1377.5,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
