"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_35coef","knot_36coef","knot_37coef","knot_38coef","knot_39coef","knot_40coef","knot_41coef","knot_42coef","knot_43coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location","knot_35_location","knot_36_location","knot_37_location","knot_38_location","knot_39_location","knot_40_location","knot_41_location","knot_42_location","knot_43_location"
"0-17",1,-15.2344958474463,0.316158897032379,-0.00266532018656674,-6.97534730485008e-05,0.000217791745036644,-0.000170308700070756,4.36573017733745e-06,1.87451961822202e-05,3.11574487328559e-05,-4.34187296461373e-05,6.42632283763078e-06,-8.66728397555653e-06,1.60877561858586e-05,9.7772224216855e-05,-0.00030880607249855,0.000397803337681921,-0.000290975374820488,0.000126806529436393,-1.02781156844319e-05,-1.67147009198662e-05,4.84079406222053e-07,1.34727894770513e-05,-1.80331886435665e-05,8.00079907448351e-06,-1.37156441310084e-06,-5.12252575528187e-05,0.000101586166539527,-1.14648630766407e-05,-9.6767990617585e-05,6.97236597865647e-05,-1.25243652174762e-05,8.36153977411478e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.25559171837339,0.190874447474094,-0.00530529330118138,4.2407203867309e-05,-7.17165724013533e-06,-0.000100963170464218,7.71992122854812e-05,-2.88594332461616e-06,-1.46886980537123e-05,1.10826967625501e-06,1.59765187703759e-05,-1.37691247251659e-05,1.00419723364816e-06,1.63864781445735e-05,-1.67039463990971e-05,3.30204348786602e-06,1.1504961354196e-06,1.82185614849386e-05,-7.32664243416788e-05,8.10802557753736e-05,-2.81246975093308e-05,3.74786340032412e-07,-2.03738187074867e-05,8.47924588561065e-06,0.000102940840327301,-0.000172269089264518,9.89424452728539e-05,-1.90780966467655e-05,7.20983382512096e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,241.666666666667,265.833333333333,290,386.666666666667,410.833333333333,435,531.666666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.26584607586935,0.187254760727867,-0.00482742061120773,3.87367712682931e-05,-6.58621122077716e-06,-0.00011027649253666,0.000110138076915816,-1.09438437522029e-05,-4.41077498919421e-05,5.1855662046757e-05,-3.85093692419071e-05,2.48630096659908e-06,2.81850648949801e-05,-3.05495488269799e-05,1.13069925699404e-05,-2.21624751597762e-06,6.0390229064532e-06,3.43501101032747e-05,-0.000125119494210569,0.000156794213637036,-0.000135681944058417,0.000145054122733758,-0.000156114443447275,0.000116763667641068,-1.53743636464251e-05,-0.000109103195559041,0.00014640603212662,-0.000113171116751739,2.45716941673237e-05,0.000205677322398716,-0.000357402405691069,0.000245059204286913,-8.40053206981579e-05,1.66214898953267e-05,-8.82759356785165e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,241.666666666667,265.833333333333,290,338.333333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-11.0019102420022,0.656382150971619,-0.0298426910484707,0.000451973890336563,-0.000497446144623793,1.61840478070135e-05,7.04891523334196e-05,-4.53035205552945e-05,1.99947678574846e-05,-5.38068540954886e-06,-6.13311673788326e-05,0.0001209142202018,-0.000155136380326722,3.43777980819355e-05,0.000315278478137411,-0.000515201462037905,0.000367835474435568,-0.000163021250746673,5.65807241627875e-05,-1.1570914343734e-05,7.62810534270411e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.6241831781711,-0.014606720742941,-0.00200304727586781,0.000134429846410096,-0.000376941056312472,0.000437349703492452,-0.000235448421638099,1.49371573238585e-05,2.05332572071841e-05,2.98583959739177e-06,5.27366531706351e-05,-8.66013301952628e-05,3.94005340736247e-05,-8.62282323928316e-06,1.29314471173656e-05,5.54302479354838e-05,-0.000225272373300666,0.00032367794460098,-0.000264952115239022,0.000151758933585827,-5.29097815105472e-05,4.63759046529952e-06,-8.69644180330137e-07,7.51241222059915e-07,2.30660743842103e-05,-6.54125090322208e-05,6.9741535804915e-05,-9.1221440401618e-06,-9.1583843433092e-05,0.000128281912225574,-1.25930291297031e-05,-0.000102377344886797,7.39419628137377e-05,-1.39782147116909e-05,8.99572831251491e-08,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.2306016560237,-0.559083184216049,0.0563100696259387,-0.00100773002686826,0.00123222959488736,-0.000212961390298702,1.04553896254814e-05,-6.60091339633649e-05,4.69015707413998e-05,1.25767273985183e-05,-3.82753537981444e-05,2.38351230256592e-05,-1.22213015412813e-06,-1.63220963745502e-05,3.50678831572619e-05,-1.931777510228e-05,1.37179842441793e-06,2.78504164107493e-05,-9.02299022065899e-05,9.77389056051363e-05,-3.84112417972596e-05,1.98541395568333e-06,2.65671998375607e-05,-9.48730224251038e-05,0.000116140507271435,-1.36115343487648e-05,-7.99403208306271e-05,5.58617964392075e-05,-9.68056766064676e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,217.5,241.666666666667,362.5,386.666666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.6800666530497,-0.0853759563345448,0.0265170412723565,-0.000517908820176993,0.000659547071346812,-0.000125849310934454,-6.12024178902477e-05,5.58503846185762e-05,-1.90888564992372e-06,-2.48803646742235e-05,1.64208749576907e-05,-6.92558705127066e-06,4.76322953585965e-06,5.73672862781894e-05,-0.000127843512317184,8.8197076961823e-05,-3.10236599290985e-06,-3.37701148562335e-05,9.59372032083371e-06,9.73307628453971e-05,-0.00020533583674634,0.000172973302168104,-5.461908021608e-05,1.95961844384014e-06,-1.99558373278228e-05,3.93929184631827e-05,-6.72848485701095e-06,-2.99860279425297e-05,1.66244311030394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.2027948165255,-0.559294752560339,0.0560150546871357,-0.00100894927780921,0.00127597943317715,-0.000305282289235887,2.07283263072013e-05,4.09539908588607e-05,-2.18884549146721e-05,-4.46269218606935e-07,-9.89619763756743e-06,1.47802505274183e-05,-2.25088166409799e-05,1.24703427489661e-05,0.00010030953991255,-0.000267803393299212,0.000295461978625999,-0.000201086765005584,0.000174059115258001,-0.000195815774430557,0.000155205396283935,-1.11893531130746e-05,-0.000152104822382475,2.97232235747206e-05,0.000368371585436947,-0.000505163663251057,0.000277321976026784,-7.88147588452294e-05,1.81092363613358e-05,-3.00429965685974e-06,4.80548129886113e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,241.666666666667,265.833333333333,314.166666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0291018272694,0.00267117526957044,-2.03853221314602e-05,4.42685507259654e-09,7.43434926652623e-08,-1.05887884305277e-06,-1.9440342194911e-05,0.00013132591499863,-0.000208508524653573,2.11128086267579e-05,0.000166680331957795,-9.04667105001267e-05,2.81863919215443e-06,-3.86704863365647e-06,-1.28332341975976e-05,1.7229739026388e-05,-6.66129139156929e-06,6.65677810442517e-06,-2.1490235337383e-06,5.68576108260603e-06,-1.24354200117291e-05,-4.5260719629873e-05,0.000237390908278725,-0.000432543520178839,0.000369549682801561,-0.000134408638493281,1.19223770044201e-05,-3.58103654076409e-06,1.01285478850665e-06,3.04277225118562e-06,-1.28376200481462e-06,-9.32485988632594e-07,1.73784857024302e-06,-1.72945026866968e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,628.333333333333,700.833333333333,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,1015,1039.16666666667,1111.66666666667,1353.33333333333,1425.83333333333,1546.66666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9847120847961,0.00469744143055749,-7.67342599396038e-05,3.20213959385193e-07,-1.92945598198336e-05,8.68738842816434e-05,-0.000104108484939786,-3.54763507866002e-05,0.000170663684186475,-0.000158280828874352,6.53674163840681e-05,-2.18950918750085e-06,-4.62212455709522e-06,1.29898508140324e-06,2.90895326580512e-05,-8.64294482808217e-05,8.1237093356766e-05,-2.31951786370353e-05,2.99208153245921e-06,-1.15464690128709e-05,-4.03133944364302e-05,0.000256873037606521,-0.000525899540021282,0.000540046267740905,-0.00032706097079716,0.000165551955330883,-9.4474713318817e-05,3.58121423097537e-05,-1.98373506748431e-06,-1.4453147880336e-06,5.34419388874694e-07,1.01853920716315e-05,-2.74766436032554e-05,1.88797806082198e-05,-3.7329668268658e-06,1.69816581485622e-06,0,0,0,0,0,0,0,0,0,0,0,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,1015,1111.66666666667,1305,1329.16666666667,1353.33333333333,1377.5,1498.33333333333,1570.83333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
