"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location"
"0-17",1,-13.9267811872715,0.0879915523432003,-0.00037747063188621,6.19765834819136e-07,-1.14861690848254e-07,-3.66660507045097e-06,3.25675734136536e-06,1.95450761968315e-05,-2.01770872159979e-05,1.62530048241205e-06,-0.000363016138088953,0.00041349016782672,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6060606060606,319.272727272727,385.787878787879,399.090909090909,412.393939393939,691.757575757576,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-5.80343096649598,-0.0918866873194207,0.00206393696679854,-7.01391366438903e-06,-8.24297235365647e-06,2.5475926489258e-06,1.94581705002532e-05,-1.26910997636127e-06,-5.94367120581147e-06,4.36274243320264e-07,2.62332492716878e-06,-3.21508435848729e-06,9.26512477571668e-07,-0.00024605817233317,0.000289445692694304,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,79.8181818181818,119.727272727273,133.030303030303,385.787878787879,399.090909090909,452.30303030303,638.545454545455,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-5.83973170018428,-0.0611242686344216,0.00173232020963874,-6.38599032125453e-06,-7.9865178984495e-06,2.47733351620262e-06,2.00727086908702e-05,-1.50548524085689e-06,-7.29694714137263e-06,3.92444349040931e-07,3.58364886007922e-06,-5.84042704766689e-06,1.10565066761682e-05,0.00015598460008444,-0.000381908752582573,0.000232560602640641,-4.42384648472128e-06,-1.13174447397739e-05,4.49457820924147e-07,0,0,0,0,0,0,13.3030303030303,26.6060606060606,79.8181818181818,119.727272727273,133.030303030303,385.787878787879,399.090909090909,465.606060606061,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,705.060606060606,851.393939393939,-1,-1,-1,-1,-1,-1
"65+",1,-7.23453430446267,0.101863716396336,-0.00110612999025484,2.77403187461035e-06,1.01239865181588e-07,-4.66920032547806e-07,-6.3269384076921e-06,6.03380905872955e-07,1.0186294028731e-05,-1.0593893526875e-06,-7.47186704919528e-06,-4.65000161797343e-06,3.02391530548601e-05,0.000183554645180079,-0.000508597109095573,0.000320725218504522,-4.79181036504358e-06,-1.91216602123218e-05,1.99785614937555e-06,0,0,0,0,0,0,26.6060606060606,186.242424242424,199.545454545455,305.969696969697,319.272727272727,372.484848484848,385.787878787879,585.333333333333,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,731.666666666667,851.393939393939,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0232264706426,0.0899293885763671,-0.000286629057696486,5.3931133399863e-07,-3.18884188611962e-07,-3.30792142869756e-07,-0.000346418527924787,0.000404407718428819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6060606060606,478.909090909091,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.0497665644626,-0.079704054662185,0.00602849460784608,0.000580701087367141,-0.00222017048283953,0.00270250313594959,-0.0011675991802689,6.9408135235869e-05,3.84158163166928e-05,-5.83861105286559e-06,4.48855868728429e-07,2.66087786784781e-06,-1.81251843796014e-07,-1.39636786327089e-06,1.45085985259212e-06,-0.000272626644781728,0.000317803754360183,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,79.8181818181818,199.545454545455,266.060606060606,279.363636363636,518.818181818182,532.121212121212,638.545454545455,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.1988978364906,-0.0438631781801083,0.00237869066946063,0.000654805781828185,-0.00219194819312679,0.00247811069612993,-0.0010456413384135,0.000123045243680624,-5.0921245721543e-05,1.67170896153727e-05,7.53361305450499e-05,-6.09341768599287e-05,3.96582425131419e-07,2.12291387219648e-06,-2.48887619715346e-06,9.99407079042515e-06,0.00013105282547698,-0.000331881704944805,0.000203969632499697,-3.19835386296743e-06,-1.20044773700907e-05,2.49173741191864e-06,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,66.5151515151515,79.8181818181818,119.727272727273,133.030303030303,172.939393939394,332.575757575758,465.606060606061,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,731.666666666667,851.393939393939,-1,-1,-1
"65+",2,-14.9732089850539,0.106684405539017,0.00917391505951958,-0.000184815893799122,5.68404159871727e-05,0.000140299806195608,-1.37501398549223e-06,-1.25810388939617e-05,3.01232615545792e-07,4.5798567284524e-06,-3.51596466395077e-06,-4.12496679487363e-05,4.55809399968525e-05,-3.72688023387643e-06,-3.57810472566987e-05,3.73063996252171e-05,-8.97179590157073e-07,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,119.727272727273,133.030303030303,319.272727272727,332.575757575758,452.30303030303,465.606060606061,478.909090909091,611.939393939394,625.242424242424,638.545454545455,851.393939393939,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-13.8848743523963,-0.00489955667644213,4.32656241784448e-05,-9.84381981824765e-08,8.41302494884097e-06,0.000244606335256094,-0.000504151198202622,6.83132523466863e-05,0.000248807569064413,-1.25657711720767e-05,-5.42157418442052e-05,1.57128432226804e-06,-0.00038521054321257,0.000448834065230953,0,0,0,0,0,0,0,0,0,0,0,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,399.090909090909,412.393939393939,651.848484848485,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.4032155012919,-0.00804834174869266,7.99272442746005e-05,7.57344258006265e-08,-4.67665959530236e-07,6.82867593247676e-06,-3.81071429622291e-05,0.000122626769670917,0.000333201925722567,-0.00169363868429591,0.0024455794766876,-0.00153740584572745,0.000209183143576937,0.000255543844558618,-0.000101523648790559,-3.98133422880015e-06,7.6840840442591e-06,9.75042878445214e-05,-0.000231290100119671,0.000134341321347314,-1.85817984168377e-06,-6.43591746205023e-06,-0.000219439122552294,0.000265698597108228,0,26.6060606060606,186.242424242424,199.545454545455,212.848484848485,226.151515151515,239.454545454545,252.757575757576,266.060606060606,279.363636363636,292.666666666667,305.969696969697,478.909090909091,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,744.969696969697,851.393939393939,864.69696969697,-1
"50-64",3,-14.4236234902311,-0.0044544651146666,5.87482804171111e-05,-1.99392118890979e-07,6.42086605719562e-06,-3.63131011917046e-05,0.000118126942356062,0.000350220898784156,-0.00165302567436215,0.00216269081208193,-0.00113893256265846,0.000115774484255299,7.91266305627275e-05,-5.58502369147218e-06,8.66356998198533e-06,0.000115475949450396,-0.00028145993412376,0.000167203148443712,-2.38950707409498e-06,-9.62288186981765e-06,2.71418954174068e-06,0,0,0,0,186.242424242424,199.545454545455,212.848484848485,226.151515151515,239.454545454545,252.757575757576,266.060606060606,279.363636363636,292.666666666667,439,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,744.969696969697,851.393939393939,-1,-1,-1,-1
"65+",3,-14.2619709756612,-0.00654694503777132,5.45687912648384e-05,2.46822611078904e-07,-5.87955884240785e-07,8.58603005842367e-06,-4.79225327430151e-05,0.00015432074732313,0.000425102959239317,-0.00214402570774145,0.00307021288769897,-0.00193401342427033,0.000273765901373163,0.000360474591957395,-0.000163467462389282,-7.33803139619345e-06,5.40615677059475e-06,-5.01598292693858e-06,2.374094212622e-05,9.94237558332449e-05,-0.000315458693306318,0.000211068967827458,-3.39218347428412e-06,-1.30607961963646e-05,1.49681205263548e-06,26.6060606060606,186.242424242424,199.545454545455,212.848484848485,226.151515151515,239.454545454545,252.757575757576,266.060606060606,279.363636363636,292.666666666667,305.969696969697,439,492.212121212121,585.333333333333,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,718.363636363636,851.393939393939
