"age_group","dose","intersect","t","t2","t3","knot_1","knot_2","knot_3","knot_4","knot_5","knot_6","knot_7","knot_8","knot_9","knot_10","knot_11","knot_12","knot_13","knot_14","knot_15","knot_16","knot_17","knot_18","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location"
"0-17",1,-8.0529105597427,-0.00263129541696162,-0.000430918316381423,3.46937614355875e-06,-0.00027057208320856,0.000493860583966229,-0.000226763798240821,-0.000179596135018525,-0.00459583650977791,0.0423993815156169,0,0,0,0,0,0,0,0,0,0,0,0,125.555555555556,132.730158730159,139.904761904762,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.05468201570752,-0.0243474487319007,-8.09924863757722e-05,1.28029898291776e-05,-1.33826646479443e-05,0.000927324383690558,-0.00543324962213451,0.00726148098250152,-0.00280713912215947,5.26976249066515e-05,-0.000209200409344532,-0.00542049185764516,0.0493755780852878,0,0,0,0,0,0,0,0,0,7.17460317460317,197.301587301587,204.47619047619,208.063492063492,211.650793650794,218.825396825397,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.52511459087404,-0.0864139976126157,0.00371548038995279,-8.51590718824749e-05,6.58475039734411e-05,2.17752828262222e-05,-1.2758498389733e-05,-0.000323488766734524,0.00313291057941297,-0.014835786190383,0.0196397987744752,-0.00805506793072472,0.000633659842222495,-0.000181076358467443,-0.000170338297628691,-0.00467397674293659,0.0424507525298134,0,0,0,0,0,7.17460317460317,46.6349206349206,139.904761904762,193.714285714286,197.301587301587,204.47619047619,208.063492063492,211.650793650794,218.825396825397,222.412698412698,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1
"65+",1,-10.3691051785549,0.484332521933247,-0.140746667819907,0.00941584136259114,-0.0169078537232677,0.00826782057479396,-0.00181368730241645,-0.00200097617988513,0.00643245214928308,-0.00562102442076385,-0.00506959746276673,0.0127713555200213,-0.00548188607426183,0.00263342392622767,-0.0115624350963325,0.0201647193080949,-0.0116706700585671,-0.0363292138543255,0.0974038545098615,-0.0896415199966937,0.0292384444594445,-0.000229053282130325,7.17460317460317,10.7619047619048,25.1111111111111,28.6984126984127,32.2857142857143,39.4603174603175,43.047619047619,46.6349206349206,50.2222222222222,68.1587301587302,71.7460317460317,75.3333333333333,78.9206349206349,82.5079365079365,86.0952380952381,89.6825396825397,93.2698412698413,104.031746031746
"0-17",2,-6.47997976965396,-0.0434394009754261,0.000303611063311226,-6.2222908346492e-07,0.000252951862303054,-0.000771881164001941,0.000521378193043287,-0.0001674993612911,-0.0051535267064052,0.0469247742151469,0,0,0,0,0,0,0,0,0,0,0,0,308.507936507937,315.68253968254,319.269841269841,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-7.98470570994434,-0.0289039666718409,0.000171000995618332,-3.48146975901276e-07,0.00018747574482147,-0.000622833133792642,0.00043849083399249,-3.50615668016244e-06,-0.000123269180340684,-0.00399988966164668,0.0368640375083712,0,0,0,0,0,0,0,0,0,0,0,197.301587301587,204.47619047619,208.063492063492,308.507936507937,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-8.55180898004719,-0.106235831242698,0.00467920613283314,-0.0001055522082485,8.07135692358367e-05,2.78725774856157e-05,-1.38952209015727e-05,-0.000277203104213508,0.00289625497456303,-0.0132365743045981,0.016730021379328,-0.00625996831154535,0.000160961181522067,-2.36459943838762e-06,-0.000122525465895934,-0.00372256828922656,0.033931239632784,0,0,0,0,0,7.17460317460317,46.6349206349206,139.904761904762,193.714285714286,197.301587301587,204.47619047619,208.063492063492,211.650793650794,218.825396825397,283.396825396825,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1
"65+",2,-9.80782511856425,0.101980947453899,-0.00932608611256699,0.000187605249856591,-2.3895552716469e-05,0.000369357794002187,-0.00241026202863504,0.00422515875210718,-0.00234390825188454,-1.90206351375918e-05,0.00467279156190443,-0.00658892382174089,-0.00536332952565707,0.0111013152961377,-0.00287173700192531,-0.000934515433110809,-0.000109169498530212,0.000813721740725647,-0.0016126218531816,-0.000537907295596316,0.0270127717222307,0,7.17460317460317,35.8730158730159,39.4603174603175,46.6349206349206,50.2222222222222,139.904761904762,197.301587301587,200.888888888889,204.47619047619,208.063492063492,211.650793650794,215.238095238095,416.126984126984,419.714285714286,426.888888888889,441.238095238095,448.412698412698,-1
"0-17",3,-7.14120189071101,-0.019013103673037,-0.000333170962051023,4.80860229526567e-06,-5.89174522447083e-05,5.77138611449688e-05,-6.21152172675782e-06,3.85303364693117e-06,-0.000267424646186617,-0.00631817776991658,0.0576837294266951,0,0,0,0,0,0,0,0,0,0,0,89.6825396825397,100.444444444444,204.47619047619,279.809523809524,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-7.12440696362121,-0.0298821128304452,5.9791246746686e-06,9.18596499734086e-06,-9.74856325838199e-06,0.000402615345630396,-0.00249315323118234,0.0130691769920196,-0.012950030790201,-0.0111941286484354,0.0218413651201016,-0.00913697231022189,0.000644915272773532,-0.000182761066369723,-0.000176332156886599,-0.00490073662168319,0.0447120853229825,0,0,0,0,0,7.17460317460317,186.539682539683,190.126984126984,197.301587301587,200.888888888889,204.47619047619,208.063492063492,211.650793650794,218.825396825397,222.412698412698,437.650793650794,441.238095238095,448.412698412698,-1,-1,-1,-1,-1
