date,age,rate,n
2022-02-15,0-17,,
2022-02-15,18-49,,2
2022-02-15,50-64,,0
2022-02-15,65+,,0
2022-04-03,0-17,72.3,1070
2022-04-03,18-49,,
2022-04-03,50-64,,
2022-04-03,65+,,
2022-05-15,0-17,,
2022-05-15,18-49,,1
2022-05-15,50-64,61.54312908102,3
2022-05-15,65+,28.467275341081,1
2022-05-29,0-17,75.7,1209
2022-05-29,18-49,,
2022-05-29,50-64,,
2022-05-29,65+,,
2022-07-24,0-17,82.3,1198
2022-07-24,18-49,,
2022-07-24,50-64,,
2022-07-24,65+,,
2022-08-15,0-17,,
2022-08-15,18-49,,1
2022-08-15,50-64,52.0747086407868,4
2022-08-15,65+,,0
2022-09-18,0-17,88.1,1142
2022-09-18,18-49,,
2022-09-18,50-64,,
2022-09-18,65+,,
2022-11-13,0-17,89.2,1241
2022-11-13,18-49,,
2022-11-13,50-64,,
2022-11-13,65+,,
