Site,age,date,infected
AK,0-17,2020-08-01,0.036483855425375
AK,0-17,2020-08-08,0.0379115692608542
AK,0-17,2020-08-15,0.0408745967092731
AK,0-17,2020-08-22,0.0431685139821408
AK,0-17,2020-08-29,0.0453760718375892
AK,0-17,2020-09-05,0.0470230854601257
AK,0-17,2020-09-12,0.0483654577438711
AK,0-17,2020-09-19,0.0497493388514695
AK,0-17,2020-09-26,0.0527931302243713
AK,0-17,2020-10-03,0.0556284413339674
AK,0-17,2020-10-10,0.0600680193583943
AK,0-17,2020-10-17,0.0646209656084006
AK,0-17,2020-10-24,0.0703947742433201
AK,0-17,2020-10-31,0.0791786943436846
AK,0-17,2020-11-07,0.0868845277173849
AK,0-17,2020-11-14,0.0967862218378924
AK,0-17,2020-11-21,0.108881926317568
AK,0-17,2020-11-28,0.122726770316555
AK,0-17,2020-12-05,0.138168649886528
AK,0-17,2020-12-12,0.154885226240968
AK,0-17,2020-12-19,0.166010106516826
AK,0-17,2020-12-26,0.174637795735368
AK,0-17,2021-01-02,0.182233420340459
AK,0-17,2021-01-09,0.190401891602454
AK,0-17,2021-01-16,0.198931290134371
AK,0-17,2021-01-23,0.204344422116095
AK,0-17,2021-01-30,0.209441324554099
AK,0-17,2021-02-06,0.214352373488269
AK,0-17,2021-02-13,0.218806868048219
AK,0-17,2021-02-20,0.222690504601259
AK,0-17,2021-02-27,0.227001968673692
AK,0-17,2021-03-06,0.233178449419847
AK,0-17,2021-03-13,0.236560952729422
AK,0-17,2021-03-20,0.241593137892164
AK,0-17,2021-03-27,0.24558062656813
AK,0-17,2021-04-03,0.248973199525565
AK,0-17,2021-04-10,0.253200893154835
AK,0-17,2021-04-17,0.259156502162171
AK,0-17,2021-04-24,0.26067463805684
AK,0-17,2021-05-01,0.265912067759583
AK,0-17,2021-05-08,0.267557250537055
AK,0-17,2021-05-15,0.271765387712927
AK,0-17,2021-05-22,0.273861422335858
AK,0-17,2021-05-29,0.275369133502411
AK,0-17,2021-06-05,0.275829856959034
AK,0-17,2021-06-12,0.276714713307802
AK,0-17,2021-06-19,0.279067872547555
AK,0-17,2021-06-26,0.279280737754017
AK,0-17,2021-07-03,0.283735235238685
AK,0-17,2021-07-10,0.28414741065996
AK,0-17,2021-07-17,0.287881100178189
AK,0-17,2021-07-24,0.292426280809582
AK,0-17,2021-07-31,0.297351325271448
AK,0-17,2021-08-07,0.305870132203341
AK,0-17,2021-08-14,0.308822285127971
AK,0-17,2021-08-21,0.316169553681147
AK,0-17,2021-08-28,0.330303928212568
AK,0-17,2021-09-04,0.338597543433153
AK,0-17,2021-09-11,0.352776189831555
AK,0-17,2021-09-18,0.368337541375919
AK,0-17,2021-09-25,0.381762915738944
AK,0-17,2021-10-02,0.421109829546384
AK,0-17,2021-10-09,0.437892988521221
AK,0-17,2021-10-16,0.464382885147908
AK,0-17,2021-10-23,0.482086218563329
AK,0-17,2021-10-30,0.497492265363929
AK,0-17,2021-11-06,0.516706917442643
AK,0-17,2021-11-13,0.524029742586628
AK,0-17,2021-11-20,0.53302552323056
AK,0-17,2021-11-27,0.54104173990535
AK,0-17,2021-12-04,0.547661547299236
AK,0-17,2021-12-11,0.552361958377951
AK,0-17,2021-12-18,0.563064452825709
AK,0-17,2021-12-25,0.565151015732145
AK,0-17,2022-01-01,0.571692317078736
AK,0-17,2022-01-08,0.586019197745941
AK,0-17,2022-01-15,0.615322681832577
AK,0-17,2022-02-11,0.745598958331383
AK,18-49,2020-08-01,0.0353602936478186
AK,18-49,2020-08-08,0.0364702348383193
AK,18-49,2020-08-15,0.0390311812382064
AK,18-49,2020-08-22,0.0409184474659311
AK,18-49,2020-08-29,0.0426957073063539
AK,18-49,2020-09-05,0.0439207663849857
AK,18-49,2020-09-12,0.0448430145306656
AK,18-49,2020-09-19,0.0457884958208917
AK,18-49,2020-09-26,0.0482424290117747
AK,18-49,2020-10-03,0.0504708041458298
AK,18-49,2020-10-10,0.054121261969005
AK,18-49,2020-10-17,0.0578243689106582
AK,18-49,2020-10-24,0.0625720848179291
AK,18-49,2020-10-31,0.0699440218846248
AK,18-49,2020-11-07,0.0762739320348967
AK,18-49,2020-11-14,0.0844730126537118
AK,18-49,2020-11-21,0.0945214187016252
AK,18-49,2020-11-28,0.106016419736099
AK,18-49,2020-12-05,0.118822200869095
AK,18-49,2020-12-12,0.132659512423125
AK,18-49,2020-12-19,0.141505519705194
AK,18-49,2020-12-26,0.148099132315568
AK,18-49,2021-01-02,0.153737918571341
AK,18-49,2021-01-09,0.159828685214225
AK,18-49,2021-01-16,0.166186267655864
AK,18-49,2021-01-23,0.169794526040215
AK,18-49,2021-01-30,0.173097450468566
AK,18-49,2021-02-06,0.17621073152835
AK,18-49,2021-02-13,0.178903934336113
AK,18-49,2021-02-20,0.181083333229593
AK,18-49,2021-02-27,0.183606990933941
AK,18-49,2021-03-06,0.187697415406087
AK,18-49,2021-03-13,0.189382088359704
AK,18-49,2021-03-20,0.192448395843897
AK,18-49,2021-03-27,0.19460699662439
