vaccination,intro_time,immune_escape,vaccine_efficacy,id
0,sample,100,50,b0
100,sample,100,50,b1
0,none,100,50,b2
100,none,100,50,b3
100,sample,100,50,s0
90,sample,100,50,s1
110,sample,100,50,s2
100,sample,120,50,s3
90,sample,120,50,s4
110,sample,120,50,s5
100,sample,80,50,s6
90,sample,80,50,s7
110,sample,80,50,s8
100,sample,100,60,s9
90,sample,100,60,s10
110,sample,100,60,s11
100,sample,120,60,s12
90,sample,120,60,s13
110,sample,120,60,s14
100,sample,80,60,s15
90,sample,80,60,s16
110,sample,80,60,s17
100,sample,100,40,s18
90,sample,100,40,s19
110,sample,100,40,s20
100,sample,120,40,s21
90,sample,120,40,s22
110,sample,120,40,s23
100,sample,80,40,s24
90,sample,80,40,s25
110,sample,80,40,s26
