"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location"
"0-17",1,-13.6215257584607,0.140069010980373,-0.00136340527772412,-9.34805387967517e-06,1.6736821363436e-05,8.64177994402737e-05,-0.000210768953229569,0.000151071438722549,-1.4905119619144e-05,-6.70158797037444e-05,0.000123649729046143,-0.00011167538837955,9.82749601788791e-06,4.75476245785001e-05,5.61798359781496e-06,-1.32382587055602e-05,-0.000138535403872342,0.000265146518796896,-0.000213114807626717,8.36322712396215e-05,-3.95281106824193e-06,-1.57878778763082e-06,-3.70117296568548e-05,8.8692954941834e-05,-0.000113460508753833,6.35827230205901e-05,-2.30592815287337e-06,-2.0095683902877e-05,1.82606313547139e-05,-4.41292492027944e-06,-1.88858381600692e-05,8.47669746475275e-06,0.000116032500531596,-0.000196019707918351,0.000112135684137021,-2.13307336185251e-05,8.24228605546652e-07,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,628.333333333333,652.5,676.666666666667,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667
"18-49",1,-8.46768434680894,0.171148999011484,-0.00417328986159364,3.31299457280819e-05,-8.37684904937689e-06,-6.86368732336102e-05,5.12612748921226e-05,-2.69306242663743e-06,-4.76775714346592e-05,7.72817661895976e-05,-3.66852591687512e-05,4.71876601421525e-07,1.143946216928e-05,-1.03406359020577e-05,1.33647046422798e-06,2.16412230214824e-05,-6.59340112367368e-05,6.52116186402802e-05,-2.0861031935932e-05,-2.25666609455608e-05,8.20022600142414e-06,0.000115672556226615,-0.000189089762463622,0.000106729842626387,-2.03125987818181e-05,7.94818799959145e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,193.333333333333,217.5,241.666666666667,265.833333333333,314.166666666667,410.833333333333,435,580,604.166666666667,628.333333333333,652.5,676.666666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.48740772603285,0.173682612313773,-0.00384760289242842,2.87225321985615e-05,-5.10017907506915e-06,-7.00903952372259e-05,5.82423830506725e-05,-2.12215285370958e-06,-2.84289217911496e-05,4.28283082371392e-06,3.69077923735418e-05,-2.48340280091993e-05,8.28593862727695e-07,2.43968558172916e-05,-3.36504482854258e-05,2.07873752351615e-06,1.03492561340218e-05,-6.17100843442991e-07,-1.17253934987303e-05,1.23983841413438e-05,-2.49348410179042e-05,8.7467330355477e-06,0.000108305393780625,-0.000171968545871552,9.58706027994767e-05,-1.836880436963e-05,7.07747556659907e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,193.333333333333,217.5,241.666666666667,265.833333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-9.55695439401394,0.1663296293163,0.000339794181454083,-3.65878538498817e-05,4.75278780432364e-05,-9.55452012758755e-07,-2.34249671495316e-05,2.06319844049652e-05,-4.39251005127597e-06,-5.49937277695373e-05,0.000142793177409695,-0.000181229778914763,0.000134985626993141,-2.68163211080011e-05,-0.00015622252933229,0.000376086208572537,-0.000379799030691821,0.000166217038003474,-2.69136370192135e-05,3.65551446384317e-06,-5.61901479952696e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,120.833333333333,145,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.8347308217687,0.00240864641804598,-1.81153189070708e-05,1.14297353806263e-09,7.04967792623621e-08,-1.00158487446451e-06,-1.7995574563625e-05,0.000124523693798706,-0.000197950898196878,1.98339948779124e-05,0.000155102632937785,-8.20434580050564e-05,2.34154250589276e-06,-3.02786678450658e-06,-1.54958946669405e-05,1.87737392920766e-05,-5.4650193607321e-07,-5.40968860351174e-06,4.80777993314254e-06,-3.25968278040088e-05,1.20581923273813e-05,0.000149316451913466,-0.000241776061484105,0.000136045443362605,-2.60349531901604e-05,9.99993116773249e-07,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,604.166666666667,628.333333333333,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.878712195852,0.00957075328332608,-0.00019044149670763,1.34206183985461e-06,-7.97586281456224e-07,1.09155951500259e-06,-4.67057014259291e-06,-2.41174588957527e-05,0.000144399341579189,-0.000246561332196866,0.000158500527999494,-1.349870557495e-05,-3.20118076379467e-05,1.90754770521056e-05,-3.26598265545499e-06,7.78706691769204e-07,1.02138455563724e-05,-2.62496476578578e-05,1.71743568269113e-05,-2.72830657712977e-05,1.02192898046783e-05,0.000128342985563778,-0.000209191733933274,0.000118519936167647,-2.28863606843948e-05,8.7242091660056e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.8756557801716,0.00978532508649393,-0.000189479812438696,1.26633790540021e-06,-6.92950335186747e-07,9.54404719099334e-07,-4.14426975379519e-06,-2.66627043321879e-05,0.000152720391621227,-0.000240335449679844,8.8533610091262e-05,0.000116247944148343,-0.000149520331272758,7.47049860258534e-05,-3.63194639469631e-06,-3.15130047392361e-05,4.95560528665034e-05,-7.29095249933738e-06,-7.83972658171026e-05,7.27283296693636e-05,-2.0322192918905e-06,-3.44061891155006e-05,9.14904267500249e-06,9.38970917156902e-05,-0.000184118924758633,0.00014519449307867,-4.30539397025027e-05,1.86218833670159e-06,-3.01406950066181e-05,1.20167562267041e-05,0.000147910043893795,-0.000242728934908227,0.000136580456695177,-2.56529543108038e-05,9.96551338217373e-07,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1
"65+",2,-14.8407568075093,0.010667232401355,-0.000212819535192963,1.50680526357081e-06,-9.01393237473765e-07,1.23356941081072e-06,-5.27741960264835e-06,-2.70307107097645e-05,0.000165567582617873,-0.000272233083669227,0.000150152982693224,-1.04519342468587e-05,3.92221388333073e-06,-4.01978975952797e-06,9.92722602936131e-06,-2.09314587603475e-05,-3.3269501615448e-05,0.000251708286239441,-0.000710497792834664,0.0010595735146002,-0.000818898277906603,0.000298567149312677,-4.84379305554101e-05,1.32613414641076e-05,-4.14015019086914e-06,6.68573087973426e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.8347308217687,0.00240864641804598,-1.81153189070708e-05,1.14297353806263e-09,7.04967792623621e-08,-1.00158487446451e-06,-1.7995574563625e-05,0.000124523693798706,-0.000197950898196878,1.98339948779124e-05,0.000155102632937785,-8.20434580050564e-05,2.34154250589276e-06,-3.02786678450658e-06,-1.54958946669405e-05,1.87737392920766e-05,-5.4650193607321e-07,-5.40968860351174e-06,4.80777993314254e-06,-3.25968278040088e-05,1.20581923273813e-05,0.000149316451913466,-0.000241776061484105,0.000136045443362605,-2.60349531901604e-05,9.99993116773249e-07,0,0,0,0,0,0,0,0,0,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,604.166666666667,628.333333333333,700.833333333333,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.878712195852,0.00957075328332608,-0.00019044149670763,1.34206183985461e-06,-7.97586281456224e-07,1.09155951500259e-06,-4.67057014259291e-06,-2.41174588957527e-05,0.000144399341579189,-0.000246561332196866,0.000158500527999494,-1.349870557495e-05,-3.20118076379467e-05,1.90754770521056e-05,-3.26598265545499e-06,7.78706691769204e-07,1.02138455563724e-05,-2.62496476578578e-05,1.71743568269113e-05,-2.72830657712977e-05,1.02192898046783e-05,0.000128342985563778,-0.000209191733933274,0.000118519936167647,-2.28863606843948e-05,8.7242091660056e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,435,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
