"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location"
"0-17",1,-15.2337091633385,0.342623697206149,-0.00902235150115012,7.75860835554051e-05,-6.20400205686826e-06,-8.92117411027287e-05,3.75557914918146e-06,1.54923942814031e-05,-5.46007346699454e-07,-1.6249156817184e-05,1.9217775499662e-05,-4.74446510259061e-07,-4.21331151018618e-06,2.76156366874904e-06,-4.02952237271999e-07,-5.53216805735219e-06,2.13317574699196e-05,-4.68224434106988e-06,-3.04826950638397e-05,1.78542226888958e-05,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,290,314.166666666667,338.333333333333,410.833333333333,435,652.5,725,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1
"18-49",1,-5.86695770254635,-0.0811970506897213,0.001997560763103,-1.3436348669468e-05,4.43382715241902e-06,2.40463071097348e-05,-1.54123444247692e-05,2.42793371991224e-06,-4.02484387420788e-07,-2.49121379217898e-06,1.5320877883345e-06,-6.95701413764128e-07,-2.96685283406762e-05,5.96671734367184e-05,-6.90087724244121e-06,-4.86189989246537e-05,2.56026023315188e-05,-7.86903787754885e-08,0,0,0,0,0,0,0,0,24.1666666666667,96.6666666666667,120.833333333333,410.833333333333,459.166666666667,483.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-5.90841918592246,-0.051983195640179,0.00166137552583436,-1.17093319523441e-05,2.79271763050565e-06,2.84002136333209e-05,-2.02364368102709e-05,1.541232555317e-07,1.76830913494979e-07,5.57987984625999e-06,-7.83770871142572e-06,2.96696012307646e-06,6.67654693159145e-05,-0.000191238043022936,0.000194565556249898,-7.49059942157758e-05,3.7708315746256e-06,-4.34095235914646e-07,1.41826657630357e-06,1.8126821358292e-05,-3.32047359408564e-05,1.48473025945967e-05,0,0,0,0,24.1666666666667,96.6666666666667,120.833333333333,169.166666666667,386.666666666667,410.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1
"65+",1,-8.54844946769695,0.199015369967869,-0.00270056966350336,8.95814001319434e-06,2.11334045391769e-06,-1.01715934103913e-06,-1.000081654156e-05,-1.08683685948307e-05,2.53337930228125e-05,-3.27165300416979e-06,-1.2642678665879e-05,-8.04400007278483e-07,4.66447782652042e-06,6.47431090364577e-05,-0.000186374854377824,0.00014927954268773,-6.75949406320548e-06,-3.41644782438138e-05,1.1099306005674e-05,-2.89287275615509e-07,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,265.833333333333,314.166666666667,338.333333333333,362.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,725,773.333333333333,797.5,-1,-1,-1,-1,-1,-1
"0-17",2,-13.7824242756239,-0.159287434710742,0.00895621087010844,-9.73946679725228e-05,1.64575832374085e-05,0.000161971319087979,-0.000100661670160616,5.32050771694697e-06,1.57779844400145e-05,-7.03883232629675e-07,-1.59063574405149e-05,1.91222920979455e-05,-3.87627962415099e-06,-1.28650562298067e-05,1.7404581423653e-05,-8.96423383097789e-07,-9.58488228531988e-06,2.69623335774985e-05,-5.62871744779828e-06,-3.62654183513856e-05,2.07697686176614e-05,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,314.166666666667,338.333333333333,362.5,435,628.333333333333,652.5,725,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1
"18-49",2,-13.9240234965155,-0.374757312578499,0.0488395786732559,-0.000942481694237347,0.00125404941829133,-0.000344070293615412,1.78516678695355e-05,-5.31812134056855e-06,5.1516655403543e-05,-3.4090820898454e-05,1.1290538713151e-06,1.90197910460184e-06,-5.06153917435844e-07,-5.93328828576656e-06,7.19152354533961e-06,-7.19225460309415e-07,-2.88582289997654e-05,5.53388177325817e-05,-7.58570920863539e-06,-4.093535276652e-05,2.15256967889696e-05,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,290,483.333333333333,628.333333333333,652.5,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1
"50-64",2,-14.0132996339421,-0.354851011938108,0.0470859349830591,-0.000902425634525989,0.00119214221899974,-0.000318801996623406,1.21121412249147e-05,5.3327798743781e-05,-3.98258419229616e-05,1.02373883055567e-06,2.26458907895517e-06,9.31556278800752e-07,2.19219270588103e-05,-5.28079142498083e-05,3.33881696393357e-05,-1.67559915973014e-06,-2.59849462114136e-05,3.02614490506082e-05,-1.1526851191799e-05,2.49536136737081e-06,3.85692443980025e-05,-5.87759776268072e-05,2.34816054459418e-05,-1.00311201615807e-07,0,0,24.1666666666667,48.3333333333333,72.5,120.833333333333,145,169.166666666667,241.666666666667,410.833333333333,435,459.166666666667,483.333333333333,604.166666666667,628.333333333333,652.5,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,942.5,-1,-1
"65+",2,-14.8078911833286,0.0563622275258269,0.0118847032637134,-0.000214994926714414,0.000231155194921179,-2.98331997484171e-06,-1.32918790524919e-05,-2.53666885011838e-06,5.45941148133432e-06,-8.42770665094821e-07,-1.91666226136494e-05,1.8966895836654e-05,-1.8504930163649e-06,6.68175042564238e-06,4.96695396442205e-05,-0.000191644171866478,0.000217316596623374,-8.63671254404189e-05,3.89516067390245e-06,-4.21082700191718e-07,1.1556667403165e-06,1.37264962353075e-05,-2.57130409628524e-05,1.17838757241516e-05,0,0,24.1666666666667,48.3333333333333,120.833333333333,217.5,314.166666666667,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1
"0-17",3,-13.5200782976287,-0.00794093638075318,6.78320097569058e-05,-1.25349881828962e-07,-4.97329714633717e-08,9.94960401600214e-07,5.34176184227257e-05,-0.000114787102490158,1.264190612232e-05,9.93483131247531e-05,-4.71702124196453e-05,-3.37459886794656e-05,3.73563145542997e-05,-2.50308646229339e-06,-3.34359146383645e-05,3.36108116195232e-05,-7.54836365924557e-07,-9.71469564230169e-06,2.2421559891458e-05,-4.78955017725361e-06,-3.02785930038019e-05,1.756446302844e-05,0,0,0,0,48.3333333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,507.5,531.666666666667,604.166666666667,628.333333333333,652.5,725,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1
"18-49",3,-14.344813752212,-0.0102994523881089,0.000143713856201815,-4.94022138867756e-07,-6.84355446430741e-08,7.3422720069541e-07,3.35658084082755e-05,-5.80582605411958e-05,4.89664324149257e-06,2.11680766721815e-05,-6.14345817213087e-06,3.18291163196258e-06,5.94261538175412e-05,-0.000152009423088651,0.000140814074678874,-4.89472311867878e-05,2.10183586013719e-06,-1.02057840870482e-06,-2.58201723178044e-05,5.49212455722298e-05,-6.21122791535606e-06,-4.65738181342829e-05,2.46180857927228e-05,-7.74453562892358e-08,0,0,48.3333333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,507.5,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1
"50-64",3,-14.2921079916094,-0.00771633198676777,0.000108470736448615,-3.71569953893344e-07,-6.92445351390642e-08,7.67377972440821e-07,3.69302645585248e-05,-6.5848956973186e-05,5.96548204102635e-06,2.5301263071747e-05,-5.35673267001832e-06,3.03104385126914e-06,6.7280525858368e-05,-0.000183791425620594,0.00017278883077094,-5.84457249915693e-05,2.57618400270876e-06,-1.25932925651225e-06,-3.20750204160876e-05,6.60990966728674e-05,-7.44384577446771e-06,-5.5428790709567e-05,2.94487857743892e-05,-9.23728145991766e-08,0,0,48.3333333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1
"65+",3,-14.2270648389048,-0.0112013719500652,0.000156256790727345,-5.28932076978487e-07,-1.05325363771546e-07,1.09658036586763e-06,4.70751244762187e-05,-8.53657545101327e-05,7.02801102388238e-06,3.57385149983284e-05,-1.03006245345731e-06,-4.18733191772116e-05,5.21282715653351e-05,-2.15664480188506e-06,-3.94960504857037e-05,7.50986783592039e-06,0.000145054271824597,-0.00027201689085294,4.21904103312884e-05,0.00043800424410534,-0.000536581889108756,0.000234836783246967,-3.55636812334012e-05,4.80740024096677e-06,-7.52017738186815e-07,0,48.3333333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,-1
