"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_33coef","knot_34coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location","knot_33_location","knot_34_location"
"0-17",1,-14.9148847158359,0.018448946547637,0.00582143007280128,-0.000127964104603935,0.00018353259811287,-0.000210785986591974,0.000283893658440681,-0.000171141948727755,1.96069835212483e-05,7.89259273446184e-05,-8.21616521571916e-05,3.52059781685828e-06,4.11481255085768e-05,-5.20767262681111e-06,-9.34144200619407e-05,0.000152537565860854,-0.000101694310786608,3.32839588571917e-05,-1.58179126744474e-06,-7.10460704517508e-06,1.68845149155096e-06,2.93518355272576e-05,-4.63904066987082e-05,2.07264881689937e-05,-2.05326259925804e-05,8.38509715629777e-06,0.000104745485202179,-0.000174294485532082,9.84421566292753e-05,-1.82325428331727e-05,7.14795561449825e-07,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,507.5,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.66916324643835,0.192003277847122,-0.00627889610751143,6.15727956567168e-05,-5.11295545617434e-06,-8.80908805636933e-05,5.82374599682251e-06,5.07527068235376e-05,-2.23184724100663e-05,-3.29222495859106e-05,5.6996051411201e-05,-2.93284153655154e-05,6.53327264260408e-07,3.13838622821456e-06,-4.19209795674846e-06,1.73776868512647e-05,-5.6852659777751e-06,-5.20984511205038e-05,6.98941856768495e-05,-2.65679823490668e-05,1.59555432262905e-06,-6.75906395837062e-06,-5.16297330258827e-05,0.000205907621831851,-0.000261024257354285,0.000137752792343936,-2.82290427139169e-05,2.9582627277853e-06,-4.68322376040582e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,217.5,241.666666666667,265.833333333333,314.166666666667,362.5,507.5,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,990.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.33901774317349,0.136123581156539,-0.00326410135569991,2.82535917656475e-05,-7.7492202411591e-06,-9.03218329036157e-05,0.000121188645268074,-5.25981157812057e-05,1.64332294651445e-06,-1.85615916945436e-05,2.9747967144748e-05,-2.1883028119852e-05,5.13609010177482e-06,6.00274403747268e-05,-0.000188100753216235,0.000237490961773684,-2.53298624705048e-05,-0.000209762242038694,0.000182463639919375,-6.30576072878093e-05,1.19369348620379e-05,-5.24039184727905e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,290,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,-10.3502117268386,0.17883249300891,0.0060448397685895,-0.000183790892845511,0.000284843018135414,-0.000103052183694886,2.95991795897429e-06,-2.30576170231272e-06,7.56017100893266e-06,1.68583192539213e-05,-0.000119035280675147,0.000274439851472846,-0.000469769747919709,0.000509028265400585,-0.00015249236041884,-0.000219267632466472,0.000217875141212434,-7.78768247903072e-05,1.45587046803699e-05,-5.32437092520902e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.4438671181808,-0.0990017532192124,0.00461303569106912,-4.16330737144437e-05,5.07641902145599e-07,7.19751601940408e-05,-1.14088474754903e-05,-0.00011496915081114,0.000187881237930449,-0.000127058546299814,1.40276275843951e-05,8.47292986993604e-05,-0.000116871960854252,6.28497356940115e-05,-8.4713583049912e-06,1.0669797593616e-05,2.66447258945604e-05,-0.000166980250501463,0.000272444896853427,-0.000247873316633453,0.000151884082747624,-5.2474929557259e-05,3.96610039519962e-06,-6.38979836852046e-07,1.74467961783206e-06,-3.03653864284069e-06,1.66254255322087e-06,3.30326896750533e-05,-5.81413022383486e-05,2.56542434193177e-05,-1.12426683811695e-07,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,652.5,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.3629954746656,-0.393179318028638,0.0485429101116297,-0.000922426819304449,0.00121082080524521,-0.000315301556931466,1.63306586251143e-05,-4.85795254029599e-06,2.60002570508852e-05,-7.51605539731133e-06,-1.88714495959752e-05,1.75413705391368e-05,-7.55385501553839e-07,-1.1151381707112e-05,1.51716305842597e-05,-6.16025123819769e-06,1.29292228107288e-05,-5.00878153308297e-06,-4.99094408272156e-05,7.08043335320819e-05,-2.77108376649197e-05,1.35100280498618e-06,-5.48868577178641e-06,-3.80503921054652e-05,0.000155092551211181,-0.000198094363385556,0.000103640979563273,-1.91864061160191e-05,8.04072069178586e-07,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,217.5,241.666666666667,362.5,386.666666666667,410.833333333333,459.166666666667,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.1615112795556,-0.408393002795372,0.0489761518866144,-0.000922937535185793,0.00120512306674183,-0.000310548917731865,1.66401297022459e-05,-5.21822673518321e-06,3.95891989862438e-05,-1.97432735796136e-05,-1.70063052861932e-05,1.54669749612739e-05,-1.06923750071939e-05,7.15701947367095e-06,6.2783825542273e-05,-0.000169250633882546,0.000195507444966173,-0.000153931647303183,0.000149014462956288,-0.000166521305675506,0.000133446325888029,-1.8878383623587e-05,-0.00010814437280876,0.000116467370259673,-3.8175808806542e-05,1.63443372769254e-06,-6.46214775890787e-06,-4.56791717014479e-05,0.000178006614400305,-0.000221700444220325,0.000113987446165055,-2.08265726400377e-05,8.89762235261881e-07,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1
"65+",2,-14.9253757041241,-0.119727350662926,0.0221562001490691,-0.000372447514934713,0.0003980624477949,-5.47505722242967e-06,-1.87439055407526e-05,-1.10604215002651e-05,1.05668327234875e-05,6.23204452234086e-07,-3.85039674069517e-06,-9.83604823616883e-06,0.000101160954173508,-0.000261795823083294,0.000309747507162715,-0.000206719110975638,0.000129162259252462,-0.000104258027274052,2.88562127211816e-05,0.000167709533759977,-0.000460691265587697,0.000536489464246259,-0.000175240974765029,-0.000189213771237716,0.000193832944746478,-6.96045807587703e-05,1.32030580285819e-05,-4.76564677742555e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,96.6666666666667,217.5,241.666666666667,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.1480382155295,0.002943079211866,-2.90384964127051e-05,7.37350791602094e-08,-9.35509633150649e-07,-1.8195184039264e-05,0.00011936209815235,-0.000189113294943049,1.95231604540972e-05,0.000161910421648668,-0.000102067590744233,6.79189450930855e-06,5.92288056617478e-05,-0.000167099341871431,0.000199172143177028,-0.000121011592720682,1.52704145729432e-05,6.30142660776401e-05,-7.48361919741258e-05,2.96713751815466e-05,-1.50583066252385e-05,6.4866231819281e-06,7.80614476627685e-05,-0.000133242297733866,7.70547211880584e-05,-1.46197797328358e-05,5.55626185758295e-07,0,0,0,0,0,0,0,0,0,0,0,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,459.166666666667,483.333333333333,507.5,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.8379267764217,0.00726005671049855,-0.000150784386857645,1.14579143613883e-06,-7.5283192008987e-07,1.02242697807189e-06,-4.29697703080929e-06,-1.6091125035048e-05,0.000105737462688381,-0.000172698215714445,9.21308470379767e-05,-5.52316054793624e-06,5.68786506355053e-07,-2.59274479510858e-06,1.91918640652841e-06,3.28272034564585e-05,-9.69802061305648e-05,9.72274344433774e-05,-3.40907951131725e-05,4.17461943551723e-07,-2.67723085762779e-06,-3.20629904234596e-05,0.000130912902582065,-0.000170157858373831,9.01106566850652e-05,-1.68074294588291e-05,7.08877655447258e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,120.833333333333,145,169.166666666667,193.333333333333,217.5,241.666666666667,290,314.166666666667,483.333333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,749.166666666667,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,942.5,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
