"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location"
"0-17",1,-12.8657016116174,0.0540489929304636,-5.89996732237169e-05,-2.30009467021888e-07,-7.1802686053718e-08,1.99763548506147e-08,3.35604978076622e-06,-1.51710390596594e-06,-1.89370444591645e-05,2.069957664597e-05,-3.93117443552465e-06,3.84758729881385e-07,8.15178220872911e-06,-1.05588670195042e-05,1.59882300971063e-06,3.84362182222723e-05,-6.58724141588482e-05,2.86075995128737e-05,-1.32042089512855e-07,0,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,217.5,290,314.166666666667,338.333333333333,435,676.666666666667,700.833333333333,725,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-6.99090491243744,0.0570740680737756,-0.00177811989550307,1.36830433643662e-05,8.01272844348929e-06,-9.29544614648929e-06,-8.00371445131527e-05,0.000119585587886014,-5.39610375743518e-05,5.02081556803457e-07,1.56225447552651e-06,3.40729218214732e-07,-4.77089732522318e-07,-9.78443103667621e-06,1.2760895483406e-05,-6.41009477675601e-06,2.18359977960119e-06,4.44584273137929e-05,-7.53279059452035e-05,3.23523059041635e-05,-1.44387063155349e-07,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,241.666666666667,410.833333333333,604.166666666667,628.333333333333,652.5,749.166666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-6.69690930016748,0.0378919817392836,-0.00083252139440651,6.05729888631983e-06,6.46821146315467e-06,-7.38534668666991e-06,-5.43073324387785e-05,9.21860629542448e-05,-4.41514385255104e-05,2.28612772967784e-07,1.52250681089356e-05,-3.91712956798532e-06,-4.50691533343519e-05,4.39397207882922e-05,-3.44020482137415e-05,1.55031482100802e-05,0.000113905281371884,-0.000265357569523424,0.000270173224490173,-0.000273526656782977,0.000478843496362145,-0.000567618720051712,0.0003474899517688,-0.000118437319174407,2.76610512942253e-05,-4.17334335672451e-06,6.66518024694158e-07,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,410.833333333333,435,459.166666666667,483.333333333333,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,-1,-1,-1,-1
"65+",1,-9.42100940880235,0.469942222549115,-0.0181558644956312,0.00025242497684573,-0.000264615020587777,6.43386826482613e-06,2.40971169668615e-05,-1.78304647805827e-05,2.57449800416326e-06,-9.17768790744596e-06,-1.18704777792192e-05,9.23478665495415e-05,-0.000340120222657498,0.000698042457873596,-0.000737469061304021,0.000409207791751575,-0.000130150840707755,3.01549823260153e-05,-4.79722422865811e-06,7.47778739576781e-07,0,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7158003596855,-0.0163957655182558,0.00273753211143936,-2.10547546983314e-05,-7.01321729766308e-06,8.42140025150862e-06,9.24840646366362e-05,-0.000133935119194263,7.04051157753094e-05,-3.08439747492096e-06,-2.68795973811218e-05,2.7710644392477e-05,-2.00677765478696e-06,-3.51948774049941e-05,3.67992120184911e-05,-9.78524174777423e-07,-6.16034485062872e-06,2.45330282791193e-06,-1.00666440769761e-06,-2.47087549025492e-05,3.63381532973908e-05,-2.86001376949545e-06,-2.54956575489686e-05,1.57681817943858e-05,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,217.5,241.666666666667,314.166666666667,338.333333333333,362.5,410.833333333333,435,700.833333333333,773.333333333333,797.5,821.666666666667,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.208384421295,-0.500370763102844,0.0532000607175949,-0.000967552299997184,0.00120831442902811,-0.000241584449024368,9.90112469921655e-06,-5.098093044661e-05,6.05572033718983e-05,-2.37035070118368e-05,1.55096525918147e-06,3.66583080797572e-06,4.99629404218614e-06,-1.25551792092927e-05,2.61875707302875e-06,2.94609324011854e-05,-2.99390805104657e-05,2.58079862171285e-05,-5.85199897838554e-06,-3.52413108845321e-05,2.05396702875887e-05,0,0,0,0,0,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,193.333333333333,241.666666666667,604.166666666667,628.333333333333,676.666666666667,700.833333333333,725,845.833333333333,870,894.166666666667,918.333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-15.036603924146,0.0011270533896508,0.0210578834774166,-0.000417135766770711,0.000506417540451774,-1.41886590596142e-05,-0.000117134251800226,7.49343912586899e-06,8.50296333947956e-05,-5.47216871561315e-05,1.55139798272616e-06,2.62351994085728e-06,8.6739016548962e-07,2.30813718118855e-05,-6.59166175087882e-05,5.39426816860754e-05,-3.24841726597276e-06,-4.89654444953675e-05,7.50619778908046e-05,-9.15702515203665e-06,-9.19427997991551e-05,9.82669223130579e-05,-3.26484274864385e-05,1.62501030752293e-06,-2.60595429152656e-06,-4.28173110909553e-05,0.000134306983567885,-0.000136923545375685,4.82375866677158e-05,-1.0999884616176e-06,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,145,169.166666666667,241.666666666667,410.833333333333,435,459.166666666667,483.333333333333,531.666666666667,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,-1
"65+",2,-14.0803834515957,-0.432613061348368,0.0429465474538445,-0.00072464219992882,0.000811909474782541,-2.60362367090384e-05,-0.000111938680015914,9.28777031311258e-05,-4.36774595459729e-05,2.29299693003555e-07,5.57953147273749e-07,2.56859137993631e-05,-6.38214081043813e-05,7.12379125590939e-05,-1.05570481609411e-05,-9.63274281305727e-05,9.89496806037657e-05,-2.87174896764059e-06,-8.3617216472088e-05,1.91212207209072e-05,0.000235325608183381,-0.000334896864703499,0.000171503923964227,-3.18932061317803e-05,3.40267935211759e-06,-5.23059560486657e-07,0,0,0,0,0,24.1666666666667,48.3333333333333,72.5,96.6666666666667,120.833333333333,169.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,459.166666666667,483.333333333333,507.5,555.833333333333,580,604.166666666667,628.333333333333,652.5,676.666666666667,700.833333333333,725,-1,-1,-1,-1,-1
"0-17",3,-14.1782262943645,0.00265547140569299,-2.07125103358316e-05,9.19687257966372e-09,6.80617840871033e-08,-9.70325853793859e-07,-1.83396737016497e-05,0.00011758952056853,-0.000182398829839679,1.78474224349197e-05,0.000144977150953566,-8.14216525985252e-05,1.762557709417e-06,-1.25199378499292e-06,-1.81563632058726e-05,6.70397811686858e-05,-6.43339800425768e-05,4.06018979657065e-06,6.84673625543687e-05,-8.77911649233998e-05,8.57068634308126e-06,7.67439238002544e-05,-8.20564007375132e-05,4.8750425035435e-06,5.43366303278416e-05,-5.45179236483027e-06,-5.00841691634767e-05,2.60008212449732e-05,-8.73039537801446e-08,0,0,48.3333333333333,265.833333333333,290,314.166666666667,338.333333333333,362.5,386.666666666667,410.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,676.666666666667,700.833333333333,725,749.166666666667,773.333333333333,797.5,821.666666666667,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1
"18-49",3,-14.6339038977431,-0.00527122924040393,7.43554651547324e-05,-2.52694045373691e-07,-5.92064248021974e-08,6.4950553403043e-07,3.07590715948854e-05,-5.45410938845391e-05,4.84540848183109e-06,2.04741463187909e-05,-1.92764926533328e-06,-9.41962856532089e-07,-1.85983578926901e-05,7.78235699664877e-05,-0.000114739711008881,6.4665004105411e-05,-1.69151678471836e-06,-9.13933888860722e-06,1.43104003303766e-06,3.84991304207154e-05,-6.53573095833088e-05,2.82402942919321e-05,-1.33776239519118e-07,0,0,0,0,0,0,0,0,48.3333333333333,169.166666666667,193.333333333333,217.5,241.666666666667,265.833333333333,435,555.833333333333,580,604.166666666667,628.333333333333,652.5,700.833333333333,725,845.833333333333,870,894.166666666667,918.333333333333,966.666666666667,-1,-1,-1,-1,-1,-1,-1,-1
